NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AC7	NA	18	0.4014430344104767	0.08777667	Yes	
row_1	EGR1	NA	24	0.384009450674057	0.17232652	Yes	
row_2	H3C4	NA	32	0.3422626554965973	0.2475629	Yes	
row_3	CREBRF	NA	96	0.2617182433605194	0.30233347	Yes	
row_4	LMO4	NA	267	0.19819825887680054	0.33795506	Yes	
row_5	H1-0	NA	406	0.16849395632743835	0.36855027	Yes	
row_6	H2BC7	NA	501	0.15667855739593506	0.3986436	Yes	
row_7	ATF2	NA	773	0.13037073612213135	0.4144524	Yes	
row_8	PIH1D2	NA	1042	0.11628616601228714	0.427295	Yes	
row_9	TTBK2	NA	1222	0.10790002346038818	0.44254774	Yes	
row_10	NR3C1	NA	1314	0.10447940975427628	0.4612592	Yes	
row_11	THAP2	NA	1385	0.10168616473674774	0.48035946	Yes	
row_12	ZFX	NA	1438	0.09961774945259094	0.49986503	Yes	
row_13	KNCN	NA	2716	0.06706888973712921	0.4535236	No	
row_14	ITPR1	NA	2815	0.06490334123373032	0.46316144	No	
row_15	ANGPTL2	NA	3408	0.05573594942688942	0.44711953	No	
row_16	TRIM39	NA	3737	0.051175136119127274	0.44271243	No	
row_17	NADK2	NA	3935	0.04838166758418083	0.4439616	No	
row_18	MRTFA	NA	4400	0.042585499584674835	0.43114543	No	
row_19	GARS1	NA	4477	0.0417308434844017	0.43672028	No	
row_20	NRF1	NA	4535	0.041067935526371	0.44305858	No	
row_21	NCAM1	NA	5800	0.026891052722930908	0.38846844	No	
row_22	CYTH2	NA	6637	0.019087081775069237	0.35265028	No	
row_23	POLD4	NA	6976	0.016240812838077545	0.34005085	No	
row_24	RPL10A	NA	7334	0.013409970328211784	0.32591653	No	
row_25	CCND1	NA	7374	0.01304983627051115	0.32693037	No	
row_26	PCBP2	NA	7511	0.011776002123951912	0.32301804	No	
row_27	PICALM	NA	7621	0.010807267390191555	0.32018474	No	
row_28	ZFC3H1	NA	7728	0.009988096542656422	0.3173142	No	
row_29	EED	NA	7779	0.009604126214981079	0.3170405	No	
row_30	CNOT10	NA	8050	0.007413372863084078	0.3057482	No	
row_31	NTRK3	NA	8172	0.006504899822175503	0.3013903	No	
row_32	RTN4	NA	8173	0.006501586642116308	0.30282584	No	
row_33	BCL11A	NA	8190	0.006392790470272303	0.3034712	No	
row_34	PAK6	NA	8414	0.0045948452316224575	0.2938072	No	
row_35	FBXW11	NA	9004	3.2744480995461345E-4	0.26567474	No	
row_36	PANK3	NA	9071	-2.314748417120427E-4	0.26256537	No	
row_37	KPNB1	NA	9386	-0.0023642764426767826	0.24805127	No	
row_38	CHRM1	NA	9550	-0.0037177451886236668	0.24106675	No	
row_39	TSSK4	NA	9697	-0.0047452617436647415	0.23512317	No	
row_40	NKAPD1	NA	9768	-0.005257437936961651	0.232932	No	
row_41	VAMP3	NA	9787	-0.005403674673289061	0.2332632	No	
row_42	ZNF689	NA	10464	-0.010360347107052803	0.20317993	No	
row_43	DYNLL1	NA	10482	-0.010491907596588135	0.20468248	No	
row_44	PRX	NA	10972	-0.014115122146904469	0.18438292	No	
row_45	HMG20B	NA	11096	-0.015251939184963703	0.1818606	No	
row_46	MORF4L2	NA	11543	-0.01874725893139839	0.1646429	No	
row_47	CYP1A1	NA	11710	-0.019988998770713806	0.16110742	No	
row_48	DPYSL2	NA	12026	-0.022264352068305016	0.15093935	No	
row_49	SPEG	NA	12629	-0.02665104903280735	0.12799662	No	
row_50	PLAGL2	NA	14437	-0.042663272470235825	0.050886955	No	
row_51	GRIK3	NA	14646	-0.04494805261492729	0.05085123	No	
row_52	MNT	NA	14782	-0.046244554221630096	0.054597437	No	
row_53	NEUROG2	NA	15017	-0.04872707650065422	0.054151088	No	
row_54	POLG	NA	15360	-0.052017372101545334	0.049259562	No	
row_55	SUPT16H	NA	16000	-0.05919652432203293	0.031731103	No	
row_56	TGIF2	NA	16438	-0.06472273916006088	0.025095768	No	
row_57	SLC22A8	NA	16697	-0.06834650784730911	0.027832126	No	
row_58	TP53	NA	17744	-0.08413897454738617	-0.0036785805	No	
row_59	RUNX3	NA	18061	-0.08964524418115616	9.831622E-4	No	
row_60	SENP3	NA	18304	-0.09372338652610779	0.01008891	No	
row_61	ELAVL3	NA	18767	-0.10310682654380798	0.010731636	No	
row_62	KCNA6	NA	18903	-0.10618080943822861	0.027711768	No	
row_63	DMD	NA	19965	-0.1416386514902115	0.008178701	No	
row_64	PDZD4	NA	20474	-0.17571277916431427	0.022650072	No	
