NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	8	0.48235970735549927	0.39867386	Yes	
row_1	LMO3	NA	608	0.14561375975608826	0.49052498	Yes	
row_2	ZNF570	NA	916	0.12238678336143494	0.5771097	Yes	
row_3	TCF7L2	NA	2771	0.06600553542375565	0.5431478	No	
row_4	ZNF569	NA	4345	0.0433044470846653	0.503829	No	
row_5	IL6R	NA	5074	0.034770749509334564	0.49781722	No	
row_6	COL2A1	NA	5546	0.02943004108965397	0.49966434	No	
row_7	ZNRD2	NA	7071	0.015396845526993275	0.43959844	No	
row_8	SNAP25	NA	7233	0.014104293659329414	0.4435757	No	
row_9	KCNK9	NA	8797	0.0018394271610304713	0.37043068	No	
row_10	ZNF532	NA	12987	-0.029781678691506386	0.1949544	No	
row_11	FAM89B	NA	13178	-0.03141438215970993	0.21186693	No	
row_12	ZBTB8A	NA	14035	-0.038871441036462784	0.2031329	No	
row_13	HSD11B1	NA	14565	-0.04408150166273117	0.2143304	No	
row_14	CCDC140	NA	19028	-0.10939126461744308	0.091673516	No	
