NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FRMD5	NA	192	0.21606291830539703	0.0039223884	No	
row_1	TRPV3	NA	446	0.16386741399765015	0.0017031403	No	
row_2	OMG	NA	475	0.16003960371017456	0.010133106	No	
row_3	IVL	NA	592	0.14676718413829803	0.013495084	No	
row_4	PROSER3	NA	778	0.1301134079694748	0.012501376	No	
row_5	PLEKHA5	NA	983	0.11883022636175156	0.009898821	No	
row_6	TOB1	NA	1081	0.1141778826713562	0.0121874185	No	
row_7	LORICRIN	NA	1176	0.10976220667362213	0.014351165	No	
row_8	CSF3	NA	1177	0.10975721478462219	0.021061381	No	
row_9	PKN3	NA	1433	0.09971238672733307	0.014823153	No	
row_10	LRRFIP2	NA	1440	0.09956501424312592	0.02062003	No	
row_11	REEP4	NA	1455	0.09919806569814682	0.026007513	No	
row_12	CYTOR	NA	1745	0.08980748802423477	0.017519152	No	
row_13	RNF144B	NA	1802	0.08791762590408325	0.020185446	No	
row_14	IQSEC1	NA	1941	0.08439278602600098	0.018669909	No	
row_15	CCDC50	NA	1950	0.08413787931203842	0.023426877	No	
row_16	VASP	NA	2189	0.07734096795320511	0.01664322	No	
row_17	PTPRR	NA	2306	0.07502997666597366	0.015619408	No	
row_18	PLCD1	NA	2315	0.07491584122180939	0.01981257	No	
row_19	SEPTIN4	NA	2354	0.07416262477636337	0.022508586	No	
row_20	ATP1B1	NA	2757	0.06620889902114868	0.0071116793	No	
row_21	C19orf33	NA	2793	0.06554005295038223	0.009425647	No	
row_22	HSPB6	NA	2821	0.0648428425192833	0.012083949	No	
row_23	MLEC	NA	2848	0.06435403972864151	0.014760736	No	
row_24	RGS2	NA	2934	0.06295070797204971	0.014497903	No	
row_25	XYLT1	NA	2958	0.06249360740184784	0.01720606	No	
row_26	PDGFRB	NA	3015	0.061753835529088974	0.018272782	No	
row_27	ARAP2	NA	3049	0.06116520240902901	0.020416025	No	
row_28	FGF9	NA	3335	0.05679429695010185	0.01010282	No	
row_29	RB1CC1	NA	3345	0.056586187332868576	0.0131269945	No	
row_30	KLHL40	NA	3400	0.055825281888246536	0.013928003	No	
row_31	ETV5	NA	3539	0.053856413811445236	0.010545566	No	
row_32	WDFY3	NA	3640	0.05262201279401779	0.008925719	No	
row_33	WDFY3-AS2	NA	3843	0.04977076128125191	0.0021978219	No	
row_34	WNT6	NA	4102	0.04642776772379875	-0.0074431715	No	
row_35	MPP5	NA	4180	0.04560403525829315	-0.0083795665	No	
row_36	BUD31	NA	4239	0.04476182162761688	-0.008448425	No	
row_37	RHBDD3	NA	4264	0.044414930045604706	-0.006893912	No	
row_38	AIG1	NA	4351	0.04324478656053543	-0.0084098745	No	
row_39	PHLDA2	NA	4359	0.04315291345119476	-0.0061102286	No	
row_40	ATXN7L2	NA	4368	0.04304834455251694	-0.0038653456	No	
row_41	MYBPH	NA	4431	0.04219934344291687	-0.0042843446	No	
row_42	FOSL1	NA	4473	0.0417705774307251	-0.0037137887	No	
row_43	MSI1	NA	4490	0.0416065938770771	-0.0019440096	No	
row_44	XIRP1	NA	4584	0.04050089046359062	-0.0039663147	No	
row_45	DYRK1A	NA	4664	0.03943281248211861	-0.00537674	No	
row_46	BTK	NA	4671	0.03939181566238403	-0.003258666	No	
row_47	XPOT	NA	4689	0.0391835980117321	-0.0016853913	No	
row_48	LPP	NA	4748	0.03851540386676788	-0.0021361352	No	
row_49	ITPKC	NA	4881	0.03713152930140495	-0.00625086	No	
row_50	ZNF385B	NA	5087	0.034656625241041183	-0.014047897	No	
row_51	GABARAPL1	NA	5106	0.034415192902088165	-0.012814518	No	
row_52	ASB5	NA	5242	0.03279772028326988	-0.017339308	No	
row_53	TIAL1	NA	5375	0.031227150931954384	-0.02181501	No	
row_54	HEPH	NA	5454	0.030364926904439926	-0.023731446	No	
row_55	CTTNBP2NL	NA	5528	0.02968446910381317	-0.025447635	No	
row_56	CPNE8	NA	5851	0.026430901139974594	-0.03940685	No	
row_57	PCDH9	NA	6025	0.02468387596309185	-0.046265755	No	
row_58	CNTF	NA	6525	0.02019461616873741	-0.06916771	No	
row_59	SDCBP	NA	6528	0.020161660388112068	-0.06803183	No	
row_60	TBC1D17	NA	6578	0.01965923421084881	-0.069200054	No	
row_61	SYTL1	NA	6802	0.01767714135348797	-0.07890582	No	
row_62	MARK4	NA	6857	0.017316710203886032	-0.08045911	No	
row_63	SHC3	NA	6858	0.017311330884695053	-0.07940075	No	
row_64	MAPRE3	NA	6868	0.01724020391702652	-0.07878207	No	
row_65	IL9	NA	6880	0.017129214480519295	-0.07826691	No	
row_66	ANKRD22	NA	6886	0.017034074291586876	-0.077467345	No	
row_67	RIN1	NA	6928	0.016556356102228165	-0.07843831	No	
row_68	POLD4	NA	6976	0.016240812838077545	-0.07971878	No	
row_69	LYSMD2	NA	6994	0.016075266525149345	-0.07955828	No	
row_70	BACH1	NA	7001	0.016004974022507668	-0.078870006	No	
row_71	SLC22A18	NA	7025	0.01574636436998844	-0.07901983	No	
row_72	ADRA1A	NA	7027	0.015730179846286774	-0.07810651	No	
row_73	ROM1	NA	7115	0.015053322538733482	-0.08139438	No	
row_74	COL16A1	NA	7217	0.01426642294973135	-0.08540754	No	
row_75	SNX10	NA	7381	0.01299913227558136	-0.09249711	No	
row_76	VAPA	NA	7440	0.012463432736694813	-0.09454059	No	
row_77	BTG3	NA	7508	0.011850012466311455	-0.0970569	No	
row_78	VDR	NA	7719	0.010076548904180527	-0.10659854	No	
row_79	ESRRG	NA	7766	0.009723116643726826	-0.108229116	No	
row_80	TCF7	NA	7790	0.009541882202029228	-0.10875826	No	
row_81	ELAVL2	NA	7863	0.009003900922834873	-0.111690424	No	
row_82	MYB	NA	7964	0.00812224205583334	-0.11603085	No	
row_83	ATP6V1C2	NA	7992	0.007900364696979523	-0.11685383	No	
row_84	SEC24D	NA	8140	0.006765671074390411	-0.12355059	No	
row_85	TLL1	NA	8160	0.006574729923158884	-0.12406766	No	
row_86	RBP4	NA	8217	0.006226711440831423	-0.12639569	No	
row_87	RIT1	NA	8260	0.0058838678523898125	-0.12806751	No	
row_88	ROCK2	NA	8263	0.005878554657101631	-0.12780485	No	
row_89	GSE1	NA	8264	0.005876221694052219	-0.1274456	No	
row_90	EPHB2	NA	8282	0.005734290461987257	-0.1279173	No	
row_91	SSH2	NA	8323	0.005412438418716192	-0.1295212	No	
row_92	CA9	NA	8355	0.005084534641355276	-0.13070981	No	
row_93	CLDN15	NA	8394	0.004794647917151451	-0.13225475	No	
row_94	CAPN6	NA	8397	0.004766582045704126	-0.13206007	No	
row_95	RBBP7	NA	8471	0.004096537828445435	-0.13534063	No	
row_96	VIT	NA	8510	0.0037859929725527763	-0.13694721	No	
row_97	USP13	NA	8666	0.002783372765406966	-0.1442744	No	
row_98	UBE2E3	NA	8727	0.002300993073731661	-0.14703591	No	
row_99	PPP2CB	NA	8766	0.0020120260305702686	-0.14875096	No	
row_100	HS3ST2	NA	8933	8.141336729750037E-4	-0.15673059	No	
row_101	FBXW11	NA	9004	3.2744480995461345E-4	-0.16009648	No	
row_102	CALB2	NA	9033	2.353051422687713E-5	-0.16144939	No	
row_103	PHLDB3	NA	9090	-3.7028727820143104E-4	-0.16413547	No	
row_104	RELA	NA	9142	-7.171867182478309E-4	-0.16655849	No	
row_105	LENEP	NA	9197	-0.0010459593031555414	-0.16910653	No	
row_106	ABHD4	NA	9351	-0.0021236811298877	-0.17637728	No	
row_107	IDS	NA	9495	-0.00327449687756598	-0.183094	No	
row_108	SNCG	NA	9564	-0.003788136411458254	-0.18615155	No	
row_109	RTN3	NA	9639	-0.004383683670312166	-0.18946293	No	
row_110	SFTPC	NA	9763	-0.005230344366282225	-0.19509266	No	
row_111	TLX2	NA	9771	-0.005270143039524555	-0.19510905	No	
row_112	MAP2	NA	10101	-0.007585079409182072	-0.21055903	No	
row_113	PPP2CA	NA	10104	-0.007595677860081196	-0.2101914	No	
row_114	PITPNC1	NA	10453	-0.010229774750769138	-0.2263987	No	
row_115	USP3	NA	10617	-0.011390876024961472	-0.23358661	No	
row_116	CALCOCO1	NA	10647	-0.011626218445599079	-0.23427854	No	
row_117	SLC26A1	NA	10681	-0.011785169132053852	-0.23515424	No	
row_118	RAB3D	NA	10815	-0.012861316092312336	-0.24080114	No	
row_119	SMPX	NA	10876	-0.013394785113632679	-0.24288443	No	
row_120	PRX	NA	10972	-0.014115122146904469	-0.24661662	No	
row_121	IRAK1	NA	10973	-0.014116184785962105	-0.2457536	No	
row_122	GJA1	NA	10995	-0.01432032324373722	-0.24589387	No	
row_123	DTX2	NA	11009	-0.014415913261473179	-0.24564134	No	
row_124	RNF34	NA	11123	-0.015461455099284649	-0.25016186	No	
row_125	SLC35B1	NA	11133	-0.015533789061009884	-0.24964751	No	
row_126	ATP6V1B2	NA	11146	-0.01564112678170204	-0.24927169	No	
row_127	CMAS	NA	11288	-0.01669534482061863	-0.25507116	No	
row_128	EWSR1	NA	11333	-0.01706622913479805	-0.25615606	No	
row_129	NFRKB	NA	11496	-0.01838911511003971	-0.26286772	No	
row_130	SFN	NA	11595	-0.019128136336803436	-0.26643854	No	
row_131	EML3	NA	11693	-0.019881827756762505	-0.26991493	No	
row_132	COL7A1	NA	11774	-0.02035723254084587	-0.27253994	No	
row_133	PEA15	NA	11818	-0.02069193869829178	-0.2733548	No	
row_134	CNTD1	NA	11824	-0.020718438550829887	-0.27233	No	
row_135	RP1L1	NA	11829	-0.020749833434820175	-0.2712549	No	
row_136	HDAC3	NA	11905	-0.021242870017886162	-0.27358392	No	
row_137	SMARCA2	NA	11917	-0.02132236585021019	-0.2728124	No	
row_138	EPB41L1	NA	11944	-0.02156580425798893	-0.27275154	No	
row_139	GADD45A	NA	11983	-0.02190602570772171	-0.27325034	No	
row_140	ZFAND5	NA	12036	-0.0223255418241024	-0.27440065	No	
row_141	CDH23	NA	12220	-0.023607032373547554	-0.2818091	No	
row_142	AQP5	NA	12317	-0.024397704750299454	-0.28496101	No	
row_143	ZNF207	NA	12635	-0.026702607050538063	-0.29866177	No	
row_144	SLC16A6	NA	12721	-0.02742454782128334	-0.30109656	No	
row_145	SLCO5A1	NA	12724	-0.027458660304546356	-0.29951456	No	
row_146	FSTL1	NA	12784	-0.027923813089728355	-0.3006612	No	
row_147	GDNF	NA	12881	-0.028683006763458252	-0.30355114	No	
row_148	VEGFD	NA	12885	-0.028729889541864395	-0.3019398	No	
row_149	ANK3	NA	12887	-0.028782954439520836	-0.30022848	No	
row_150	YIF1A	NA	12929	-0.029159555211663246	-0.3004289	No	
row_151	LTBP3	NA	12954	-0.029432013630867004	-0.2997904	No	
row_152	CLIC1	NA	12974	-0.0296731349080801	-0.2988953	No	
row_153	GKN1	NA	13134	-0.031061379238963127	-0.30468714	No	
row_154	AP2M1	NA	13357	-0.0329107940196991	-0.3134132	No	
row_155	S100A5	NA	13393	-0.03327810764312744	-0.3130716	No	
row_156	SERPINB5	NA	13418	-0.03350512683391571	-0.3121841	No	
