NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AC7	NA	18	0.4014430344104767	0.018787825	Yes	
row_1	H3C4	NA	32	0.3422626554965973	0.034920204	Yes	
row_2	H2AC16	NA	59	0.30313462018966675	0.048503038	Yes	
row_3	USP53	NA	107	0.2543618679046631	0.058674403	Yes	
row_4	H2BC14	NA	144	0.23198090493679047	0.06828501	Yes	
row_5	TACC2	NA	158	0.22696202993392944	0.078769535	Yes	
row_6	CARF	NA	218	0.20908041298389435	0.08613863	Yes	
row_7	WEE2-AS1	NA	253	0.2021634429693222	0.09438603	Yes	
row_8	CENPA	NA	338	0.1784760057926178	0.09903886	Yes	
row_9	H3C10	NA	455	0.16304059326648712	0.10137768	Yes	
row_10	H2BC7	NA	501	0.15667855739593506	0.106861524	Yes	
row_11	H2BC5	NA	535	0.15263696014881134	0.11273163	Yes	
row_12	APOH	NA	549	0.15146540105342865	0.11951805	Yes	
row_13	POC1B	NA	571	0.1489618718624115	0.12579235	Yes	
row_14	CLHC1	NA	601	0.1459924429655075	0.13153173	Yes	
row_15	LEKR1	NA	644	0.14207468926906586	0.13644628	Yes	
row_16	LINC-PINT	NA	655	0.1407317966222763	0.14285299	Yes	
row_17	CDKL3	NA	725	0.13461333513259888	0.14608756	Yes	
row_18	NCEH1	NA	752	0.1322900503873825	0.15130179	Yes	
row_19	ZBED5-AS1	NA	800	0.1290152221918106	0.1553332	Yes	
row_20	NLN	NA	834	0.12623025476932526	0.15990981	Yes	
row_21	MUC13	NA	837	0.12613892555236816	0.16599119	Yes	
row_22	RNASE4	NA	842	0.12585903704166412	0.17196149	Yes	
row_23	H2BC15	NA	852	0.12544012069702148	0.17766784	Yes	
row_24	LRRC66	NA	887	0.12383466213941574	0.18207842	Yes	
row_25	BCAP29	NA	912	0.12261282652616501	0.186916	Yes	
row_26	EXD1	NA	932	0.12173707038164139	0.1919541	Yes	
row_27	RCAN1	NA	943	0.12112622708082199	0.19740047	Yes	
row_28	MIGA1	NA	960	0.12040167301893234	0.20251921	Yes	
row_29	DLGAP1-AS2	NA	1009	0.11800361424684525	0.20596255	Yes	
row_30	PIH1D2	NA	1042	0.11628616601228714	0.21010076	Yes	
row_31	MEIS2	NA	1101	0.11347262561321259	0.2128353	Yes	
row_32	PAXIP1-AS2	NA	1141	0.11127742379903793	0.21638735	Yes	
row_33	ANXA2R	NA	1350	0.10296820104122162	0.21130453	Yes	
row_34	THAP2	NA	1385	0.10168616473674774	0.21463019	Yes	
row_35	ST7L	NA	1451	0.0992826521396637	0.21632886	Yes	
row_36	NUCKS1	NA	1487	0.09803586453199387	0.21942703	Yes	
row_37	CSGALNACT1	NA	1511	0.09731701761484146	0.22307421	Yes	
row_38	GMEB1	NA	1548	0.09613539278507233	0.2260306	Yes	
row_39	SLC3A2	NA	1581	0.09508760273456573	0.2291304	Yes	
row_40	PRKCI	NA	1583	0.09501612931489944	0.23373596	Yes	
row_41	TTC9C	NA	1636	0.09331367164850235	0.23577516	Yes	
row_42	CEP120	NA	1680	0.09195689111948013	0.23818608	Yes	
row_43	MPPE1	NA	1810	0.08750694990158081	0.23619206	Yes	
row_44	GCC2-AS1	NA	1851	0.08632806688547134	0.23847331	Yes	
row_45	CYP51A1	NA	1865	0.08601208031177521	0.24205358	Yes	
row_46	FAM13A	NA	1908	0.08516936749219894	0.24418071	Yes	
row_47	AZIN1	NA	1914	0.08504609018564224	0.24810316	Yes	
