NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TXNIP	NA	65	0.29297059774398804	0.23449108	Yes	
row_1	HOMEZ	NA	247	0.20289020240306854	0.39038637	Yes	
row_2	GTF2IP12	NA	354	0.175779789686203	0.5278783	Yes	
row_3	PER2	NA	1452	0.0992579385638237	0.5559702	Yes	
row_4	SEPTIN7P14	NA	2190	0.0773075520992279	0.58345824	Yes	
row_5	CWC25	NA	4117	0.04622168093919754	0.52893573	No	
row_6	UBC	NA	7255	0.013894475065171719	0.39034495	No	
row_7	CNOT10	NA	8050	0.007413372863084078	0.35842657	No	
row_8	ALAS1	NA	11498	-0.018418649211525917	0.2086957	No	
row_9	HGD	NA	11507	-0.018484607338905334	0.22330436	No	
row_10	FOXK1	NA	12254	-0.023861275985836983	0.2070181	No	
row_11	POR	NA	13435	-0.03360423073172569	0.17790048	No	
row_12	COL6A3	NA	16092	-0.060268107801675797	0.09989631	No	
row_13	ATP5MC1	NA	17091	-0.07406167685985565	0.11228367	No	
row_14	TRIB1	NA	18005	-0.08862654864788055	0.14054358	No	
