NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHAC1	NA	6	0.536477267742157	0.11920785	Yes	
row_1	H1-2	NA	21	0.400330126285553	0.20770727	Yes	
row_2	CREBRF	NA	96	0.2617182433605194	0.26245975	Yes	
row_3	EDEM1	NA	134	0.23541808128356934	0.3131255	Yes	
row_4	PAX6	NA	252	0.20225608348846436	0.35257477	Yes	
row_5	POU3F3	NA	352	0.17597325146198273	0.38703156	Yes	
row_6	PSRC1	NA	507	0.15621498227119446	0.41445425	Yes	
row_7	GPX3	NA	1291	0.10525711625814438	0.40041363	Yes	
row_8	STX5	NA	1696	0.09130384773015976	0.40140942	Yes	
row_9	ETV1	NA	1919	0.08499537408351898	0.4097132	Yes	
row_10	NKX3-1	NA	2152	0.07816298305988312	0.4160164	Yes	
row_11	SOX2	NA	2367	0.0738866925239563	0.4222288	Yes	
row_12	HOXA9	NA	2997	0.06195148825645447	0.40591493	Yes	
row_13	MEIS1	NA	3155	0.059662844985723495	0.41168797	Yes	
row_14	DMAC2L	NA	3164	0.05955646187067032	0.4245706	Yes	
row_15	UPF3B	NA	3342	0.05663546919822693	0.42871183	Yes	
row_16	THAP5	NA	3392	0.055875636637210846	0.43881175	Yes	
row_17	SMAD2	NA	4064	0.046844154596328735	0.41712213	No	
row_18	NCK1	NA	4207	0.045091819018125534	0.42036772	No	
row_19	IL6ST	NA	4426	0.04225288704037666	0.41934252	No	
row_20	ARL6IP6	NA	4530	0.04111886024475098	0.4235703	No	
row_21	SMAD6	NA	5202	0.033288732171058655	0.39886132	No	
row_22	PPP1R10	NA	6029	0.024599891155958176	0.3647965	No	
row_23	FAR1	NA	6488	0.020509960129857063	0.34743842	No	
row_24	PDP1	NA	6930	0.016550825908780098	0.33001235	No	
row_25	TES	NA	7099	0.015152749605476856	0.3253446	No	
row_26	PIK3IP1	NA	7884	0.00884607806801796	0.28978145	No	
row_27	MRPS18B	NA	7956	0.00819304957985878	0.2882073	No	
row_28	DNAJB9	NA	8494	0.003947989083826542	0.2633781	No	
row_29	ZDHHC5	NA	8508	0.003801254089921713	0.26360244	No	
row_30	TMPO	NA	8552	0.003513586474582553	0.26232648	No	
row_31	XPO1	NA	8850	0.0014594874810427427	0.24843286	No	
row_32	CLSPN	NA	9205	-0.0011001121019944549	0.23173037	No	
row_33	PEX2	NA	9385	-0.0023609520867466927	0.22368674	No	
row_34	RAD9A	NA	9542	-0.003640299430117011	0.21702917	No	
row_35	LMAN1	NA	9574	-0.0038295697886496782	0.21639806	No	
row_36	SAP130	NA	9863	-0.005921369884163141	0.20392917	No	
row_37	PCNA	NA	9952	-0.006521790288388729	0.2011689	No	
row_38	KHSRP	NA	10199	-0.008298255503177643	0.19124015	No	
row_39	LHX2	NA	12228	-0.02368655800819397	0.099426866	No	
row_40	ASXL2	NA	12302	-0.02427447773516178	0.10133894	No	
row_41	MEF2C	NA	12452	-0.02532294951379299	0.099846095	No	
row_42	AIFM1	NA	12798	-0.028030725196003914	0.08957301	No	
row_43	CDK2AP2	NA	12825	-0.02820342220366001	0.09461031	No	
row_44	SREBF2	NA	13491	-0.034155476838350296	0.07038165	No	
row_45	ARX	NA	13548	-0.0346648171544075	0.07542194	No	
row_46	L2HGDH	NA	14594	-0.04438804090023041	0.035280216	No	
row_47	UTP18	NA	15453	-0.05296987295150757	0.0060025267	No	
row_48	EN1	NA	15531	-0.053672440350055695	0.014271215	No	
row_49	SQLE	NA	15724	-0.05578843876719475	0.017505668	No	
row_50	ST8SIA1	NA	15748	-0.056144796311855316	0.028910264	No	
row_51	FAM193B	NA	15817	-0.05691356211900711	0.03833175	No	
row_52	PNRC1	NA	15905	-0.05794496834278107	0.04707336	No	
row_53	APC2	NA	16454	-0.06487499922513962	0.035288475	No	
row_54	DHCR24	NA	17786	-0.08478359878063202	-0.009547598	No	
row_55	TLE3	NA	18218	-0.09238824248313904	-0.009602872	No	
row_56	ELAVL3	NA	18767	-0.10310682654380798	-0.012871985	No	
row_57	ACACA	NA	19106	-0.11188013851642609	-0.0041333092	No	
row_58	RCL1	NA	19816	-0.13505969941616058	-0.007993006	No	
row_59	HES1	NA	20889	-0.2787601947784424	0.002776787	No	
