NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AC14	NA	14	0.42567646503448486	0.068377934	Yes	
row_1	H2AC7	NA	18	0.4014430344104767	0.13335192	Yes	
row_2	H2AC16	NA	59	0.30313462018966675	0.18060695	Yes	
row_3	H2AC13	NA	63	0.2947203814983368	0.22826956	Yes	
row_4	H2BC14	NA	144	0.23198090493679047	0.26206663	Yes	
row_5	LYSMD1	NA	207	0.2119940221309662	0.29348394	Yes	
row_6	CEP128	NA	363	0.1739085614681244	0.31426835	Yes	
row_7	DUSP19	NA	391	0.1711103320121765	0.34073058	Yes	
row_8	H2BC7	NA	501	0.15667855739593506	0.3609237	Yes	
row_9	H2BC5	NA	535	0.15263696014881134	0.38410196	Yes	
row_10	KLHDC9	NA	681	0.1379602700471878	0.39953429	Yes	
row_11	RGS1	NA	694	0.137034609913826	0.42118767	Yes	
row_12	HYLS1	NA	703	0.13612298667430878	0.44288483	Yes	
row_13	ARID4A	NA	805	0.12879793345928192	0.45893872	Yes	
row_14	H2BC15	NA	852	0.12544012069702148	0.47708264	Yes	
row_15	PAXIP1-AS2	NA	1141	0.11127742379903793	0.48133644	Yes	
row_16	UBALD2	NA	1207	0.10841067880392075	0.49580786	Yes	
row_17	BIRC3	NA	1480	0.09818831086158752	0.49870497	Yes	
row_18	H4C3	NA	2044	0.08143585175275803	0.48494455	No	
row_19	PSMA3-AS1	NA	2127	0.0788196250796318	0.49380165	No	
row_20	DNAJB4	NA	2751	0.06629637628793716	0.4747112	No	
row_21	SYTL3	NA	3403	0.055821288377046585	0.4525803	No	
row_22	H2AC15	NA	3501	0.05433621257543564	0.45674744	No	
row_23	CDK1	NA	3535	0.05391016602516174	0.46391132	No	
row_24	SCNM1	NA	3557	0.053613048046827316	0.47160184	No	
row_25	BTRC	NA	3927	0.04853487014770508	0.46179798	No	
row_26	H2BC3	NA	3973	0.04789428785443306	0.4674112	No	
row_27	C21orf62-AS1	NA	4421	0.042338330298662186	0.4528657	No	
row_28	ATP2C1	NA	5304	0.032045356929302216	0.41581222	No	
row_29	GOLM2	NA	5365	0.03132723644375801	0.41801953	No	
row_30	FNDC3A	NA	5366	0.03132029250264168	0.4231	No	
row_31	GRAMD1B	NA	5650	0.028367280960083008	0.41414452	No	
row_32	ARMC1	NA	6497	0.020399220287799835	0.3769265	No	
row_33	ZNF19	NA	6900	0.016946924850344658	0.360418	No	
row_34	H3-3B	NA	6925	0.016595447435975075	0.3619602	No	
row_35	FAHD1	NA	7160	0.01473473384976387	0.35314074	No	
row_36	NLRP4	NA	7268	0.01383971981704235	0.35025993	No	
row_37	TRAFD1	NA	7805	0.009422489441931248	0.32611167	No	
row_38	GNAS	NA	8016	0.007687119767069817	0.3172987	No	
row_39	TLL2	NA	8231	0.0061109778471291065	0.30803847	No	
row_40	ATP6V1G1	NA	8693	0.002592765958979726	0.28637522	No	
row_41	CD209	NA	10321	-0.009230892173945904	0.20993243	No	
row_42	MRPL22	NA	10375	-0.009578606113791466	0.20894726	No	
row_43	CYTIP	NA	10574	-0.011116760782897472	0.20126545	No	
row_44	HAGH	NA	11300	-0.016811570152640343	0.16926192	No	
row_45	RAB4B	NA	11502	-0.01846722885966301	0.16262873	No	
row_46	DAD1	NA	11794	-0.020502790808677673	0.15201434	No	
row_47	VXN	NA	11843	-0.020836809650063515	0.15309486	No	
row_48	CPAMD8	NA	11896	-0.021159451454877853	0.15403609	No	
row_49	PAXBP1	NA	12045	-0.02239253558218479	0.15057854	No	
row_50	BABAM1	NA	12398	-0.024960456416010857	0.13776508	No	
row_51	TBC1D1	NA	13051	-0.030343223363161087	0.111453496	No	
row_52	ARMH4	NA	13297	-0.03235574811697006	0.10496537	No	
row_53	RHEX	NA	13311	-0.03249718248844147	0.109613955	No	
row_54	ATP5F1B	NA	13527	-0.0344860665500164	0.1049085	No	
row_55	PER1	NA	13859	-0.037288960069417953	0.09510083	No	
row_56	C12orf77	NA	13990	-0.03851880133152008	0.095121376	No	
row_57	LINC01869	NA	14220	-0.0406157411634922	0.09073956	No	
row_58	STAP2	NA	14537	-0.04375266283750534	0.08269892	No	
row_59	ILF2	NA	14593	-0.04437980428338051	0.087262996	No	
row_60	WDCP	NA	14908	-0.04742215946316719	0.079913385	No	
row_61	KATNB1	NA	15736	-0.055969905108213425	0.049375445	No	
row_62	MPND	NA	16308	-0.06307613104581833	0.03225367	No	
row_63	LCP1	NA	16414	-0.06440848857164383	0.037671376	No	
row_64	POLR3A	NA	16427	-0.06460915505886078	0.047576718	No	
row_65	MCM3	NA	16519	-0.06567681580781937	0.053870812	No	
row_66	CCR9	NA	18244	-0.09282661229372025	-0.013658695	No	
row_67	H2BC13	NA	18641	-0.10073354840278625	-0.01628886	No	
row_68	STIP1	NA	18809	-0.10392996668815613	-0.007430473	No	
row_69	IL21R	NA	19014	-0.10896627604961395	4.7239143E-4	No	
row_70	HLA-DMB	NA	19032	-0.10951728373765945	0.017422719	No	
row_71	TRMT1	NA	20438	-0.17277702689170837	-0.021856667	No	
row_72	FCRL4	NA	20898	-0.28476762771606445	0.0023472058	No	
