NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LYSMD1	NA	207	0.2119940221309662	0.002654872	No	
row_1	BPIFA2	NA	328	0.17994754016399384	0.007601465	No	
row_2	U2AF1L4	NA	366	0.17364263534545898	0.016183864	No	
row_3	PLCD4	NA	435	0.16500107944011688	0.022751538	No	
row_4	FANCB	NA	562	0.15025334060192108	0.025634553	No	
row_5	LMO3	NA	608	0.14561375975608826	0.032156155	No	
row_6	FGFR3	NA	611	0.14547663927078247	0.040748265	No	
row_7	NR4A3	NA	627	0.14366506040096283	0.048603732	No	
row_8	INSR	NA	785	0.12986330687999725	0.048770327	No	
row_9	HOXA3	NA	909	0.12271606177091599	0.050153665	No	
row_10	BAALC	NA	1001	0.1181311160326004	0.0528101	No	
row_11	MOSPD2	NA	1044	0.11617236584424973	0.0577183	No	
row_12	AOC2	NA	1208	0.10841041058301926	0.056313537	No	
row_13	MIR22HG	NA	1342	0.10331031680107117	0.05605442	No	
row_14	PDZD3	NA	1462	0.09910301119089127	0.056220803	No	
row_15	TMEM79	NA	1498	0.09763927012681961	0.06036048	No	
row_16	PIPOX	NA	1538	0.09641590714454651	0.06423372	No	
row_17	STMN2	NA	1578	0.09512064605951309	0.068029605	No	
row_18	RTP3	NA	1659	0.0926131159067154	0.0696937	No	
row_19	TTYH2	NA	1678	0.09202504903078079	0.07431987	No	
row_20	LRRN1	NA	1974	0.08321812003850937	0.06502934	No	
row_21	WDPCP	NA	2207	0.0770283043384552	0.058414645	No	
row_22	KCNK10	NA	2214	0.0769743099808693	0.06272199	No	
row_23	PGF	NA	2334	0.07451300323009491	0.061419703	No	
row_24	MOSPD1	NA	2335	0.07448773086071014	0.06586859	No	
row_25	NEDD9	NA	2423	0.07260453701019287	0.065999255	No	
row_26	CCL15	NA	2485	0.0714719146490097	0.067319155	No	
row_27	SPSB2	NA	2600	0.06943781673908234	0.06595545	No	
row_28	ZNF597	NA	2880	0.06383455544710159	0.05628068	No	
row_29	CCP110	NA	3060	0.06105683743953705	0.051274188	No	
row_30	PARP6	NA	3247	0.05827021226286888	0.04576287	No	
