NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MPPED2	NA	180	0.2199046015739441	0.0038501783	No	
row_1	TRIM23	NA	198	0.21446700394153595	0.015269715	No	
row_2	HBEGF	NA	230	0.20571744441986084	0.025513059	No	
row_3	ITGA6	NA	300	0.18858593702316284	0.032941576	No	
row_4	GJB2	NA	309	0.18617026507854462	0.04318107	No	
row_5	NEGR1	NA	420	0.16655199229717255	0.04736992	No	
row_6	FSCN2	NA	424	0.1657208800315857	0.05668391	No	
row_7	MTSS1	NA	485	0.15864935517311096	0.062838785	No	
row_8	HOXB7	NA	607	0.14569252729415894	0.065305255	No	
row_9	GPD1	NA	744	0.1330258995294571	0.066323616	No	
row_10	STC2	NA	831	0.1263136863708496	0.06937595	No	
row_11	BMP6	NA	881	0.12424933910369873	0.0740991	No	
row_12	RAB26	NA	883	0.12421482801437378	0.08114069	No	
row_13	AP5B1	NA	924	0.12205300480127335	0.08617356	No	
row_14	CPZ	NA	1218	0.10806015878915787	0.07817725	No	
row_15	TREX2	NA	1290	0.10526946187019348	0.08075354	No	
row_16	MIR22HG	NA	1342	0.10331031680107117	0.084184855	No	
row_17	RASSF2	NA	1358	0.1025979146361351	0.08931581	No	
row_18	SLC37A4	NA	1460	0.09910847246646881	0.0900902	No	
row_19	CAMK1D	NA	1698	0.09126763790845871	0.083842546	No	
row_20	ESRP2	NA	1713	0.09090670943260193	0.088354535	No	
row_21	NOL4	NA	1750	0.08963301032781601	0.091730304	No	
row_22	CALB1	NA	1781	0.08844523876905441	0.09532832	No	
row_23	ARHGEF12	NA	2005	0.08253056555986404	0.08925877	No	
row_24	LRP10	NA	2035	0.08173859864473343	0.09252232	No	
row_25	ARID5A	NA	2095	0.07999450713396072	0.09423608	No	
row_26	ITGB4	NA	2105	0.07953082025051117	0.09834047	No	
row_27	ANK2	NA	2212	0.07700429111719131	0.09761148	No	
row_28	GRB2	NA	2242	0.0764380469918251	0.1005725	No	
row_29	FGF8	NA	2320	0.0748101994395256	0.10112019	No	
row_30	GFRA1	NA	2331	0.07461508363485336	0.10489565	No	
row_31	ASB14	NA	2487	0.07144510000944138	0.1014806	No	
row_32	RTN4RL2	NA	2491	0.07136955857276917	0.105409205	No	
row_33	ST3GAL5	NA	2536	0.07077004015445709	0.107321575	No	
row_34	TAFA2	NA	2573	0.0700090304017067	0.109577246	No	
row_35	CADM1	NA	2608	0.06914450973272324	0.11188025	No	
row_36	IFT20	NA	2855	0.06427246332168579	0.103656694	No	
row_37	SGMS1	NA	3064	0.06101080775260925	0.09708396	No	
row_38	IGF2-AS	NA	3239	0.05838531255722046	0.09200499	No	
row_39	WDR20	NA	3254	0.05816448852419853	0.09464812	No	
row_40	ALDH1A2	NA	3727	0.051423728466033936	0.07476592	No	
row_41	DEF6	NA	3925	0.04861077666282654	0.06801718	No	
row_42	BICDL1	NA	4094	0.046527694910764694	0.062551446	No	
row_43	WNT6	NA	4102	0.04642776772379875	0.06486306	No	
row_44	KLHL13	NA	4284	0.04413295164704323	0.058632202	No	
row_45	AIG1	NA	4351	0.04324478656053543	0.057909966	No	
row_46	ATXN7L2	NA	4368	0.04304834455251694	0.059593607	No	
row_47	COL4A4	NA	4394	0.04265979677438736	0.06082	No	
row_48	LNX2	NA	4549	0.040874164551496506	0.055708364	No	
row_49	DLL1	NA	4630	0.03996124118566513	0.054121923	No	
row_50	GATA2	NA	4672	0.03938942402601242	0.054388177	No	
row_51	PPOX	NA	4859	0.037495408207178116	0.04753675	No	
row_52	CALN1	NA	5255	0.03261556848883629	0.03030334	No	
row_53	SIPA1	NA	5321	0.03180023282766342	0.028976213	No	
row_54	GIT1	NA	5369	0.03130127862095833	0.02849076	No	
row_55	GPD1L	NA	5419	0.030783047899603844	0.027879043	No	
row_56	JADE1	NA	5525	0.02971070073544979	0.024498973	No	
row_57	FYN	NA	5621	0.0285694170743227	0.021537181	No	
row_58	ABLIM3	NA	5740	0.027515405789017677	0.017403364	No	
row_59	GPR37	NA	5879	0.0261898972094059	0.012227053	No	
row_60	NKAIN2	NA	5921	0.025791600346565247	0.011717169	No	
row_61	FAM53C	NA	5981	0.02514997497200966	0.010300509	No	
row_62	PPARA	NA	5994	0.024981049820780754	0.011146274	No	
row_63	KRAS	NA	6046	0.02442988194525242	0.010075248	No	
row_64	WTAP	NA	6135	0.023485461249947548	0.007161666	No	
row_65	ARL5B	NA	6279	0.022411199286580086	0.001527965	No	
row_66	DMPK	NA	6559	0.019869454205036163	-0.010825309	No	
row_67	PHACTR3	NA	6659	0.018880130723118782	-0.014533514	No	
row_68	RIN1	NA	6928	0.016556356102228165	-0.026544133	No	
row_69	AP1S2	NA	6939	0.016457797959446907	-0.026088173	No	
row_70	LYSMD2	NA	6994	0.016075266525149345	-0.02778109	No	
row_71	DALRD3	NA	7078	0.015284672379493713	-0.030921048	No	
row_72	HNF1B	NA	7113	0.015070023015141487	-0.031704504	No	
row_73	LARP1B	NA	7185	0.014515412040054798	-0.034308266	No	
row_74	TNFRSF21	NA	7337	0.0133848050609231	-0.04084391	No	
row_75	IGF2	NA	7343	0.013353990390896797	-0.040323403	No	
row_76	DCLK2	NA	7379	0.013007527217268944	-0.041272923	No	
row_77	RUNX1	NA	7491	0.012044823728501797	-0.045951378	No	
row_78	POLR1D	NA	7519	0.011685162782669067	-0.046589643	No	
row_79	NPEPPS	NA	7579	0.011110047809779644	-0.048807673	No	
row_80	CDH2	NA	7674	0.010388687252998352	-0.052758843	No	
row_81	MINK1	NA	7749	0.009859820827841759	-0.055773363	No	
row_82	NEDD4L	NA	7750	0.00985710509121418	-0.05521074	No	
row_83	KRT8	NA	7795	0.00949152372777462	-0.056796025	No	
row_84	RRAGC	NA	7848	0.009157405234873295	-0.058787115	No	
row_85	BEST3	NA	7868	0.008957373909652233	-0.05919434	No	
row_86	GNAS	NA	8016	0.007687119767069817	-0.06586183	No	
row_87	SORCS2	NA	8035	0.007548089604824781	-0.06630116	No	
row_88	SMAD3	NA	8091	0.007166322320699692	-0.06855092	No	
row_89	NTRK3	NA	8172	0.006504899822175503	-0.07204698	No	
row_90	TGFB3	NA	8174	0.006499694660305977	-0.07172433	No	
row_91	SSH2	NA	8323	0.005412438418716192	-0.07857	No	
row_92	EXOC6	NA	8351	0.005117816384881735	-0.079583116	No	
row_93	MEGF8	NA	8521	0.0037078962195664644	-0.08754125	No	
row_94	COL22A1	NA	8563	0.0034664697013795376	-0.08932541	No	
row_95	SORT1	NA	8654	0.002866830676794052	-0.09351255	No	
row_96	SMTNL2	NA	8720	0.0023586181923747063	-0.09652014	No	
row_97	HMGN2	NA	8913	9.523420594632626E-4	-0.105747424	No	
row_98	CDH5	NA	8953	7.148205768316984E-4	-0.10759196	No	
row_99	TNFAIP1	NA	9000	3.804953012149781E-4	-0.10979397	No	
row_100	INVS	NA	9095	-4.268779593985528E-4	-0.11431374	No	
row_101	CHRND	NA	9249	-0.001461668754927814	-0.121626616	No	
row_102	DLL3	NA	9288	-0.001720156753435731	-0.123365425	No	
row_103	DOK7	NA	9357	-0.0021584562491625547	-0.12652947	No	
row_104	LINC01565	NA	9401	-0.002473117085173726	-0.12846701	No	
row_105	ZNF205	NA	9470	-0.0030472695361822844	-0.13158032	No	
row_106	CKM	NA	9568	-0.003807124914601445	-0.13605219	No	
row_107	CFL1	NA	9586	-0.003942354582250118	-0.13664897	No	
row_108	CCNL2	NA	9685	-0.0046487548388540745	-0.14112113	No	
row_109	CCDC88B	NA	9712	-0.004863128997385502	-0.14210045	No	
row_110	SPCS1	NA	9756	-0.00515161594375968	-0.1438851	No	
row_111	SFTPC	NA	9763	-0.005230344366282225	-0.14387661	No	
row_112	MAMSTR	NA	9925	-0.0063768187537789345	-0.15129568	No	
row_113	NR4A1	NA	10133	-0.007909109815955162	-0.16085102	No	
row_114	TPM3	NA	10138	-0.007943550124764442	-0.16059098	No	
row_115	C1GALT1C1	NA	10167	-0.008084341883659363	-0.16148311	No	
row_116	SOX17	NA	10282	-0.008926799520850182	-0.16648456	No	
row_117	PSTPIP1	NA	10623	-0.011477899737656116	-0.18226567	No	
row_118	TTC17	NA	10678	-0.011766011826694012	-0.18420455	No	
row_119	COQ10A	NA	11002	-0.014359358698129654	-0.19899938	No	
row_120	OSR1	NA	11026	-0.014616155065596104	-0.19927697	No	
row_121	JSRP1	NA	11029	-0.01463054958730936	-0.19853857	No	
row_122	TMEM178A	NA	11099	-0.01526585128158331	-0.20100282	No	
row_123	ARHGAP24	NA	11238	-0.01633763685822487	-0.20674148	No	
row_124	CORO2B	NA	11370	-0.017349030822515488	-0.21208401	No	
row_125	EYA3	NA	11489	-0.018268974497914314	-0.2167456	No	
row_126	CANX	NA	11576	-0.018975328654050827	-0.21981992	No	
row_127	ELOVL1	NA	11687	-0.019843118265271187	-0.22400492	No	
row_128	COL4A3	NA	11747	-0.020187444984912872	-0.22570483	No	
row_129	WDR81	NA	11799	-0.020569738000631332	-0.2269962	No	
row_130	C1QC	NA	11939	-0.02152908965945244	-0.23248687	No	
row_131	DNAJB5	NA	12007	-0.022109752520918846	-0.2344638	No	
row_132	FUT8	NA	12101	-0.02278110571205616	-0.23765929	No	
row_133	GDPD2	NA	12550	-0.025964057072997093	-0.25783446	No	
row_134	SERBP1	NA	12816	-0.028133796527981758	-0.26903924	No	
row_135	PNPLA2	NA	12875	-0.02857419103384018	-0.2702121	No	
row_136	RPAIN	NA	12992	-0.02985994890332222	-0.27411544	No	
row_137	NSG2	NA	13053	-0.030359728261828423	-0.27528307	No	
row_138	LAMA5	NA	13080	-0.030578648671507835	-0.2747946	No	
row_139	SLC24A3	NA	13097	-0.03069189563393593	-0.27381623	No	
row_140	ARHGAP36	NA	13181	-0.03144602105021477	-0.27603373	No	
row_141	SCG2	NA	13252	-0.031968314200639725	-0.277593	No	
row_142	ARHGEF38	NA	13387	-0.03320245072245598	-0.28217566	No	
row_143	CRCT1	NA	13461	-0.033907972276210785	-0.28376922	No	
row_144	HES6	NA	13710	-0.03595871105790138	-0.29370555	No	
row_145	ADAM12	NA	13776	-0.03651925548911095	-0.29476333	No	
row_146	SASH1	NA	13821	-0.03693809360265732	-0.294782	No	
row_147	KCNK12	NA	13889	-0.03757082298398018	-0.29587644	No	
row_148	SEMA3F	NA	13893	-0.03761906921863556	-0.29387426	No	
row_149	MDGA1	NA	14127	-0.03969620168209076	-0.30287212	No	
row_150	KCNN3	NA	14384	-0.042154461145401	-0.31284156	No	
row_151	AGO1	NA	14412	-0.042440641671419144	-0.31172436	No	
row_152	PLAGL2	NA	14437	-0.042663272470235825	-0.31044942	No	
row_153	TNNC2	NA	14482	-0.04319937527179718	-0.31011075	No	
row_154	ANKRD39	NA	14509	-0.043424904346466064	-0.30888903	No	
row_155	SYT4	NA	14532	-0.043683458119630814	-0.30745918	No	
row_156	UNC45B	NA	14959	-0.048061758279800415	-0.32530954	No	
row_157	ODC1	NA	15016	-0.04872336983680725	-0.32523566	No	
row_158	WFIKKN2	NA	15039	-0.048947494477033615	-0.32350537	No	
row_159	FGF11	NA	15242	-0.050924260169267654	-0.33036375	Yes	
row_160	NUP88	NA	15299	-0.051463883370161057	-0.33013344	Yes	
row_161	CORO2A	NA	15329	-0.05174010619521141	-0.32858214	Yes	
row_162	PIM2	NA	15356	-0.0519866906106472	-0.32687172	Yes	
row_163	SIM1	NA	15383	-0.052245333790779114	-0.32514656	Yes	
row_164	RALYL	NA	15398	-0.05244675651192665	-0.32282978	Yes	
row_165	DNMT3A	NA	15469	-0.05313396826386452	-0.32318094	Yes	
row_166	MYH14	NA	15483	-0.05324069783091545	-0.3207705	Yes	
row_167	USP2	NA	15504	-0.053435247391462326	-0.31868738	Yes	
row_168	EPDR1	NA	15617	-0.05460522696375847	-0.3209849	Yes	
row_169	PKN1	NA	15644	-0.054923780262470245	-0.31910685	Yes	
row_170	KCNB1	NA	15665	-0.05515334755182266	-0.31692564	Yes	
row_171	PTK2B	NA	15691	-0.05544566363096237	-0.31496948	Yes	
row_172	ROBO3	NA	15693	-0.05544706806540489	-0.311853	Yes	
row_173	FBLIM1	NA	15707	-0.055607184767723083	-0.30930752	Yes	
row_174	HMGA1	NA	15824	-0.057039059698581696	-0.3116595	Yes	
row_175	IGFBP5	NA	15864	-0.05753783881664276	-0.31026068	Yes	
