NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NSUN6	NA	208	0.21180036664009094	0.012902452	No	
row_1	CARS1	NA	524	0.15331001579761505	0.014317693	No	
row_2	SASS6	NA	1560	0.09572746604681015	-0.025195334	No	
row_3	RRNAD1	NA	1860	0.08608310669660568	-0.030285822	No	
row_4	GTF2H3	NA	2082	0.08063085377216339	-0.0322078	No	
row_5	SLC35E1	NA	2410	0.07278173416852951	-0.040087312	No	
row_6	SNHG20	NA	2749	0.06630589812994003	-0.04919785	No	
row_7	MED18	NA	2798	0.06536591053009033	-0.04443558	No	
row_8	NUP35	NA	3151	0.05972698703408241	-0.054932863	No	
row_9	S100PBP	NA	3508	0.05425659567117691	-0.06621502	No	
row_10	YARS1	NA	3827	0.0500975027680397	-0.07611622	No	
row_11	RNF115	NA	4070	0.04679892957210541	-0.08271216	No	
row_12	BUD31	NA	4239	0.04476182162761688	-0.08596268	No	
row_13	SECISBP2	NA	4275	0.0442284531891346	-0.082861915	No	
row_14	LINC01424	NA	4379	0.0428570993244648	-0.08318637	No	
row_15	THUMPD3	NA	4613	0.04017851501703262	-0.090065226	No	
row_16	PCBP1-AS1	NA	4749	0.03850056976079941	-0.09240326	No	
row_17	TRMT13	NA	5208	0.03321835771203041	-0.11087782	No	
row_18	SNHG21	NA	5549	0.029401378706097603	-0.12407934	No	
row_19	USF1	NA	5666	0.028217660263180733	-0.12661484	No	
row_20	POLR3C	NA	5688	0.02800552174448967	-0.124595426	No	
row_21	SNHG17	NA	5803	0.026875365525484085	-0.12717985	No	
row_22	EME1	NA	6051	0.02432011254131794	-0.13644987	No	
row_23	CWC22	NA	6476	0.020604044198989868	-0.15465142	No	
row_24	UTP3	NA	6609	0.019302282482385635	-0.15892294	No	
row_25	RSL24D1	NA	6656	0.018909666687250137	-0.15909278	No	
row_26	KANSL1	NA	6766	0.01801901124417782	-0.1623949	No	
row_27	ING4	NA	6894	0.0169778261333704	-0.16667707	No	
row_28	ADPRM	NA	6955	0.016346435993909836	-0.16779901	No	
row_29	APPL2	NA	7052	0.015526712872087955	-0.17074443	No	
row_30	PEX26	NA	7224	0.014180893078446388	-0.17744964	No	
row_31	PSMD9	NA	7244	0.01399697083979845	-0.17685015	No	
row_32	CNIH3	NA	7258	0.013877752237021923	-0.17597446	No	
row_33	EIF2S3	NA	7306	0.013626706786453724	-0.17676432	No	
row_34	ANKRD54	NA	7481	0.01211707852780819	-0.18383749	No	
row_35	GPR137	NA	7555	0.011374098248779774	-0.18612407	No	
row_36	NELFE	NA	7657	0.01056002825498581	-0.18984804	No	
row_37	ISG20L2	NA	7679	0.010380479507148266	-0.1897364	No	
row_38	EIF1AD	NA	7740	0.00993812270462513	-0.19155197	No	
row_39	TATDN1	NA	7746	0.009898541495203972	-0.19072147	No	
row_40	PIDD1	NA	7762	0.009748670272529125	-0.19038908	No	
row_41	SLC39A9	NA	7777	0.009645786136388779	-0.19001964	No	
row_42	THOC5	NA	7883	0.00886133685708046	-0.19412023	No	
row_43	RPS17	NA	8159	0.006579152308404446	-0.20665982	No	
row_44	C1orf122	NA	8246	0.005973365157842636	-0.21015744	No	
row_45	RPL27	NA	8304	0.0055558099411427975	-0.21230279	No	
row_46	SEC14L1	NA	8310	0.005518176592886448	-0.21194644	No	
row_47	RPS6	NA	8366	0.00500909611582756	-0.2140546	No	
row_48	TMEM234	NA	8449	0.004248761106282473	-0.21754614	No	
row_49	EIF3L	NA	8553	0.0035057119093835354	-0.22213005	No	
row_50	SRP54	NA	8623	0.0031239145901054144	-0.2251169	No	
row_51	KCTD5	NA	8657	0.0028428109362721443	-0.22639939	No	
row_52	SERP1	NA	8733	0.002256397157907486	-0.22976926	No	
row_53	EIF3M	NA	8787	0.001900198869407177	-0.23211755	No	
row_54	RPS16	NA	8871	0.0012882212176918983	-0.23597772	No	
row_55	RPL32	NA	8961	6.863213493488729E-4	-0.24019217	No	
row_56	RPS5	NA	8984	5.17145439516753E-4	-0.24119635	No	
row_57	FBXW11	NA	9004	3.2744480995461345E-4	-0.24207647	No	
row_58	SFSWAP	NA	9038	-9.88427837000927E-6	-0.2436656	No	
row_59	MCMBP	NA	9094	-4.2072663200087845E-4	-0.24627042	No	
row_60	CDC45	NA	9109	-5.030421307310462E-4	-0.2468906	No	
row_61	RACK1	NA	9206	-0.0011038444936275482	-0.2513972	No	
row_62	BANF1	NA	9217	-0.0011897344375029206	-0.2517503	No	
row_63	NBPF1	NA	9254	-0.0014965523732826114	-0.25332308	No	
row_64	RPS27	NA	9377	-0.00230846437625587	-0.25895214	No	
row_65	STX4	NA	9420	-0.0026487959548830986	-0.26068935	No	
row_66	RPS14	NA	9443	-0.002888145623728633	-0.26143685	No	
row_67	RPS21	NA	9446	-0.0029017189517617226	-0.26121914	No	
row_68	CHERP	NA	9482	-0.0031310177873820066	-0.26256683	No	
row_69	DPM2	NA	9562	-0.0037709116004407406	-0.26596552	No	
row_70	WDR26	NA	9580	-0.003902561729773879	-0.2663623	No	
row_71	RPS18	NA	9584	-0.003928801976144314	-0.2660816	No	
row_72	EEF1A1	NA	9627	-0.004288063384592533	-0.26764137	No	
row_73	RPLP2	NA	9679	-0.004615939687937498	-0.26959932	No	
row_74	RPL6	NA	9703	-0.004792750813066959	-0.27018887	No	
row_75	DHX8	NA	9705	-0.004804345779120922	-0.26971704	No	
row_76	RPL8	NA	9748	-0.005083694122731686	-0.27119067	No	
row_77	CCDC9	NA	9855	-0.005838350858539343	-0.27566665	No	
row_78	RPL34	NA	9977	-0.00671555008739233	-0.2807705	No	
row_79	RPS25	NA	10023	-0.007036902941763401	-0.2821773	No	
row_80	ADSL	NA	10118	-0.007744078524410725	-0.28586876	No	
row_81	ZNF707	NA	10169	-0.008107639849185944	-0.28740057	No	
row_82	KLRG1	NA	10217	-0.00841902568936348	-0.28875414	No	
row_83	MRPL20	NA	10386	-0.009655145928263664	-0.29580465	No	
row_84	TRAPPC4	NA	10527	-0.010710436850786209	-0.30139166	No	
row_85	IPPK	NA	10593	-0.011223463341593742	-0.30330905	No	
row_86	MTHFD1L	NA	10624	-0.011499961838126183	-0.30350992	No	
row_87	SRSF1	NA	10686	-0.01179948728531599	-0.3051722	No	
row_88	TAF12	NA	10744	-0.012283393181860447	-0.30658937	No	
row_89	LUC7L	NA	10850	-0.013121378608047962	-0.31022882	No	
row_90	EIF2A	NA	10857	-0.013213596306741238	-0.3090877	No	
row_91	VIPAS39	NA	10885	-0.013454542495310307	-0.30893245	No	
row_92	SRGAP3	NA	10902	-0.013587375171482563	-0.30823272	No	
row_93	FEN1	NA	11256	-0.016420168802142143	-0.3234658	No	
row_94	PSMC5	NA	11414	-0.017664339393377304	-0.32911932	No	
row_95	TRMT112	NA	11451	-0.017918823286890984	-0.32891452	No	
row_96	TMEM258	NA	11487	-0.01825098507106304	-0.32862562	No	
row_97	EIF3D	NA	11616	-0.019300242885947227	-0.3327046	No	
row_98	TIMM10B	NA	11699	-0.019914139062166214	-0.3345005	No	
row_99	SSR2	NA	11715	-0.02001824602484703	-0.3330565	No	
row_100	NDUFB9	NA	11973	-0.02185942605137825	-0.34307477	No	
row_101	C16orf91	NA	12305	-0.024289706721901894	-0.35639587	No	
row_102	BABAM1	NA	12398	-0.024960456416010857	-0.35812742	No	
row_103	MRPL43	NA	12599	-0.026366954669356346	-0.36491105	No	
row_104	MED15	NA	12703	-0.027296986430883408	-0.36691976	No	
row_105	DDX42	NA	12775	-0.027849823236465454	-0.36732662	No	
row_106	SERBP1	NA	12816	-0.028133796527981758	-0.3662089	No	
row_107	CCDC47	NA	12860	-0.0285224337130785	-0.36519367	No	
row_108	TXLNA	NA	12988	-0.029803909361362457	-0.36808756	No	
row_109	TIMMDC1	NA	13135	-0.031063908711075783	-0.3717606	No	
row_110	PRDX5	NA	13198	-0.031551606953144073	-0.3713331	No	
row_111	NIP7	NA	13234	-0.03183756023645401	-0.36957353	No	
row_112	SCO1	NA	13267	-0.032073233276605606	-0.3676439	No	
row_113	SMUG1	NA	13329	-0.032685667276382446	-0.36704543	No	
row_114	DHX30	NA	13604	-0.03508727625012398	-0.37645108	No	
row_115	ERH	NA	13700	-0.03589705377817154	-0.37714338	No	
row_116	UBE2G2	NA	13950	-0.038244444876909256	-0.3850026	No	
row_117	LARS1	NA	14018	-0.03875761479139328	-0.38403603	No	
row_118	CCDC71	NA	14044	-0.03896179795265198	-0.38102344	No	
row_119	UFD1	NA	14445	-0.04283047839999199	-0.39566267	Yes	
row_120	VPS52	NA	14447	-0.04284946992993355	-0.39107275	Yes	
row_121	PRSS30P	NA	14476	-0.043127451092004776	-0.38775384	Yes	
row_122	SH2B1	NA	14543	-0.04379772022366524	-0.38619354	Yes	
row_123	SUPT5H	NA	14725	-0.04564066603779793	-0.38997537	Yes	
row_124	CD2BP2	NA	14783	-0.046245429664850235	-0.3877164	Yes	
row_125	MIEF1	NA	14808	-0.04649089276790619	-0.3838407	Yes	
row_126	FKBP1A	NA	14815	-0.046516209840774536	-0.37909484	Yes	
row_127	MRPS23	NA	14976	-0.04827459901571274	-0.38157964	Yes	
row_128	PCBP1	NA	14984	-0.04842570051550865	-0.37667528	Yes	
row_129	UTP11	NA	14997	-0.048584215342998505	-0.3719947	Yes	
row_130	ITPA	NA	15085	-0.0493687242269516	-0.37084332	Yes	
row_131	PRPF6	NA	15126	-0.04977179691195488	-0.36738348	Yes	
row_132	NR1H2	NA	15171	-0.05017486587166786	-0.36407277	Yes	
row_133	ZNF815P	NA	15248	-0.05097661167383194	-0.36221728	Yes	
row_134	SEC23IP	NA	15268	-0.05117185786366463	-0.35759392	Yes	
row_135	STX10	NA	15369	-0.05208221450448036	-0.35677528	Yes	
row_136	PNKP	NA	15376	-0.05214831233024597	-0.3514198	Yes	
row_137	EIF2B1	NA	15405	-0.05252409353852272	-0.3470838	Yes	
row_138	ARFIP2	NA	15433	-0.052799422293901443	-0.34266979	Yes	
row_139	M6PR	NA	15462	-0.05306430906057358	-0.33827528	Yes	
row_140	DNAAF5	NA	15563	-0.05403445288538933	-0.33724535	Yes	
row_141	RPL34-DT	NA	15575	-0.054177332669496536	-0.33191118	Yes	
row_142	SUPT4H1	NA	15595	-0.05435691028833389	-0.32694307	Yes	
row_143	PDAP1	NA	15669	-0.055215563625097275	-0.3244842	Yes	
row_144	ZNF202	NA	15711	-0.05562800168991089	-0.32043865	Yes	
row_145	HIGD2A	NA	16091	-0.060263071209192276	-0.33217898	Yes	
row_146	YRDC	NA	16117	-0.060528289526700974	-0.32683203	Yes	
row_147	RANBP1	NA	16125	-0.06064525246620178	-0.320605	Yes	
row_148	P4HB	NA	16254	-0.06230761110782623	-0.3200288	Yes	
row_149	EIF4A1	NA	16268	-0.06251924484968185	-0.3138881	Yes	
row_150	PHF23	NA	16276	-0.06261042505502701	-0.30744836	Yes	
row_151	MRPL27	NA	16405	-0.0643644705414772	-0.30664954	Yes	
row_152	GCN1	NA	16428	-0.06463015079498291	-0.30071402	Yes	
row_153	EIF3I	NA	16513	-0.06561674177646637	-0.29765937	Yes	
row_154	IER2	NA	16761	-0.06932912021875381	-0.30205753	Yes	
row_155	ZNF384	NA	16781	-0.06957690417766571	-0.29544201	Yes	
row_156	YKT6	NA	16789	-0.06976176053285599	-0.2882282	Yes	
row_157	UBXN8	NA	16848	-0.07059137523174286	-0.2833822	Yes	
row_158	PGK1	NA	16878	-0.07113401591777802	-0.27708003	Yes	
row_159	GTPBP4	NA	16901	-0.07144603133201599	-0.27040672	Yes	
row_160	TSC2	NA	16935	-0.07188114523887634	-0.26421642	Yes	
row_161	DUS3L	NA	17139	-0.07473889738321304	-0.26590875	Yes	
row_162	ABCF1	NA	17256	-0.07636839151382446	-0.26323235	Yes	
row_163	GOSR2	NA	17285	-0.07676176726818085	-0.25627282	Yes	
row_164	ATP13A1	NA	17320	-0.07727797329425812	-0.24954653	Yes	
row_165	UBAC1	NA	17416	-0.07880266010761261	-0.2455947	Yes	
row_166	C19orf53	NA	17447	-0.07929915934801102	-0.23845688	Yes	
row_167	TWNK	NA	17522	-0.08048247545957565	-0.23331125	Yes	
row_168	DDX21	NA	17693	-0.08320971578359604	-0.2324965	Yes	
row_169	SURF6	NA	17972	-0.0881248489022255	-0.23635404	Yes	
row_170	LYPLA2	NA	18080	-0.09000655263662338	-0.23176771	Yes	
row_171	POLR1B	NA	18598	-0.09980858117341995	-0.24587755	Yes	
row_172	EXOSC4	NA	18692	-0.10172462463378906	-0.23934823	Yes	
row_173	IMPACT	NA	18847	-0.10473868250846863	-0.23543213	Yes	
row_174	AHSA1	NA	18855	-0.10492463409900665	-0.22441225	Yes	
row_175	MRPS26	NA	18921	-0.10655957460403442	-0.21601032	Yes	
row_176	SLFN11	NA	18969	-0.10767941176891327	-0.20661978	Yes	
row_177	FTSJ3	NA	19017	-0.10903088748455048	-0.19708295	Yes	
row_178	SKIV2L	NA	19109	-0.11190348118543625	-0.18935548	Yes	
row_179	NTHL1	NA	19392	-0.11945732682943344	-0.19001429	Yes	
row_180	DBNL	NA	19421	-0.12037811428308487	-0.17833365	Yes	
row_181	MRPL24	NA	19457	-0.12112760543823242	-0.16690922	Yes	
row_182	RSL1D1	NA	19480	-0.12182477861642838	-0.15478286	Yes	
row_183	HM13	NA	19485	-0.1221790537238121	-0.14175077	Yes	
row_184	TSR1	NA	19595	-0.12654919922351837	-0.1333054	Yes	
row_185	WDR18	NA	19724	-0.13125061988830566	-0.12526673	Yes	
row_186	COG8	NA	19805	-0.13451620936393738	-0.11456154	Yes	
row_187	TRMT2A	NA	19809	-0.13477936387062073	-0.10011739	Yes	
row_188	FBXL19	NA	20015	-0.1443127989768982	-0.09437533	Yes	
row_189	NOP16	NA	20053	-0.14582733809947968	-0.08037373	Yes	
row_190	FADS2	NA	20180	-0.1528322994709015	-0.069902636	Yes	
row_191	TCOF1	NA	20213	-0.15510191023349762	-0.054656196	Yes	
row_192	PPAN	NA	20434	-0.17218223214149475	-0.046620328	Yes	
row_193	TRIM16	NA	20447	-0.17324964702129364	-0.02844579	Yes	
row_194	CD2BP2-DT	NA	20705	-0.2037772685289383	-0.018772988	Yes	
row_195	SAMD10	NA	20891	-0.2807290852069855	0.0026987367	Yes	
