NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RORC	NA	282	0.19313795864582062	0.017821766	No	
row_1	ELOVL4	NA	658	0.1405882090330124	0.022673571	No	
row_2	RASGRP1	NA	723	0.13474804162979126	0.04145886	No	
row_3	EVI2A	NA	889	0.12366636842489243	0.053614877	No	
row_4	CD69	NA	2157	0.07804165780544281	0.00564622	No	
row_5	PMEPA1	NA	3300	0.05740724131464958	-0.039687157	No	
row_6	PTPRC	NA	3878	0.049213603138923645	-0.05931552	No	
row_7	METTL7A	NA	6252	0.022577553987503052	-0.16919556	No	
row_8	TASP1	NA	6490	0.020480765029788017	-0.17721461	No	
row_9	AKAP13	NA	7149	0.014796187169849873	-0.20629887	No	
row_10	ESF1	NA	7632	0.01075133215636015	-0.22761789	No	
row_11	TMEM131L	NA	10460	-0.010353661142289639	-0.36120236	No	
row_12	LZTFL1	NA	10518	-0.010647078044712543	-0.36220336	No	
row_13	IGF1R	NA	15229	-0.05079883337020874	-0.5793259	No	
row_14	RITA1	NA	15460	-0.05305073410272598	-0.58172923	No	
row_15	AEN	NA	15866	-0.05756767466664314	-0.59177345	No	
row_16	SLC29A1	NA	16535	-0.06590018421411514	-0.6130504	No	
row_17	FARSB	NA	16792	-0.06977296620607376	-0.6139865	No	
row_18	WDR3	NA	17655	-0.08253920823335648	-0.64184797	No	
row_19	APRT	NA	18349	-0.09462965279817581	-0.65966296	Yes	
row_20	EVL	NA	18359	-0.09477073699235916	-0.6447279	Yes	
row_21	SHQ1	NA	18500	-0.09790530055761337	-0.63555247	Yes	
row_22	MYC	NA	19020	-0.10911556333303452	-0.64269346	Yes	
row_23	E2F5	NA	19149	-0.1132594496011734	-0.6304544	Yes	
row_24	PCBP3	NA	19362	-0.1188492700457573	-0.62132823	Yes	
row_25	GPATCH4	NA	19383	-0.11921651661396027	-0.60295594	Yes	
row_26	NOTCH3	NA	19569	-0.12565606832504272	-0.59143424	Yes	
row_27	DHX37	NA	19596	-0.12660831212997437	-0.5721505	Yes	
row_28	MRTO4	NA	19780	-0.1337166130542755	-0.5592262	Yes	
row_29	RHOU	NA	19885	-0.13820785284042358	-0.5417939	Yes	
row_30	FKBP4	NA	19961	-0.14142140746116638	-0.5224529	Yes	
row_31	MRPL4	NA	19985	-0.14292359352111816	-0.50038034	Yes	
row_32	NOP16	NA	20053	-0.14582733809947968	-0.47994223	Yes	
row_33	MCRIP2	NA	20083	-0.14683897793293	-0.45752195	Yes	
row_34	CCDC86	NA	20144	-0.15034818649291992	-0.4360159	Yes	
row_35	PPRC1	NA	20170	-0.1524749994277954	-0.41249043	Yes	
row_36	TCOF1	NA	20213	-0.15510191023349762	-0.3893524	Yes	
row_37	IFRD2	NA	20326	-0.1628466248512268	-0.36830798	Yes	
row_38	MYBBP1A	NA	20366	-0.16618983447551727	-0.34322867	Yes	
row_39	TRMT1	NA	20438	-0.17277702689170837	-0.31861246	Yes	
row_40	PWP2	NA	20536	-0.18086431920528412	-0.293929	Yes	
row_41	PUS7	NA	20545	-0.18178491294384003	-0.26483792	Yes	
row_42	P2RX5	NA	20708	-0.20385824143886566	-0.2395364	Yes	
row_43	CR2	NA	20812	-0.22877667844295502	-0.20737173	Yes	
row_44	SRM	NA	20833	-0.23741860687732697	-0.16983458	Yes	
row_45	HES1	NA	20889	-0.2787601947784424	-0.12726915	Yes	
row_46	VARS1	NA	20922	-0.3202784061431885	-0.076871626	Yes	
row_47	DTX1	NA	20944	-0.48120176792144775	1.4365376E-4	Yes	
