NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMEPA1	NA	3300	0.05740724131464958	-0.14726123	No	
row_1	TASP1	NA	6490	0.020480765029788017	-0.2960191	No	
row_2	AKAP13	NA	7149	0.014796187169849873	-0.32476476	No	
row_3	ESF1	NA	7632	0.01075133215636015	-0.34583768	No	
row_4	TMEM131L	NA	10460	-0.010353661142289639	-0.4791473	No	
row_5	LZTFL1	NA	10518	-0.010647078044712543	-0.4799113	No	
row_6	IGF1R	NA	15229	-0.05079883337020874	-0.695832	No	
row_7	RITA1	NA	15460	-0.05305073410272598	-0.69705546	No	
row_8	AEN	NA	15866	-0.05756767466664314	-0.70581675	No	
row_9	SLC29A1	NA	16535	-0.06590018421411514	-0.7256218	No	
row_10	FARSB	NA	16792	-0.06977296620607376	-0.7250068	No	
row_11	WDR3	NA	17655	-0.08253920823335648	-0.75102437	No	
row_12	APRT	NA	18349	-0.09462965279817581	-0.7667301	Yes	
row_13	EVL	NA	18359	-0.09477073699235916	-0.7496936	Yes	
row_14	SHQ1	NA	18500	-0.09790530055761337	-0.73834515	Yes	
row_15	MYC	NA	19020	-0.10911556333303452	-0.7430585	Yes	
row_16	E2F5	NA	19149	-0.1132594496011734	-0.7283062	Yes	
row_17	PCBP3	NA	19362	-0.1188492700457573	-0.7165414	Yes	
row_18	GPATCH4	NA	19383	-0.11921651661396027	-0.69552547	Yes	
row_19	NOTCH3	NA	19569	-0.12565606832504272	-0.68121475	Yes	
row_20	DHX37	NA	19596	-0.12660831212997437	-0.65912336	Yes	
row_21	MRTO4	NA	19780	-0.1337166130542755	-0.64323133	Yes	
row_22	RHOU	NA	19885	-0.13820785284042358	-0.62273294	Yes	
row_23	FKBP4	NA	19961	-0.14142140746116638	-0.60025513	Yes	
row_24	MRPL4	NA	19985	-0.14292359352111816	-0.5750132	Yes	
row_25	NOP16	NA	20053	-0.14582733809947968	-0.5513407	Yes	
row_26	MCRIP2	NA	20083	-0.14683897793293	-0.52566415	Yes	
row_27	CCDC86	NA	20144	-0.15034818649291992	-0.5008236	Yes	
row_28	PPRC1	NA	20170	-0.1524749994277954	-0.473917	Yes	
row_29	TCOF1	NA	20213	-0.15510191023349762	-0.44733933	Yes	
row_30	IFRD2	NA	20326	-0.1628466248512268	-0.42268243	Yes	
row_31	MYBBP1A	NA	20366	-0.16618983447551727	-0.39391768	Yes	
row_32	TRMT1	NA	20438	-0.17277702689170837	-0.36546946	Yes	
row_33	PWP2	NA	20536	-0.18086431920528412	-0.33677426	Yes	
row_34	PUS7	NA	20545	-0.18178491294384003	-0.30365247	Yes	
row_35	P2RX5	NA	20708	-0.20385824143886566	-0.2738283	Yes	
row_36	CR2	NA	20812	-0.22877667844295502	-0.23658946	Yes	
row_37	SRM	NA	20833	-0.23741860687732697	-0.19378787	Yes	
row_38	HES1	NA	20889	-0.2787601947784424	-0.14504078	Yes	
row_39	VARS1	NA	20922	-0.3202784061431885	-0.087541424	Yes	
row_40	DTX1	NA	20944	-0.48120176792144775	1.4356789E-4	Yes	
