NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H1-5	NA	0	0.8533703684806824	0.080008745	Yes	
row_1	H1-4	NA	1	0.7539213299751282	0.15069354	Yes	
row_2	H1-3	NA	2	0.6829494833946228	0.21472426	Yes	
row_3	H2AC14	NA	14	0.42567646503448486	0.25410742	Yes	
row_4	H2AC7	NA	18	0.4014430344104767	0.29160154	Yes	
row_5	H1-2	NA	21	0.400330126285553	0.32903922	Yes	
row_6	H3C4	NA	32	0.3422626554965973	0.36064968	Yes	
row_7	H2AC17	NA	34	0.34036919474601746	0.3925135	Yes	
row_8	H2AC6	NA	36	0.3379293382167816	0.4241486	Yes	
row_9	H3C11	NA	42	0.3256513774394989	0.45444104	Yes	
row_10	H3C2	NA	52	0.3113403618335724	0.48320025	Yes	
row_11	H2AC16	NA	59	0.30313462018966675	0.5113337	Yes	
row_12	H2AC13	NA	63	0.2947203814983368	0.53882194	Yes	
row_13	H2BC14	NA	144	0.23198090493679047	0.5567415	Yes	
row_14	H3C12	NA	155	0.2279847115278244	0.5776377	Yes	
row_15	H2BC4	NA	157	0.22706404328346252	0.59887844	Yes	
row_16	H2AC4	NA	187	0.2184075564146042	0.61796707	Yes	
row_17	H2BC17	NA	260	0.2003479152917862	0.6333038	Yes	
row_18	H3C1	NA	261	0.2001871019601822	0.6520726	Yes	
row_19	H2BC8	NA	268	0.19818885624408722	0.67036676	Yes	
row_20	H4C1	NA	290	0.19135618209838867	0.6873022	Yes	
row_21	H3C10	NA	455	0.16304059326648712	0.6947365	Yes	
row_22	H2BC11	NA	494	0.15745705366134644	0.7076797	Yes	
row_23	H2BC7	NA	501	0.15667855739593506	0.722082	Yes	
row_24	H2BC5	NA	535	0.15263696014881134	0.73481274	Yes	
row_25	H2BC21	NA	792	0.12959329783916473	0.7347065	Yes	
row_26	H2BC15	NA	852	0.12544012069702148	0.74364257	Yes	
row_27	H2AC8	NA	922	0.12212201207876205	0.7517888	Yes	
row_28	H3C3	NA	934	0.12161813676357269	0.76266456	Yes	
row_29	H2BC9	NA	1128	0.11195380985736847	0.7639207	Yes	
row_30	H1-1	NA	1557	0.09583626687526703	0.75241476	No	
row_31	H2BC6	NA	1684	0.09179447591304779	0.7549886	No	
row_32	UBE2C	NA	2246	0.0763721913099289	0.73529017	No	
row_33	H3C8	NA	3088	0.06066761538386345	0.7007139	No	
row_34	PCGF1	NA	3218	0.05869131162762642	0.70004046	No	
row_35	H2BC1	NA	3256	0.0580781027674675	0.7037142	No	
row_36	H2AC15	NA	3501	0.05433621257543564	0.6971266	No	
row_37	H2BC3	NA	3973	0.04789428785443306	0.6790671	No	
row_38	H2AC11	NA	5110	0.034391630440950394	0.62790364	No	
row_39	H2BC12	NA	6159	0.023302530869841576	0.5799136	No	
row_40	PHACTR3	NA	6659	0.018880130723118782	0.5577933	No	
row_41	H4C13	NA	6921	0.016616616398096085	0.5468554	No	
row_42	CDK15	NA	7803	0.009451670572161674	0.5055622	No	
row_43	CYBC1	NA	8114	0.006989778019487858	0.49137577	No	
row_44	PRRC2C	NA	8744	0.002147184917703271	0.46146265	No	
row_45	H2AW	NA	9130	-6.314909551292658E-4	0.44308934	No	
row_46	SEZ6	NA	9178	-9.267704444937408E-4	0.44092605	No	
row_47	H1-6	NA	12422	-0.025129051879048347	0.288018	No	
row_48	ABTB2	NA	12797	-0.028018780052661896	0.27273905	No	
row_49	H3C6	NA	13572	-0.03486840799450874	0.23895164	No	
row_50	NOTCH4	NA	13742	-0.036222562193870544	0.23425657	No	
row_51	ZBTB9	NA	15951	-0.05853288620710373	0.1340327	No	
row_52	TMTC4	NA	16656	-0.06752549856901169	0.10665846	No	
row_53	ZNF710	NA	17884	-0.08650654554367065	0.05602431	No	
row_54	PLXNB1	NA	18030	-0.08907458931207657	0.057433482	No	
row_55	H3-4	NA	18245	-0.09286510944366455	0.055894554	No	
row_56	H2BC13	NA	18641	-0.10073354840278625	0.04642766	No	
row_57	DSCAM	NA	18876	-0.10555965453386307	0.04512139	No	
row_58	H3C7	NA	20593	-0.1868182271718979	-0.019519614	No	
row_59	GBX2	NA	20611	-0.19036807119846344	-0.0024853353	No	
row_60	TCF21	NA	20667	-0.19757556915283203	0.013405378	No	
