NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZNF800	NA	83	0.2793276309967041	0.015689159	No	
row_1	BCL6	NA	570	0.14910539984703064	0.0027261502	No	
row_2	SCUBE3	NA	664	0.13955333828926086	0.008075016	No	
row_3	CEBPB	NA	665	0.139447420835495	0.017909165	No	
row_4	ARID4A	NA	805	0.12879793345928192	0.020277314	No	
row_5	EXD1	NA	932	0.12173707038164139	0.022775533	No	
row_6	GABRG2	NA	1011	0.11790189146995544	0.027322127	No	
row_7	NFAT5	NA	1601	0.09445765614509583	0.0055293893	No	
row_8	TTC9C	NA	1636	0.09331367164850235	0.01046757	No	
row_9	LAG3	NA	1831	0.0869653970003128	0.0072285873	No	
row_10	CREB3L2	NA	1883	0.08553598821163177	0.010797012	No	
row_11	ETV1	NA	1919	0.08499537408351898	0.015100258	No	
row_12	VASP	NA	2189	0.07734096795320511	0.00755935	No	
row_13	WNT4	NA	2459	0.0719105526804924	-3.645231E-4	No	
row_14	ZFPM1	NA	2694	0.06736155599355698	-0.006918381	No	
row_15	CCN2	NA	2710	0.06713690608739853	-0.002908371	No	
row_16	ZNF524	NA	2727	0.0668829083442688	0.001035417	No	
row_17	XYLT1	NA	2958	0.06249360740184784	-0.0056685023	No	
row_18	AKT3	NA	3002	0.061889149248600006	-0.0033812337	No	
row_19	NIPBL	NA	3017	0.06173465773463249	2.9610645E-4	No	
row_20	OTOP2	NA	3228	0.05854518711566925	-0.005720081	No	
row_21	CACNB1	NA	3552	0.05367366224527359	-0.017538756	No	
row_22	HEBP1	NA	3766	0.050767216831445694	-0.024248391	No	
row_23	KIF1C	NA	3770	0.05069420486688614	-0.020818248	No	
row_24	YPEL4	NA	3812	0.050235144793987274	-0.019256229	No	
row_25	DLGAP4	NA	3839	0.049787625670433044	-0.01700113	No	
row_26	OLFML2A	NA	3938	0.048328932374715805	-0.018327164	No	
row_27	POU4F1	NA	3959	0.048036932945251465	-0.015905673	No	
row_28	OGA	NA	3969	0.04793757200241089	-0.012959789	No	
row_29	MED13	NA	4388	0.04271687567234039	-0.030140534	No	
row_30	MYBPH	NA	4431	0.04219934344291687	-0.029193526	No	
row_31	ARL6IP6	NA	4530	0.04111886024475098	-0.03102803	No	
row_32	UBL3	NA	4578	0.04053739830851555	-0.030439772	No	
row_33	PHF12	NA	4585	0.04049016907811165	-0.027874168	No	
row_34	SESN3	NA	4629	0.039967503398656845	-0.027132863	No	
row_35	ELF4	NA	4936	0.03653706610202789	-0.039338794	No	
row_36	PDZD9	NA	5056	0.03500868380069733	-0.042618696	No	
row_37	NPAS3	NA	5077	0.034739088267087936	-0.041135	No	
row_38	GPR4	NA	5080	0.034686680883169174	-0.03878543	No	
row_39	PITPNA	NA	5362	0.03136062249541283	-0.05014869	No	
row_40	JPH4	NA	5428	0.030696438625454903	-0.051124003	No	
row_41	MSX1	NA	5683	0.028056710958480835	-0.06141591	No	
row_42	RAB31	NA	5813	0.02681039087474346	-0.065757066	No	
row_43	NKX2-1	NA	5834	0.02662341669201851	-0.0648457	No	
row_44	PLA2G4D	NA	6050	0.024333976209163666	-0.07351609	No	
row_45	DPF2	NA	6078	0.02412036433815956	-0.07311942	No	
row_46	CXCR4	NA	6123	0.023640934377908707	-0.07357781	No	
row_47	DHH	NA	6294	0.022214341908693314	-0.08022376	No	
row_48	FKBP2	NA	6338	0.021871862933039665	-0.0807586	No	
row_49	RHO	NA	6432	0.020980896428227425	-0.083771735	No	
row_50	CIC	NA	6462	0.02078043855726719	-0.08370722	No	
row_51	BOC	NA	6531	0.02015252783894539	-0.08557104	No	
row_52	CCNL1	NA	6551	0.01995052583515644	-0.08508196	No	
row_53	DMPK	NA	6559	0.019869454205036163	-0.084018886	No	
row_54	ISCA2	NA	6575	0.019677333533763885	-0.08335583	No	
row_55	BNC2	NA	6641	0.01904907450079918	-0.085152544	No	
row_56	ZBTB25	NA	6663	0.01883585937321186	-0.08483869	No	
row_57	ZFP36	NA	6823	0.017513252794742584	-0.091284774	No	
row_58	BCL11B	NA	6879	0.017140254378318787	-0.09273301	No	
row_59	PSD	NA	6883	0.017091795802116394	-0.091672584	No	
row_60	POLD4	NA	6976	0.016240812838077545	-0.09497169	No	
row_61	C11orf87	NA	7039	0.015631724148988724	-0.09686448	No	
row_62	ROM1	NA	7115	0.015053322538733482	-0.09942607	No	
row_63	TBC1D22A	NA	7341	0.01336616463959217	-0.10935302	No	
row_64	IQCD	NA	7382	0.012976697646081448	-0.11037024	No	
row_65	NDUFS2	NA	7444	0.012448146939277649	-0.11243923	No	
row_66	MARCHF6	NA	7506	0.011866290122270584	-0.11454925	No	
row_67	PCBP2	NA	7511	0.011776002123951912	-0.113912016	No	
row_68	DDX17	NA	7527	0.011610905639827251	-0.113817826	No	
row_69	PDYN	NA	7661	0.010535277426242828	-0.119499974	No	
row_70	TCF7	NA	7790	0.009541882202029228	-0.12501064	No	
row_71	CACNA1G	NA	8066	0.007340374402701855	-0.137778	No	
row_72	SMAD3	NA	8091	0.007166322320699692	-0.13843204	No	
row_73	UPF2	NA	8201	0.006303697358816862	-0.14325319	No	
row_74	CAMKV	NA	8219	0.006204368080943823	-0.1436369	No	
row_75	EPHB2	NA	8282	0.005734290461987257	-0.14622767	No	
row_76	DTD2	NA	8466	0.004125487059354782	-0.1547773	No	
row_77	NDUFA4L2	NA	8559	0.003481419524177909	-0.15897624	No	
row_78	PRSS50	NA	8580	0.0033722801599651575	-0.1597046	No	
row_79	ARAP3	NA	8775	0.0019588873255997896	-0.16893843	No	
row_80	GABARAP	NA	8777	0.0019446974620223045	-0.1688496	No	
row_81	MCRS1	NA	8862	0.0013264375738799572	-0.17281403	No	
row_82	ZNF385A	NA	9063	-2.0353248692117631E-4	-0.18246152	No	
row_83	KCNAB1	NA	9107	-4.911205032840371E-4	-0.18450417	No	
row_84	SYVN1	NA	9329	-0.0019366589840501547	-0.19504392	No	
row_85	BRPF1	NA	9488	-0.003223566571250558	-0.20244944	No	
row_86	TMEM256	NA	9554	-0.0037289366591721773	-0.20532656	No	
row_87	GSK3B	NA	9587	-0.0039551518857479095	-0.20659353	No	
row_88	DUOXA2	NA	9668	-0.004559988155961037	-0.21013668	No	
row_89	GSS	NA	9692	-0.004723376594483852	-0.21091469	No	
row_90	TSSK4	NA	9697	-0.0047452617436647415	-0.21077327	No	
row_91	ARID1A	NA	9715	-0.004885207396000624	-0.21125002	No	
row_92	SH3BP1	NA	9738	-0.005030384287238121	-0.21195807	No	
row_93	FLI1	NA	9812	-0.005616150330752134	-0.21508858	No	
row_94	CELF3	NA	9846	-0.005799881648272276	-0.21627375	No	
row_95	RBBP6	NA	9892	-0.0060884710401296616	-0.2180183	No	
row_96	TEX33	NA	9971	-0.006685699801892042	-0.22131492	No	
row_97	RBPJ	NA	9973	-0.006687849760055542	-0.2208916	No	
row_98	COX7A2L	NA	9980	-0.006735431030392647	-0.22070645	No	
row_99	SLC2A4	NA	9992	-0.006820010486990213	-0.22075689	No	
row_100	ZMYND8	NA	10052	-0.007227987516671419	-0.22309738	No	
row_101	NR4A1	NA	10133	-0.007909109815955162	-0.22640435	No	
row_102	PRDM10	NA	10198	-0.008297214284539223	-0.22891101	No	
row_103	PYGO2	NA	10247	-0.008569562807679176	-0.2306255	No	
row_104	NACA	NA	10380	-0.009610255248844624	-0.23632458	No	
