NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H1-4	NA	1	0.7539213299751282	0.19500265	Yes	
row_1	H2AC17	NA	34	0.34036919474601746	0.28153113	Yes	
row_2	SLC7A11	NA	39	0.3311351537704468	0.3670094	Yes	
row_3	H3C12	NA	155	0.2279847115278244	0.42049393	Yes	
row_4	H2AC4	NA	187	0.2184075564146042	0.47551695	Yes	
row_5	H2BC17	NA	260	0.2003479152917862	0.52390736	Yes	
row_6	H3C1	NA	261	0.2001871019601822	0.57569873	Yes	
row_7	H2BC5	NA	535	0.15263696014881134	0.6021353	Yes	
row_8	H2BC15	NA	852	0.12544012069702148	0.6194797	Yes	
row_9	H2BC9	NA	1128	0.11195380985736847	0.63529533	Yes	
row_10	PAXIP1-AS2	NA	1141	0.11127742379903793	0.6635107	Yes	
row_11	H2BC6	NA	1684	0.09179447591304779	0.6613448	Yes	
row_12	MSL2	NA	2548	0.0705733373761177	0.63834095	Yes	
row_13	ZFP62	NA	2887	0.06373583525419235	0.63866967	Yes	
row_14	HOXA9	NA	2997	0.06195148825645447	0.6494859	Yes	
row_15	TRIM7	NA	3035	0.06140459328889847	0.66360307	Yes	
row_16	HOXB8	NA	3056	0.06109785661101341	0.67845374	Yes	
row_17	TOP2A	NA	3098	0.0605505146086216	0.6921587	Yes	
row_18	CRAMP1	NA	3418	0.05560130253434181	0.6912914	Yes	
row_19	H2AC15	NA	3501	0.05433621257543564	0.7014283	Yes	
row_20	ENC1	NA	4574	0.04060954973101616	0.6606795	No	
row_21	TNRC18	NA	5537	0.02956797368824482	0.62233347	No	
row_22	F12	NA	7165	0.014684796333312988	0.5483416	No	
row_23	H3-3A	NA	8757	0.00205566780641675	0.47280362	No	
row_24	HMGN4	NA	10005	-0.006885149050503969	0.41496265	No	
row_25	TMEM62	NA	10535	-0.01081263367086649	0.39246717	No	
row_26	RBBP8	NA	11684	-0.019831828773021698	0.34270912	No	
row_27	SETD9	NA	12348	-0.024629326537251472	0.31738135	No	
row_28	GRK6	NA	13555	-0.03475799039006233	0.26871178	No	
row_29	H3C6	NA	13572	-0.03486840799450874	0.27696776	No	
row_30	UNC45A	NA	13831	-0.03701168671250343	0.27420756	No	
row_31	PCDH1	NA	19502	-0.12288899719715118	0.034903463	No	
row_32	IFT140	NA	19741	-0.1319524049758911	0.057662085	No	
