NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHAC1	NA	6	0.536477267742157	0.17971928	Yes	
row_1	TRIB3	NA	54	0.3105905055999756	0.28168604	Yes	
row_2	GTF2IP12	NA	354	0.175779789686203	0.32637283	Yes	
row_3	H1-0	NA	406	0.16849395632743835	0.38047022	Yes	
row_4	MALAT1	NA	523	0.15334834158420563	0.42637852	Yes	
row_5	STC2	NA	831	0.1263136863708496	0.45408535	Yes	
row_6	RCAN1	NA	943	0.12112622708082199	0.48942107	Yes	
row_7	SEPTIN7P14	NA	2190	0.0773075520992279	0.45579726	No	
row_8	BRWD1	NA	3092	0.060608573257923126	0.43306258	No	
row_9	KMT2A	NA	4643	0.03972622752189636	0.37229675	No	
row_10	LINC00869	NA	4726	0.038729406893253326	0.3813719	No	
row_11	SAMD11	NA	6355	0.02170075662434101	0.31082922	No	
row_12	TBL1XR1	NA	6378	0.021510399878025055	0.316995	No	
row_13	UBC	NA	7255	0.013894475065171719	0.27978125	No	
row_14	HOXA-AS2	NA	7855	0.009081780910491943	0.25419426	No	
row_15	VMP1	NA	8116	0.006968026049435139	0.24410337	No	
row_16	C12orf57	NA	8207	0.006273230072110891	0.24190594	No	
row_17	MIR5188	NA	8328	0.005388165824115276	0.23797743	No	
row_18	GBA	NA	9658	-0.004514132626354694	0.17596132	No	
row_19	KDM3B	NA	10748	-0.012346329167485237	0.12804599	No	
row_20	LINC00963	NA	11766	-0.0202738419175148	0.08623245	No	
row_21	BRWD1-AS2	NA	13254	-0.031984828412532806	0.025880734	No	
row_22	HSPD1	NA	14829	-0.046646006405353546	-0.03371057	No	
row_23	RHOBTB3	NA	15264	-0.051163092255592346	-0.037290327	No	
row_24	HSPE1	NA	17687	-0.08309802412986755	-0.12518807	No	
row_25	CUEDC1	NA	17818	-0.0853601023554802	-0.102761336	No	
row_26	TAGLN2	NA	20011	-0.14417803287506104	-0.1591699	No	
row_27	ABCC3	NA	20389	-0.16817644238471985	-0.12076296	No	
row_28	BHLHE40	NA	20940	-0.439268559217453	3.3447746E-4	No	
