NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC8A1-AS1	NA	16	0.41100531816482544	0.06437349	Yes	
row_1	SLC7A11	NA	39	0.3311351537704468	0.115800016	Yes	
row_2	LYSMD1	NA	207	0.2119940221309662	0.14138165	Yes	
row_3	NSUN6	NA	208	0.21180036664009094	0.17495064	Yes	
row_4	H4C2	NA	421	0.16637426614761353	0.19114128	Yes	
row_5	LRIG1	NA	751	0.1323174238204956	0.1963167	Yes	
row_6	MUC13	NA	837	0.12613892555236816	0.21222787	Yes	
row_7	FBXO16	NA	839	0.12602707743644714	0.23215432	Yes	
row_8	EVI2A	NA	889	0.12366636842489243	0.24940205	Yes	
row_9	BRCA2	NA	1074	0.11473368853330612	0.25875235	Yes	
row_10	C1orf74	NA	1200	0.10877223312854767	0.2699905	Yes	
row_11	CAMK2D	NA	1225	0.10783425718545914	0.28592923	Yes	
row_12	TNRC6C	NA	1230	0.10775354504585266	0.30281544	Yes	
row_13	PDCD4-AS1	NA	1282	0.10542485862970352	0.31707597	Yes	
row_14	ATAD2B	NA	1343	0.10325679183006287	0.33056077	Yes	
row_15	CTSO	NA	1414	0.10065586864948273	0.3431532	Yes	
row_16	LY6G5C	NA	1654	0.09270545840263367	0.34637147	Yes	
row_17	CDKN2AIP	NA	2135	0.07863806188106537	0.3357892	Yes	
row_18	MCC	NA	2171	0.07770334929227829	0.34642425	Yes	
row_19	DNAJB4	NA	2751	0.06629637628793716	0.3291327	Yes	
row_20	MYO9A	NA	2851	0.0643107071518898	0.33457232	Yes	
row_21	JUND	NA	2853	0.06428242474794388	0.34471264	Yes	
row_22	CLK4	NA	2882	0.06381869316101074	0.35348314	Yes	
row_23	NFX1	NA	3045	0.06117510795593262	0.35540104	Yes	
row_24	TRIM38	NA	3219	0.05868367850780487	0.35639587	Yes	
row_25	STAU2	NA	3226	0.058577992022037506	0.36539203	Yes	
row_26	SIRT1	NA	3478	0.054663270711898804	0.36200473	Yes	
row_27	SCNM1	NA	3557	0.053613048046827316	0.3667571	Yes	
row_28	CPLANE1	NA	3573	0.05345149338245392	0.37450862	Yes	
row_29	EGFLAM	NA	3728	0.05141138657927513	0.37526312	Yes	
row_30	SPAG9	NA	4079	0.04670080170035362	0.36586058	No	
row_31	VPS13B	NA	4531	0.041112419217824936	0.3507231	No	
row_32	SENP6	NA	4546	0.0408947579562664	0.35653248	No	
row_33	ENC1	NA	4574	0.04060954973101616	0.3616725	No	
row_34	PCBP1-AS1	NA	4749	0.03850056976079941	0.35942045	No	
row_35	MIR7-3HG	NA	4922	0.036657873541116714	0.35697237	No	
row_36	METTL14	NA	4954	0.03638570010662079	0.3612509	No	
row_37	CMC1	NA	4971	0.03616386279463768	0.36621442	No	
row_38	BUB1B	NA	4991	0.03588170185685158	0.37098923	No	
row_39	MFSD1	NA	5354	0.031458161771297455	0.3585947	No	
row_40	EYS	NA	6124	0.02363509312272072	0.32541925	No	
row_41	PYM1	NA	6207	0.022915663197636604	0.32511422	No	
row_42	CENPC	NA	6232	0.022694487124681473	0.32755885	No	
row_43	ARHGEF7	NA	6352	0.021739864721894264	0.32529104	No	
row_44	SMG6	NA	6533	0.020148349925875664	0.3198422	No	
row_45	CCNL1	NA	6551	0.01995052583515644	0.32218802	No	
row_46	MIRLET7D	NA	6587	0.01957097090780735	0.32360947	No	
row_47	LAMP1	NA	6629	0.019182821735739708	0.3246813	No	
row_48	CPEB1	NA	6643	0.019007472321391106	0.3270697	No	
row_49	GABRA5	NA	6716	0.018368981778621674	0.3265242	No	
row_50	NCAPD2	NA	6743	0.01818677969276905	0.32815835	No	
row_51	HMGB1	NA	7210	0.014326471835374832	0.30805528	No	
row_52	NLRP4	NA	7268	0.01383971981704235	0.3075121	No	
row_53	CPEB1-AS1	NA	7422	0.012563884258270264	0.3021575	No	
row_54	RUNX1	NA	7491	0.012044823728501797	0.3008017	No	
row_55	ARNT2	NA	7582	0.011086850427091122	0.29823777	No	
row_56	CCDC198	NA	7949	0.0082876430824399	0.28197882	No	
row_57	PDXK	NA	7996	0.007875777781009674	0.28101853	No	
row_58	GNAS	NA	8016	0.007687119767069817	0.28132465	No	
row_59	VMP1	NA	8116	0.006968026049435139	0.2776758	No	
row_60	LINC00877	NA	8429	0.004433466587215662	0.26339865	No	
row_61	LINC01304	NA	8616	0.003173951990902424	0.2549714	No	
row_62	RAP1GDS1	NA	8618	0.0031597334891557693	0.2554242	No	
row_63	ZYX	NA	8697	0.002545315073803067	0.25208268	No	
