NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHRS4-AS1	NA	1227	0.10779528319835663	0.09628621	Yes	
row_1	MAST4	NA	1285	0.10533105581998825	0.24493174	Yes	
row_2	POLK	NA	1811	0.08750629425048828	0.34560147	Yes	
row_3	SUMF2	NA	2445	0.07206707447767258	0.4189238	Yes	
row_4	IRF2BP2	NA	3813	0.050232063978910446	0.42579824	Yes	
row_5	KATNBL1	NA	3881	0.049184683710336685	0.49327928	Yes	
row_6	CENPU	NA	4504	0.04147571325302124	0.523165	Yes	
row_7	PTPN2	NA	4912	0.03675604611635208	0.55654055	Yes	
row_8	RBM33	NA	6648	0.018968798220157623	0.5009048	No	
row_9	TMX1	NA	7024	0.01575733721256256	0.50563246	No	
row_10	PURA	NA	8288	0.005642393138259649	0.453397	No	
row_11	HEXIM1	NA	8684	0.002627096837386489	0.43829992	No	
row_12	RAB5IF	NA	9136	-6.651821895502508E-4	0.4177078	No	
row_13	DUSP12	NA	9160	-8.301788475364447E-4	0.41780195	No	
row_14	SNAPC5	NA	10933	-0.013806531205773354	0.35297984	No	
row_15	NOL7	NA	11182	-0.015886615961790085	0.36396113	No	
row_16	RPL36	NA	11518	-0.01853414624929428	0.3745904	No	
row_17	DELE1	NA	15431	-0.05279015377163887	0.26354522	No	
