NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EDEM1	NA	134	0.23541808128356934	0.055427395	No	
row_1	H2BC15	NA	852	0.12544012069702148	0.054062523	No	
row_2	CDKN1B	NA	2587	0.06973010301589966	-0.010610783	No	
row_3	ITPR2	NA	2780	0.0657166913151741	-0.0025372556	No	
row_4	FYCO1	NA	3153	0.059668805450201035	-0.0046673296	No	
row_5	FIG4	NA	6421	0.021096061915159225	-0.1554864	No	
row_6	TASP1	NA	6490	0.020480765029788017	-0.15336093	No	
row_7	GM2A	NA	6630	0.019162889569997787	-0.15497977	No	
row_8	UTP14C	NA	6767	0.018009809777140617	-0.1567579	No	
row_9	TMEM59	NA	7220	0.014263602904975414	-0.17464408	No	
row_10	CALM2	NA	7266	0.013854016549885273	-0.17315859	No	
row_11	ZWINT	NA	7861	0.00901124905794859	-0.19922067	No	
row_12	PRORP	NA	8123	0.006883363705128431	-0.20990415	No	
row_13	SPCS2	NA	8297	0.005579456686973572	-0.2167184	No	
row_14	NDRG1	NA	8742	0.0021878727711737156	-0.2373938	No	
row_15	KPNB1	NA	9386	-0.0023642764426767826	-0.26754713	No	
row_16	CFAP298	NA	9543	-0.003650759579613805	-0.27405438	No	
row_17	JARID2	NA	9576	-0.0038537182845175266	-0.27457362	No	
row_18	KARS1	NA	9640	-0.004384635481983423	-0.27643704	No	
row_19	COX7C	NA	10370	-0.009555244818329811	-0.30881745	No	
row_20	SNX5	NA	11389	-0.017486056312918663	-0.35294625	No	
row_21	PPAT	NA	12121	-0.022907471284270287	-0.3819149	No	
row_22	TRHDE	NA	12736	-0.02758028730750084	-0.40405643	No	
row_23	SERBP1	NA	12816	-0.028133796527981758	-0.4004471	No	
row_24	YBX3	NA	13204	-0.03158511593937874	-0.41067225	No	
row_25	TIMM13	NA	13325	-0.032652903348207474	-0.4078381	No	
row_26	POLR2I	NA	13671	-0.035640716552734375	-0.41498774	No	
row_27	GSPT1	NA	13846	-0.0371256098151207	-0.41356316	No	
row_28	PWP1	NA	14124	-0.03966020792722702	-0.41640243	No	
row_29	MTMR4	NA	15663	-0.055116165429353714	-0.4755339	No	
row_30	SRPRB	NA	16199	-0.06167716905474663	-0.4849377	No	
row_31	POLR1A	NA	16904	-0.07150652259588242	-0.49984792	Yes	
row_32	UMPS	NA	17223	-0.07591567933559418	-0.4951257	Yes	
row_33	DDX56	NA	17307	-0.07706383615732193	-0.47885466	Yes	
row_34	UTP14A	NA	17316	-0.07720531523227692	-0.4589569	Yes	
row_35	NOP56	NA	17333	-0.07741472870111465	-0.439387	Yes	
row_36	PDSS1	NA	17843	-0.08579559624195099	-0.44121087	Yes	
row_37	METTL26	NA	18215	-0.09235794097185135	-0.43470615	Yes	
row_38	EMG1	NA	18480	-0.09741503745317459	-0.42175192	Yes	
row_39	SHQ1	NA	18500	-0.09790530055761337	-0.39694306	Yes	
row_40	SF3B3	NA	18548	-0.09887412190437317	-0.3732198	Yes	
row_41	TRUB2	NA	18715	-0.1021239310503006	-0.35433826	Yes	
row_42	AHSA1	NA	18855	-0.10492463409900665	-0.3334288	Yes	
row_43	PHB	NA	18862	-0.10510224848985672	-0.3061072	Yes	
row_44	SLC25A19	NA	18948	-0.10708282142877579	-0.28204635	Yes	
row_45	MYC	NA	19020	-0.10911556333303452	-0.25678146	Yes	
row_46	MRTO4	NA	19780	-0.1337166130542755	-0.25798237	Yes	
row_47	DDX28	NA	19848	-0.13649113476276398	-0.22533491	Yes	
row_48	MRPL4	NA	19985	-0.14292359352111816	-0.19430012	Yes	
row_49	NOP16	NA	20053	-0.14582733809947968	-0.15920018	Yes	
row_50	WDR46	NA	20270	-0.15908238291740417	-0.12774958	Yes	
row_51	IFRD2	NA	20326	-0.1628466248512268	-0.0876046	Yes	
row_52	NAT10	NA	20380	-0.16751743853092194	-0.046136945	Yes	
row_53	HES1	NA	20889	-0.2787601947784424	0.0027758798	Yes	
