NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H1-4	NA	1	0.7539213299751282	0.043946452	Yes	
row_1	H2AC14	NA	14	0.42567646503448486	0.068206936	Yes	
row_2	H1-2	NA	21	0.400330126285553	0.09127819	Yes	
row_3	H3C4	NA	32	0.3422626554965973	0.110767715	Yes	
row_4	H2AC17	NA	34	0.34036919474601746	0.1305815	Yes	
row_5	H2AC6	NA	36	0.3379293382167816	0.15025292	Yes	
row_6	H2AC16	NA	59	0.30313462018966675	0.16687946	Yes	
row_7	H2AC13	NA	63	0.2947203814983368	0.18393283	Yes	
row_8	H4C8	NA	112	0.25187021493911743	0.19631188	Yes	
row_9	CBX5	NA	121	0.2449970543384552	0.21022211	Yes	
row_10	FAM24B	NA	141	0.23373153805732727	0.22294359	Yes	
row_11	H2BC14	NA	144	0.23198090493679047	0.23638412	Yes	
row_12	H3C12	NA	155	0.2279847115278244	0.24920501	Yes	
row_13	H2BC4	NA	157	0.22706404328346252	0.26240692	Yes	
row_14	H2AC4	NA	187	0.2184075564146042	0.2737511	Yes	
row_15	H4C5	NA	228	0.2061322182416916	0.2838476	Yes	
row_16	H2BC17	NA	260	0.2003479152917862	0.2940413	Yes	
row_17	H3C1	NA	261	0.2001871019601822	0.30572313	Yes	
row_18	MOK	NA	269	0.19801117479801178	0.31693983	Yes	
row_19	H4C1	NA	290	0.19135618209838867	0.3271402	Yes	
row_20	TOLLIP-AS1	NA	331	0.17980465292930603	0.33570036	Yes	
row_21	H4C2	NA	421	0.16637426614761353	0.34110975	Yes	
row_22	H3C10	NA	455	0.16304059326648712	0.34902978	Yes	
row_23	H2BC11	NA	494	0.15745705366134644	0.35638246	Yes	
row_24	H2BC5	NA	535	0.15263696014881134	0.36335725	Yes	
row_25	H2BC21	NA	792	0.12959329783916473	0.35855305	Yes	
row_26	SPPL2B	NA	824	0.1271018534898758	0.36447254	Yes	
row_27	MAN1B1-DT	NA	854	0.1253264993429184	0.370385	Yes	
row_28	H4C4	NA	1023	0.11722441762685776	0.36911005	Yes	
row_29	TK2	NA	1088	0.11399832367897034	0.3726707	Yes	
row_30	SRRM5	NA	1149	0.11089980602264404	0.37624383	Yes	
row_31	ANKRD26	NA	1341	0.10342669486999512	0.37305263	Yes	
row_32	EXOC8	NA	1446	0.09942340105772018	0.37383053	Yes	
row_33	TMEM79	NA	1498	0.09763927012681961	0.3770646	Yes	
row_34	PIPOX	NA	1538	0.09641590714454651	0.38080692	Yes	
row_35	POLR2M	NA	1661	0.09254245460033417	0.38031375	Yes	
row_36	PVR	NA	1740	0.09004523605108261	0.38180038	Yes	
row_37	CHD1	NA	1812	0.08749721944332123	0.38347647	Yes	
row_38	SPRTN	NA	1853	0.08630222827196121	0.38658032	Yes	
row_39	H4C12	NA	1896	0.08532001823186874	0.38953024	Yes	
row_40	H4C3	NA	2044	0.08143585175275803	0.38718128	No	
row_41	ZNF875	NA	2193	0.07727713137865067	0.38454136	No	
row_42	ENDOV	NA	2263	0.07608295977115631	0.38564795	No	
row_43	CATSPERD	NA	2868	0.06399092078208923	0.3602048	No	
row_44	CROCCP2	NA	2953	0.06258054077625275	0.35979888	No	
row_45	YEATS4	NA	3052	0.06113727018237114	0.35863245	No	
row_46	AP4E1	NA	3127	0.060167163610458374	0.35856876	No	
row_47	SAYSD1	NA	3249	0.05825663357973099	0.35612318	No	
row_48	FUT8-AS1	NA	3336	0.05676454305648804	0.35528126	No	
row_49	POU2F1	NA	3404	0.05581950396299362	0.35530204	No	
row_50	SCML1	NA	3623	0.052857086062431335	0.3478556	No	
row_51	CDC7	NA	3714	0.05158373713493347	0.34651813	No	
row_52	CCDC7	NA	3801	0.050336334854364395	0.3453011	No	
row_53	FGFR1OP2	NA	3861	0.04941724240779877	0.3453347	No	
row_54	ADGRF3	NA	3891	0.04910971596837044	0.34679958	No	
row_55	H4C11	NA	3896	0.04903449863195419	0.34946775	No	
row_56	COG3	NA	3981	0.0477551631629467	0.34819672	No	
row_57	NAPG	NA	3996	0.04759733006358147	0.35029793	No	
row_58	CSNK1A1	NA	4250	0.04462134465575218	0.34068015	No	
row_59	VAPB	NA	4389	0.04271116480231285	0.33650622	No	
row_60	VRK3	NA	4445	0.04209669679403305	0.33630586	No	
row_61	PHF12	NA	4585	0.04049016907811165	0.331954	No	
row_62	C10orf88	NA	4608	0.04024164006114006	0.33323953	No	
row_63	PRKRIP1	NA	4785	0.03809855505824089	0.32696074	No	
row_64	MRPL45P2	NA	4823	0.03782975301146507	0.32738093	No	
row_65	CXorf38	NA	4847	0.03759412467479706	0.32846367	No	
row_66	NVL	NA	4851	0.037571556866168976	0.3305112	No	
row_67	NDEL1	NA	4861	0.03747806325554848	0.33226347	No	
row_68	PRKAB2	NA	5095	0.03457740694284439	0.32302573	No	
row_69	H2AC11	NA	5110	0.034391630440950394	0.32435635	No	
row_70	HP1BP3	NA	5151	0.03397021070122719	0.3244064	No	
row_71	SCAF11	NA	5179	0.03363165259361267	0.32506466	No	
row_72	TTC28-AS1	NA	5310	0.031929634511470795	0.320648	No	
row_73	ZC3H8	NA	5421	0.030756816267967224	0.31712908	No	
row_74	EID2B	NA	5517	0.029778845608234406	0.31427765	No	
row_75	MIS18A	NA	5824	0.026717567816376686	0.30105484	No	
row_76	ARMT1	NA	5846	0.02650030143558979	0.3015868	No	
row_77	SEC61G-DT	NA	5903	0.02596677839756012	0.30039692	No	
row_78	AKTIP	NA	5944	0.025618184357881546	0.29995957	No	
row_79	FAM220A	NA	6073	0.024134157225489616	0.29518464	No	
row_80	ZBTB17	NA	6075	0.024127347394824028	0.29654428	No	
row_81	DPF2	NA	6078	0.02412036433815956	0.2978552	No	
row_82	H2BC12	NA	6159	0.023302530869841576	0.29535046	No	
row_83	SNAP23	NA	6241	0.022635607048869133	0.2927585	No	
row_84	SDCBP	NA	6528	0.020161660388112068	0.28011927	No	
row_85	GNB1L	NA	6598	0.01939386874437332	0.2779178	No	
row_86	ZNF12	NA	6720	0.018335865810513496	0.27314267	No	
row_87	PAIP2	NA	6809	0.017641529440879822	0.26992112	No	
row_88	SSR3	NA	6901	0.0169406458735466	0.26651376	No	
row_89	POLD3	NA	6945	0.016422078013420105	0.26539487	No	
row_90	IQCC	NA	7066	0.015424818731844425	0.26049817	No	
row_91	MRNIP	NA	7222	0.014202768914401531	0.2538394	No	
row_92	PGS1	NA	7272	0.013816612772643566	0.25227863	No	
row_93	FAM122A	NA	7297	0.013674220070242882	0.2519172	No	
row_94	SUGP2	NA	7360	0.013222841545939445	0.2496938	No	
row_95	RAB35	NA	7420	0.012596908025443554	0.24757878	No	
row_96	RNF149	NA	7428	0.01252397708594799	0.24797146	No	
row_97	TMEM141	NA	7535	0.011562511324882507	0.24352567	No	
row_98	CKLF	NA	7563	0.011282002553343773	0.24287973	No	
row_99	KHDRBS1	NA	7799	0.009467755444347858	0.23208012	No	
row_100	SMAD5	NA	7890	0.008787005208432674	0.22824526	No	
row_101	HINFP	NA	8087	0.007198946550488472	0.21919721	No	
row_102	RFX2	NA	8101	0.007093978580087423	0.21898319	No	
row_103	UPF2	NA	8201	0.006303697358816862	0.21456866	No	
row_104	IFNAR1	NA	8254	0.0059182909317314625	0.21240206	No	
row_105	KIF3B	NA	8266	0.00586127582937479	0.21221273	No	
row_106	RPL27	NA	8304	0.0055558099411427975	0.21074958	No	
row_107	NCAPD3	NA	8399	0.004738648887723684	0.20648526	No	
row_108	EIF3E	NA	8439	0.004372142720967531	0.20485643	No	
row_109	ZDHHC5	NA	8508	0.003801254089921713	0.20179337	No	
row_110	TUBD1	NA	8525	0.003697143169119954	0.20123622	No	
row_111	SAMD1	NA	8567	0.0034368117339909077	0.19945619	No	
row_112	SLC2A11	NA	8568	0.003433241043239832	0.19965653	No	
row_113	RBM17	NA	8626	0.003108795266598463	0.19708446	No	
row_114	VDAC3	NA	8669	0.0027519487775862217	0.19521615	No	
row_115	PSTK	NA	8786	0.0019081933423876762	0.18972391	No	
row_116	SNAP47	NA	8816	0.0017363313818350434	0.18842433	No	
row_117	MCRS1	NA	8862	0.0013264375738799572	0.18632793	No	
row_118	ARRDC1-AS1	NA	8872	0.0012880915310233831	0.18596834	No	
row_119	ANKRD24	NA	9096	-4.322015156503767E-4	0.17522113	No	
row_120	EHMT1	NA	9250	-0.00147776969242841	0.16791642	No	
row_121	NBPF1	NA	9254	-0.0014965523732826114	0.16785882	No	
row_122	PITPNB	NA	9273	-0.0015995700377970934	0.16708265	No	
row_123	NPRL3	NA	9343	-0.002087681321427226	0.1638713	No	
row_124	HNRNPA1	NA	9478	-0.0030894845258444548	0.15757847	No	
row_125	PHF8	NA	9489	-0.003233500989153981	0.1572841	No	
row_126	RNF19B	NA	9522	-0.0034822176676243544	0.15594147	No	
row_127	RPS6KB1	NA	9557	-0.003750414587557316	0.1545179	No	
row_128	RTRAF	NA	9571	-0.003819166449829936	0.15411277	No	
row_129	BOLA1	NA	9826	-0.005707689095288515	0.14217591	No	
row_130	TFPT	NA	9869	-0.005944850854575634	0.14049393	No	
row_131	UBE2F	NA	9908	-0.006215609610080719	0.13902098	No	
row_132	NDUFA11	NA	9947	-0.006485402584075928	0.13756377	No	
row_133	TXNL1	NA	9976	-0.00671436358243227	0.136603	No	
row_134	WWP1	NA	10302	-0.009088353253901005	0.121433616	No	
row_135	HNRNPL	NA	10371	-0.009556571021676064	0.11870642	No	
row_136	SRSF10	NA	10387	-0.009677623398602009	0.11854655	No	
row_137	PDRG1	NA	10423	-0.009927664883434772	0.117435135	No	
row_138	ATP6V0E2	NA	10514	-0.010623987764120102	0.113707475	No	
row_139	GNPDA2	NA	10676	-0.011760358698666096	0.10661635	No	
row_140	FAM222B	NA	10861	-0.013240735046565533	0.09850054	No	
row_141	HINT1	NA	10879	-0.013432287611067295	0.09846316	No	
row_142	ZNF106	NA	10888	-0.01347443275153637	0.098863006	No	
row_143	NAGK	NA	10953	-0.013951156288385391	0.09658548	No	
row_144	ZBTB40	NA	11071	-0.015059903264045715	0.091812395	No	
row_145	ENTPD6	NA	11115	-0.01538983266800642	0.090633266	No	
row_146	MRPS14	NA	11148	-0.015661215409636497	0.09000135	No	
row_147	PPP6R1	NA	11249	-0.016361866146326065	0.086125456	No	
row_148	ZNF248	NA	11269	-0.01651843450963497	0.08617155	No	
row_149	SIN3B	NA	11434	-0.017788905650377274	0.07928729	No	
row_150	UBE2V1	NA	11437	-0.017822500318288803	0.080230705	No	
row_151	GPRC5D-AS1	NA	11442	-0.017852813005447388	0.08107927	No	
row_152	SMARCA4	NA	11494	-0.018352270126342773	0.07968656	No	
row_153	RPL36	NA	11518	-0.01853414624929428	0.079657055	No	
row_154	PRELID3B	NA	11535	-0.018659746274352074	0.07997303	No	
row_155	DEDD2	NA	11544	-0.01875353418290615	0.08068093	No	
row_156	SELENOI	NA	11565	-0.01889815740287304	0.08081758	No	
row_157	FADD	NA	11572	-0.018955910578370094	0.0816339	No	
row_158	CANX	NA	11576	-0.018975328654050827	0.08259628	No	
row_159	WDR43	NA	11890	-0.0211207065731287	0.06870873	No	
row_160	FUT8	NA	12101	-0.02278110571205616	0.059893675	No	
row_161	PRELID2	NA	12328	-0.024469545111060143	0.05040424	No	
row_162	THAP7-AS1	NA	12403	-0.024989359080791473	0.048287775	No	
row_163	ZNF473	NA	12493	-0.025608805939555168	0.04548286	No	
row_164	VPS51	NA	12511	-0.02572406269609928	0.046162758	No	
row_165	INTS13	NA	12613	-0.02649499848484993	0.04282987	No	
row_166	RAB18	NA	12678	-0.02703002467751503	0.04131556	No	
row_167	RPRD2	NA	12853	-0.028460022062063217	0.03457094	No	
row_168	ARPC2	NA	12886	-0.028782596811652184	0.03470472	No	
row_169	NDUFA8	NA	13021	-0.030123192816972733	0.029989427	No	
row_170	GTF3A	NA	13045	-0.03027430549263954	0.030645013	No	
row_171	SIRT6	NA	13093	-0.030657581984996796	0.030163601	No	
row_172	SEC61G	NA	13151	-0.031211992725729942	0.029231474	No	
row_173	ATP5MC3	NA	13167	-0.03132094815373421	0.030334592	No	
row_174	TIMM13	NA	13325	-0.032652903348207474	0.024655864	No	
row_175	RPP38	NA	13330	-0.03271244838833809	0.026371557	No	
row_176	PRPF31	NA	13600	-0.03505261614918709	0.015422497	No	
row_177	CISD1	NA	13643	-0.03541324660181999	0.0154601345	No	
row_178	CCDC12	NA	13709	-0.03595680743455887	0.014418434	No	
row_179	POLA2	NA	13918	-0.037935514003038406	0.006584321	No	
row_180	MRPL45	NA	13985	-0.03848032280802727	0.005641572	No	
row_181	VPS26B	NA	14085	-0.03936164081096649	0.0031561267	No	
row_182	BLOC1S4	NA	14144	-0.03987704589962959	0.0026813378	No	
row_183	DNAJA3	NA	14208	-0.04052933305501938	0.0020030786	No	
row_184	RANBP3	NA	14240	-0.04079843685030937	0.0028863417	No	
row_185	TOMM20	NA	14398	-0.04233304783701897	-0.002227506	No	
row_186	LSM7	NA	14444	-0.04279211908578873	-0.001904198	No	
row_187	NUP93	NA	14456	-0.042969703674316406	7.19055E-5	No	
row_188	INKA2	NA	14666	-0.04507344588637352	-0.007393983	No	
row_189	SNX1	NA	14745	-0.045833852142095566	-0.008487302	No	
row_190	LARS2	NA	14913	-0.04747220501303673	-0.013784325	No	
row_191	SMG5	NA	14927	-0.04765600338578224	-0.011631368	No	
row_192	EEF1AKMT1	NA	14963	-0.04809286445379257	-0.010515669	No	
row_193	MTCH2	NA	15317	-0.051651421934366226	-0.024553888	No	
row_194	CORO7	NA	15675	-0.055252961814403534	-0.03857517	No	
row_195	STK32C	NA	15677	-0.0552779957652092	-0.03539775	No	
row_196	CHMP7	NA	15692	-0.05544601008296013	-0.03283852	No	
row_197	RMND1	NA	15849	-0.0573270246386528	-0.03702909	No	
row_198	PAGR1	NA	15859	-0.05744151771068573	-0.03411188	No	
row_199	TMEM43	NA	15911	-0.05805309861898422	-0.033187862	No	
row_200	IRGQ	NA	15923	-0.0581645630300045	-0.030325072	No	
row_201	THOC3	NA	16096	-0.06028755381703377	-0.035115793	No	
row_202	RANBP1	NA	16125	-0.06064525246620178	-0.032929458	No	
row_203	PHF23	NA	16276	-0.06261042505502701	-0.036521878	No	
row_204	GLG1	NA	16313	-0.06314674764871597	-0.034576025	No	
row_205	FXR2	NA	16399	-0.06426428258419037	-0.03493199	No	
row_206	KDM3A	NA	16439	-0.06472677737474442	-0.033038855	No	
row_207	XRCC5	NA	16585	-0.06656167656183243	-0.03615917	No	
row_208	CDK12	NA	16641	-0.0673152282834053	-0.034887895	No	
row_209	THAP7	NA	16678	-0.06805084645748138	-0.03265586	No	
row_210	RNF213-AS1	NA	16679	-0.06805679202079773	-0.028684437	No	
row_211	PREB	NA	16846	-0.07058573514223099	-0.032584373	No	
row_212	N6AMT1	NA	16973	-0.07245698571205139	-0.03444284	No	
row_213	COPS7A	NA	17157	-0.07489637285470963	-0.038912445	No	
row_214	TOLLIP	NA	17274	-0.07666505128145218	-0.04004228	No	
row_215	ANGEL1	NA	17327	-0.07738110423088074	-0.038038697	No	
row_216	NANS	NA	17362	-0.07787672430276871	-0.035136666	No	
row_217	CHCHD4	NA	17369	-0.07799562066793442	-0.030875107	No	
row_218	LRRC27	NA	17532	-0.0806712731719017	-0.033993278	No	
row_219	RTL10	NA	17547	-0.08097489178180695	-0.02994432	No	
row_220	CDC42EP4	NA	17679	-0.08296088129281998	-0.03143137	No	
row_221	CD320	NA	17701	-0.08329405635595322	-0.027585223	No	
row_222	CEP250	NA	17724	-0.08377156406641006	-0.02375952	No	
row_223	CPLANE2	NA	18325	-0.09413400292396545	-0.047250476	No	
row_224	MLST8	NA	18475	-0.09737393260002136	-0.04876598	No	
row_225	ZNF576	NA	18512	-0.09818096458911896	-0.04477572	No	
row_226	DAGLB	NA	18570	-0.09928114712238312	-0.0417357	No	
row_227	H2BC13	NA	18641	-0.10073354840278625	-0.039238915	No	
row_228	LONP1	NA	18660	-0.10121723264455795	-0.03420195	No	
row_229	RRP1	NA	18745	-0.10267352312803268	-0.032268256	No	
row_230	MORN5	NA	18848	-0.1047467291355133	-0.031083103	No	
row_231	FAM98A	NA	18867	-0.1052873432636261	-0.025808629	No	
row_232	FBRS	NA	19139	-0.11278741806745529	-0.032318123	No	
row_233	TMEM250	NA	19385	-0.11929323524236679	-0.03719199	No	
row_234	ASPSCR1	NA	19443	-0.12093499302864075	-0.03288837	No	
row_235	MAN1B1	NA	19499	-0.12281499058008194	-0.028378433	No	
row_236	ARMC6	NA	19668	-0.1292049139738083	-0.028954284	No	
row_237	TRMT2A	NA	19809	-0.13477936387062073	-0.02785225	No	
row_238	GDF5	NA	19839	-0.13602927327156067	-0.021315219	No	
row_239	FAM71E1	NA	19884	-0.13813632726669312	-0.015379833	No	
row_240	GPI	NA	19907	-0.1390298455953598	-0.008329556	No	
row_241	EMC10	NA	20066	-0.14629235863685608	-0.00742521	No	
row_242	ATP6V0E2-AS1	NA	20086	-0.14689193665981293	2.2877674E-4	No	
row_243	ARHGEF37	NA	20153	-0.1510128676891327	0.0058528166	No	
row_244	JMJD4	NA	20188	-0.15338851511478424	0.013161305	No	
row_245	CGREF1	NA	20209	-0.154903382062912	0.02123449	No	
row_246	BNIP3	NA	20849	-0.24621933698654175	0.0047344407	No	
