NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HHATL	NA	470	0.1605226993560791	0.003463577	No	
row_1	OMG	NA	475	0.16003960371017456	0.02919794	No	
row_2	POU4F3	NA	716	0.13530875742435455	0.03960754	No	
row_3	GABRG2	NA	1011	0.11790189146995544	0.044607446	No	
row_4	RNF13	NA	1436	0.09967771172523499	0.040420346	No	
row_5	TLCD3B	NA	1485	0.09805511683225632	0.054003097	No	
row_6	STMN2	NA	1578	0.09512064605951309	0.06500025	No	
row_7	CALB1	NA	1781	0.08844523876905441	0.06964048	No	
row_8	SRRM4	NA	2244	0.0764290988445282	0.05986468	No	
row_9	SYT6	NA	2828	0.06466992199420929	0.042380832	No	
row_10	MGAT5B	NA	3090	0.060631632804870605	0.03968569	No	
row_11	GABRB3	NA	3277	0.05774806812405586	0.040120363	No	
row_12	SLC17A6	NA	3460	0.054989248514175415	0.040299952	No	
row_13	GLRA3	NA	3544	0.05381292477250099	0.04503695	No	
row_14	NCAN	NA	4493	0.041592713445425034	0.006309468	No	
row_15	PDZD7	NA	5041	0.03515748679637909	-0.01422882	No	
row_16	MAPK11	NA	5061	0.03496997803449631	-0.009474957	No	
row_17	HCN1	NA	5531	0.029645046219229698	-0.027165426	No	
row_18	FGF12	NA	5600	0.02879454754292965	-0.025761982	No	
row_19	SCN3B	NA	6646	0.01899515464901924	-0.07280229	No	
row_20	CHRNB2	NA	6738	0.01821882091462612	-0.074215166	No	
row_21	ATP6V0A1	NA	6843	0.017395243048667908	-0.07638493	No	
row_22	SCAMP5	NA	6952	0.016384948045015335	-0.078910194	No	
row_23	NEFM	NA	7011	0.01591586135327816	-0.07911349	No	
row_24	GHSR	NA	7021	0.01580370031297207	-0.07698495	No	
row_25	SNAP25	NA	7233	0.014104293659329414	-0.08481949	No	
row_26	SLC35G2	NA	7704	0.010235912166535854	-0.10570217	No	
row_27	HTR1A	NA	8255	0.005912442225962877	-0.131122	No	
row_28	DRD3	NA	8373	0.004949100315570831	-0.13593149	No	
