NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNASE4	NA	842	0.12585903704166412	0.07487021	No	
row_1	ANG	NA	4916	0.03673354536294937	-0.08611138	No	
row_2	PPP6R3	NA	6345	0.021812791004776955	-0.13438198	No	
row_3	RPS29	NA	8741	0.002194096799939871	-0.2467882	No	
row_4	CLASP1	NA	9327	-0.0019306351896375418	-0.272969	No	
row_5	HMGN4	NA	10005	-0.006885149050503969	-0.29901406	No	
row_6	PARP2	NA	10074	-0.007402143906801939	-0.2954935	No	
row_7	TRIM41	NA	11012	-0.01444154791533947	-0.32704905	No	
row_8	PHLDA1	NA	13256	-0.03199753165245056	-0.4049398	No	
row_9	ZBED9	NA	17314	-0.07720258831977844	-0.5281495	Yes	
row_10	PRMT5	NA	17928	-0.08738537132740021	-0.47752246	Yes	
row_11	SHF	NA	19248	-0.11582786589860916	-0.43461242	Yes	
row_12	GSTA4	NA	20033	-0.14499130845069885	-0.33947566	Yes	
row_13	LRP3	NA	20585	-0.18587733805179596	-0.19581927	Yes	
row_14	SLC27A4	NA	20823	-0.23299378156661987	0.005923706	Yes	
