NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZNF547	NA	727	0.13442298769950867	0.01745882	No	
row_1	PGF	NA	2334	0.07451300323009491	-0.030393519	No	
row_2	HOXD3	NA	3350	0.0564379058778286	-0.057005648	No	
row_3	CACNB1	NA	3552	0.05367366224527359	-0.045764845	No	
row_4	CDIN1	NA	3673	0.052166055887937546	-0.031236209	No	
row_5	PEX16	NA	4307	0.0437861829996109	-0.044495814	No	
row_6	HNRNPH3	NA	7631	0.010758922435343266	-0.1992274	No	
row_7	TOMM70	NA	8026	0.0076064132153987885	-0.21511395	No	
row_8	SLC23A3	NA	8049	0.007436699699610472	-0.21327677	No	
row_9	RTN4	NA	8173	0.006501586642116308	-0.21663289	No	
row_10	PDZK1	NA	8539	0.0035985521972179413	-0.23268972	No	
row_11	RPL19	NA	8715	0.0023861932568252087	-0.24013145	No	
row_12	CALCOCO1	NA	10647	-0.011626218445599079	-0.32795826	No	
row_13	PRDM16	NA	11232	-0.01629689149558544	-0.34955457	No	
row_14	BICC1	NA	11310	-0.01688775047659874	-0.3466757	No	
row_15	TNS1	NA	12760	-0.02777956612408161	-0.4051766	No	
row_16	SRC	NA	12999	-0.02992251142859459	-0.4049329	No	
row_17	MYH10	NA	13085	-0.030627351254224777	-0.39709857	No	
row_18	SS18	NA	13525	-0.034476879984140396	-0.40469757	No	
row_19	KLF5	NA	13688	-0.035792507231235504	-0.3985388	No	
row_20	ETFB	NA	13838	-0.03706541657447815	-0.39126378	No	
row_21	DNAJA2	NA	16194	-0.06161719933152199	-0.4799448	Yes	
row_22	PPARGC1A	NA	16639	-0.06730518490076065	-0.47502863	Yes	
row_23	SAMD14	NA	16898	-0.07140165567398071	-0.4596261	Yes	
row_24	FBP2	NA	16916	-0.07172513753175735	-0.43257284	Yes	
row_25	CDK16	NA	17780	-0.08466360718011856	-0.44095	Yes	
row_26	MASP2	NA	18127	-0.09091872721910477	-0.4221731	Yes	
row_27	HMGCS2	NA	18716	-0.10218849778175354	-0.41059062	Yes	
row_28	PTPRG	NA	18839	-0.10461203008890152	-0.37578166	Yes	
row_29	NR2F6	NA	18840	-0.10462664812803268	-0.33513272	Yes	
row_30	CD36	NA	18994	-0.10827142745256424	-0.3003845	Yes	
row_31	PAPLN	NA	19684	-0.12976719439029694	-0.2829173	Yes	
row_32	MLLT6	NA	20064	-0.14622892439365387	-0.24422973	Yes	
row_33	ATN1	NA	20165	-0.15207074582576752	-0.18993029	Yes	
row_34	ESRRA	NA	20532	-0.18065300583839417	-0.13724683	Yes	
row_35	GPR52	NA	20557	-0.18310263752937317	-0.067256615	Yes	
row_36	MARCHF10	NA	20783	-0.22099405527114868	0.007842777	Yes	
