NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZFAND2A	NA	606	0.14570823311805725	-1.6762113E-4	No	
row_1	KRBA2	NA	853	0.12537944316864014	0.012895502	No	
row_2	RAP2A	NA	1524	0.09690166264772415	-1.7389364E-5	No	
row_3	CYP4F12	NA	1586	0.09500070661306381	0.015893059	No	
row_4	FBXO15	NA	1670	0.09222035855054855	0.030197408	No	
row_5	ZNF497	NA	2342	0.07434919476509094	0.012765217	No	
row_6	LINC01127	NA	2946	0.06280612200498581	-0.0036951038	No	
row_7	DNASE1	NA	3437	0.05531294643878937	-0.01622295	No	
row_8	XPNPEP3	NA	3741	0.05113016813993454	-0.020613847	No	
row_9	ALB	NA	3757	0.05091598257422447	-0.011238233	No	
row_10	BISPR	NA	4123	0.04617898911237717	-0.01958354	No	
row_11	APTX	NA	4309	0.04377394914627075	-0.019775068	No	
row_12	SHC1	NA	4708	0.03894474729895592	-0.031136947	No	
row_13	MGST2	NA	4876	0.03722246363759041	-0.031764343	No	
row_14	TEKT1	NA	5103	0.03446376696228981	-0.03576761	No	
row_15	CKS1B	NA	5392	0.031032338738441467	-0.043423977	No	
row_16	ZNF227	NA	5979	0.025157591328024864	-0.06653355	No	
row_17	CCND3	NA	6039	0.024481290951371193	-0.06450871	No	
row_18	ZFAND2A-DT	NA	6099	0.02386096492409706	-0.06260684	No	
row_19	SLC5A3	NA	6100	0.023843690752983093	-0.05787949	No	
row_20	C11orf49	NA	6296	0.022201765328645706	-0.06282749	No	
row_21	FEM1B	NA	6417	0.021111026406288147	-0.064395666	No	
row_22	CKS2	NA	6472	0.020651251077651978	-0.06289044	No	
row_23	PCBD1	NA	6695	0.018559610471129417	-0.069855146	No	
row_24	HSPB9	NA	6752	0.018113315105438232	-0.068949	No	
row_25	UBOX5	NA	6840	0.017403515055775642	-0.06966996	No	
row_26	HMGB1	NA	7210	0.014326471835374832	-0.084522285	No	
row_27	UBB	NA	7413	0.012642115354537964	-0.09170126	No	
row_28	MORC4	NA	7442	0.012459603138267994	-0.090573505	No	
row_29	ELL	NA	7608	0.010881131514906883	-0.09632756	No	
row_30	BAG3	NA	7763	0.009740183129906654	-0.10178039	No	
row_31	PTGES3	NA	8303	0.0055611878633499146	-0.12652169	No	
row_32	HPD	NA	8576	0.0033797742798924446	-0.13889341	No	
row_33	MVB12A	NA	8711	0.0024105277843773365	-0.1448405	No	
row_34	COMMD1	NA	8773	0.0019683793652802706	-0.14737505	No	
row_35	NRSN2	NA	9050	-1.0990946611855179E-4	-0.16058686	No	
row_36	MED9	NA	9061	-1.7791491700336337E-4	-0.16103107	No	
row_37	RAB5IF	NA	9136	-6.651821895502508E-4	-0.16444732	No	
row_38	FASTKD5	NA	9520	-0.0034575974568724632	-0.18212582	No	
row_39	UBQLN1	NA	9824	-0.005692441947758198	-0.19552541	No	
row_40	NOP58	NA	9858	-0.005886928178369999	-0.19594052	No	
row_41	HIKESHI	NA	9915	-0.0063249790109694	-0.19737159	No	
row_42	CCDC117	NA	9958	-0.006569050718098879	-0.19808298	No	
row_43	TYW3	NA	10249	-0.008590254932641983	-0.21028471	No	
row_44	MTFR1L	NA	10747	-0.012338993139564991	-0.2316684	No	
row_45	HSP90AA1	NA	10862	-0.013260922394692898	-0.23450528	No	
row_46	VIPAS39	NA	10885	-0.013454542495310307	-0.23289257	No	
row_47	CCT4	NA	10915	-0.013660858385264874	-0.2315746	No	
row_48	CHORDC1	NA	11053	-0.014884261414408684	-0.23519243	No	
row_49	TIMM21	NA	11275	-0.016579430550336838	-0.2425018	No	
row_50	USPL1	NA	11367	-0.017322100698947906	-0.24343069	No	
row_51	ALAS1	NA	11498	-0.018418649211525917	-0.24601214	No	
row_52	MRPL18	NA	11574	-0.018972303718328476	-0.2458467	No	
row_53	GTF3C3	NA	12789	-0.02794361300766468	-0.29851514	No	
