NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LYSMD1	NA	207	0.2119940221309662	0.0030854146	No	
row_1	PAX6	NA	252	0.20225608348846436	0.013449884	No	
row_2	NR4A3	NA	627	0.14366506040096283	0.0042412993	No	
row_3	GPD1	NA	744	0.1330258995294571	0.00684903	No	
row_4	INSR	NA	785	0.12986330687999725	0.012935772	No	
row_5	ARID4A	NA	805	0.12879793345928192	0.019971991	No	
row_6	HOXA3	NA	909	0.12271606177091599	0.02257147	No	
row_7	CHST8	NA	991	0.11842766404151917	0.025969716	No	
row_8	GABRG2	NA	1011	0.11790189146995544	0.032332975	No	
row_9	AOC2	NA	1208	0.10841041058301926	0.029552683	No	
row_10	CDX2	NA	1288	0.10528120398521423	0.03223567	No	
row_11	MIR22HG	NA	1342	0.10331031680107117	0.036053944	No	
row_12	PDZD3	NA	1462	0.09910301119089127	0.036421493	No	
row_13	TMEM79	NA	1498	0.09763927012681961	0.04075975	No	
row_14	RTP3	NA	1659	0.0926131159067154	0.038744263	No	
row_15	NR1H3	NA	1858	0.08611238747835159	0.03449011	No	
row_16	WDPCP	NA	2207	0.0770283043384552	0.022422925	No	
row_17	PGF	NA	2334	0.07451300323009491	0.020933323	No	
row_18	NEDD9	NA	2423	0.07260453701019287	0.02116302	No	
row_19	ZNF597	NA	2880	0.06383455544710159	0.0030595362	No	
row_20	HTN1	NA	3160	0.05960370972752571	-0.006747913	No	
row_21	THPO	NA	3162	0.059576474130153656	-0.0031167043	No	
row_22	TEF	NA	3182	0.05926196649670601	-3.7515798E-4	No	
row_23	LPL	NA	3271	0.0578727126121521	-0.0010553264	No	
row_24	FGF9	NA	3335	0.05679429695010185	-5.934361E-4	No	
row_25	HOXD3	NA	3350	0.0564379058778286	0.0022154239	No	
row_26	SCNM1	NA	3557	0.053613048046827316	-0.0044327225	No	
row_27	CCDC14	NA	3576	0.05343230068683624	-0.0020028804	No	
row_28	MREG	NA	3729	0.05139067396521568	-0.006177571	No	
row_29	PAN2	NA	3968	0.04794137552380562	-0.0147231	No	
row_30	TMEM120A	NA	4190	0.045464105904102325	-0.022599738	No	
row_31	KIF6	NA	4211	0.04505877569317818	-0.020783754	No	
row_32	BOK	NA	4305	0.04382389411330223	-0.022573337	No	
row_33	TAF2	NA	4313	0.04374496638774872	-0.02020999	No	
row_34	MED8	NA	4333	0.04344552382826805	-0.018445298	No	
row_35	CELF1	NA	4352	0.043240737169981	-0.016644906	No	
row_36	LRFN5	NA	4395	0.042643096297979355	-0.016041743	No	
row_37	BCKDHB	NA	4536	0.04106449335813522	-0.02027404	No	
row_38	UHRF1BP1	NA	4592	0.0404091402888298	-0.020437354	No	
row_39	FABP1	NA	4768	0.03825783357024193	-0.026535125	No	
row_40	ARL6IP1	NA	4840	0.03766681253910065	-0.027641356	No	
row_41	RBMS1	NA	4874	0.03723190352320671	-0.02693728	No	
row_42	USP12	NA	5000	0.03580545261502266	-0.030769186	No	
row_43	RBKS	NA	5165	0.03381096571683884	-0.03660979	No	
row_44	HHEX	NA	5615	0.028589705005288124	-0.05655164	No	
row_45	USP37	NA	5893	0.026067420840263367	-0.068333656	No	
row_46	DRC3	NA	5959	0.025435535237193108	-0.06990524	No	
row_47	GCH1	NA	5982	0.025136655196547508	-0.069416374	No	
row_48	COL15A1	NA	6136	0.02348306216299534	-0.07536304	No	
row_49	ARFGEF2	NA	6323	0.022013528272509575	-0.0829959	No	
row_50	DCTN2	NA	6346	0.02179422602057457	-0.08271347	No	
row_51	ARHGEF7	NA	6352	0.021739864721894264	-0.081612505	No	
row_52	MPC2	NA	6369	0.021594475954771042	-0.08105234	No	
row_53	LAMP2	NA	6385	0.021433409303426743	-0.08045377	No	
row_54	MAP2K3	NA	6591	0.019492145627737045	-0.08916094	No	
row_55	ZIC4	NA	6670	0.01874932274222374	-0.09177397	No	
row_56	ATP2B1	NA	6684	0.018634093925356865	-0.091251604	No	
row_57	HDAC4	NA	6761	0.018046246841549873	-0.09381137	No	
row_58	MMD	NA	6791	0.017751609906554222	-0.094117045	No	
row_59	ILRUN	NA	6798	0.017697596922516823	-0.09331409	No	
row_60	REST	NA	6822	0.017516346648335457	-0.09334422	No	
row_61	GOLGA4	NA	6833	0.017443936318159103	-0.09275031	No	
row_62	FNDC9	NA	6892	0.016979355365037918	-0.094505735	No	
row_63	SYNPO2L	NA	7111	0.015075269155204296	-0.104114205	No	
row_64	F12	NA	7165	0.014684796333312988	-0.10576961	No	
row_65	COL16A1	NA	7217	0.01426642294973135	-0.107354164	No	
row_66	NFE2L2	NA	7253	0.013916224241256714	-0.108186804	No	
row_67	EEF1B2	NA	7287	0.013731946237385273	-0.10893413	No	
row_68	FAM170A	NA	7301	0.013653077185153961	-0.10871939	No	
row_69	SLTM	NA	7324	0.013455269858241081	-0.10895199	No	
row_70	IQCD	NA	7382	0.012976697646081448	-0.11090628	No	
row_71	HIBADH	NA	7412	0.012647636234760284	-0.11152719	No	
row_72	SLC7A9	NA	7522	0.011656107380986214	-0.11607706	No	
row_73	GABARAPL2	NA	7553	0.011384823359549046	-0.11682431	No	
row_74	NET1	NA	7569	0.011199749074876308	-0.11685779	No	
row_75	DLG4	NA	7683	0.010346835479140282	-0.121681914	No	
row_76	CUTA	NA	7718	0.010076583363115788	-0.12270334	No	
row_77	IFFO1	NA	7892	0.008774365298449993	-0.13052538	No	
row_78	UBE2R2	NA	7972	0.008077154867351055	-0.1338459	No	
row_79	TOMM70	NA	8026	0.0076064132153987885	-0.13593848	No	
row_80	SLC23A3	NA	8049	0.007436699699610472	-0.1365428	No	
row_81	RTN4	NA	8173	0.006501586642116308	-0.14208786	No	
row_82	EFNB3	NA	8211	0.0062661743722856045	-0.14348967	No	
row_83	ROCK2	NA	8263	0.005878554657101631	-0.14559229	No	
row_84	RBP2	NA	8273	0.005813369061797857	-0.14566836	No	
row_85	SLC25A13	NA	8278	0.005758590996265411	-0.14550608	No	
row_86	RPL27	NA	8304	0.0055558099411427975	-0.1463716	No	
row_87	SSH2	NA	8323	0.005412438418716192	-0.14690757	No	
row_88	PPTC7	NA	8377	0.0049072010442614555	-0.14916685	No	
row_89	CLDN15	NA	8394	0.004794647917151451	-0.14964427	No	
row_90	ACOT8	NA	8479	0.004022235982120037	-0.15345696	No	
row_91	PDZK1	NA	8539	0.0035985521972179413	-0.15608716	No	
row_92	UBE2K	NA	8658	0.0028355864342302084	-0.16161692	No	
row_93	BIN3	NA	8696	0.002571163699030876	-0.16324694	No	
row_94	NR2C1	NA	8734	0.0022453204728662968	-0.16489708	No	
row_95	ARRDC1-AS1	NA	8872	0.0012880915310233831	-0.171441	No	
row_96	NDUFS1	NA	8981	5.338427145034075E-4	-0.17662947	No	
row_97	ZNF385A	NA	9063	-2.0353248692117631E-4	-0.18053296	No	
row_98	GRM3	NA	9232	-0.0013713346561416984	-0.18857048	No	
row_99	SATB1	NA	9467	-0.003026061225682497	-0.19969669	No	
row_100	C3orf18	NA	9534	-0.003568808315321803	-0.20266713	No	
row_101	RPRD1B	NA	9701	-0.004775482229888439	-0.21039772	No	
row_102	SLC25A5	NA	9770	-0.005268995650112629	-0.21335986	No	
