NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H1-4	NA	1	0.7539213299751282	0.042231932	Yes	
row_1	H2AC7	NA	18	0.4014430344104767	0.06397159	Yes	
row_2	ATF3	NA	20	0.4011898636817932	0.08642217	Yes	
row_3	H1-2	NA	21	0.400330126285553	0.108872876	Yes	
row_4	H2AC17	NA	34	0.34036919474601746	0.12738085	Yes	
row_5	H2AC6	NA	36	0.3379293382167816	0.14628375	Yes	
row_6	H2AC16	NA	59	0.30313462018966675	0.16222015	Yes	
row_7	H2AC13	NA	63	0.2947203814983368	0.17860319	Yes	
row_8	TOB1-AS1	NA	101	0.2587757706642151	0.19132681	Yes	
row_9	H4C8	NA	112	0.25187021493911743	0.20496841	Yes	
row_10	TUFT1	NA	129	0.23860381543636322	0.21757595	Yes	
row_11	H3C12	NA	155	0.2279847115278244	0.2291529	Yes	
row_12	H2BC4	NA	157	0.22706404328346252	0.24183841	Yes	
row_13	H2BC17	NA	260	0.2003479152917862	0.24814315	Yes	
row_14	H3C1	NA	261	0.2001871019601822	0.25936973	Yes	
row_15	NFKBIZ	NA	273	0.195517897605896	0.26980272	Yes	
row_16	CDC25C	NA	382	0.17180052399635315	0.27421644	Yes	
row_17	H3C10	NA	455	0.16304059326648712	0.27987924	Yes	
row_18	H2BC7	NA	501	0.15667855739593506	0.28649047	Yes	
row_19	MALAT1	NA	523	0.15334834158420563	0.29407513	Yes	
row_20	SGK1	NA	529	0.1529626101255417	0.30241165	Yes	
row_21	INTS6-AS1	NA	532	0.15287911891937256	0.3108885	Yes	
row_22	ID2	NA	619	0.14447744190692902	0.31483346	Yes	
row_23	PMAIP1	NA	765	0.1314285844564438	0.31519446	Yes	
row_24	H2BC10	NA	788	0.1297820657491684	0.3214092	Yes	
row_25	H2BC21	NA	792	0.12959329783916473	0.3285318	Yes	
row_26	STC2	NA	831	0.1263136863708496	0.33377856	Yes	
row_27	SDC4	NA	937	0.12144690006971359	0.33551347	Yes	
row_28	VAMP1	NA	987	0.11872667074203491	0.33980295	Yes	
row_29	THUMPD3-AS1	NA	1062	0.11568106710910797	0.34271312	Yes	
row_30	TOB1	NA	1081	0.1141778826713562	0.3482461	Yes	
row_31	LGALS1	NA	1496	0.09767366200685501	0.33371016	No	
row_32	LINC01136	NA	1518	0.09712325781583786	0.3381417	No	
row_33	SLC3A2	NA	1581	0.09508760273456573	0.34047705	No	
row_34	VASN	NA	1640	0.09322245419025421	0.3429012	No	
row_35	IER5L	NA	1824	0.08721894770860672	0.3389459	No	
row_36	H4C3	NA	2044	0.08143585175275803	0.332926	No	
row_37	SNHG32	NA	2115	0.07916363328695297	0.3339816	No	
row_38	INTS6	NA	2381	0.0735824778676033	0.32529756	No	
row_39	BRD2	NA	2504	0.07111610472202301	0.32338807	No	
row_40	MPHOSPH9	NA	2617	0.06900617480278015	0.32184368	No	
row_41	CCN2	NA	2710	0.06713690608739853	0.3211613	No	
row_42	ZBTB37	NA	2732	0.0668027251958847	0.32389244	No	
row_43	KBTBD2	NA	2898	0.0636410117149353	0.31948507	No	
row_44	BTG2	NA	2941	0.06283283233642578	0.3209784	No	
row_45	H2AX	NA	3014	0.06176867336034775	0.3209618	No	
