NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHAC1	NA	6	0.536477267742157	0.032122847	Yes	
row_1	H2AC7	NA	18	0.4014430344104767	0.05584542	Yes	
row_2	H1-2	NA	21	0.400330126285553	0.079935916	Yes	
row_3	H2AC17	NA	34	0.34036919474601746	0.09992017	Yes	
row_4	H2AC6	NA	36	0.3379293382167816	0.12028888	Yes	
row_5	SLC7A11	NA	39	0.3311351537704468	0.14019874	Yes	
row_6	PCK2	NA	53	0.3111381530761719	0.15836856	Yes	
row_7	ASNS	NA	64	0.29317840933799744	0.17559834	Yes	
row_8	ZBED3-AS1	NA	142	0.2331177443265915	0.18595983	Yes	
row_9	H3C12	NA	155	0.2279847115278244	0.19915403	Yes	
row_10	H2BC4	NA	157	0.22706404328346252	0.21282446	Yes	
row_11	ZEB1-AS1	NA	161	0.22626684606075287	0.22635002	Yes	
row_12	ANTKMT	NA	167	0.22478505969047546	0.23968937	Yes	
row_13	H2BC17	NA	260	0.2003479152917862	0.2473457	Yes	
row_14	ZNF862	NA	271	0.19685985147953033	0.2587561	Yes	
row_15	TUBE1	NA	334	0.17922352254390717	0.26658666	Yes	
row_16	GTF2IP12	NA	354	0.175779789686203	0.27628827	Yes	
row_17	AASDH	NA	395	0.17021051049232483	0.28463805	Yes	
row_18	NIFK-AS1	NA	404	0.16873575747013092	0.29444593	Yes	
row_19	H4C2	NA	421	0.16637426614761353	0.30372432	Yes	
row_20	H2BC11	NA	494	0.15745705366134644	0.3097563	Yes	
row_21	H2BC7	NA	501	0.15667855739593506	0.3189324	Yes	
row_22	H2BC5	NA	535	0.15263696014881134	0.32655886	Yes	
row_23	RAD52	NA	686	0.137734055519104	0.3276278	Yes	
row_24	PKN2	NA	728	0.13440123200416565	0.3337657	Yes	
row_25	H2BC10	NA	788	0.1297820657491684	0.33875415	Yes	
row_26	H2BC21	NA	792	0.12959329783916473	0.34643888	Yes	
row_27	GTF2IP20	NA	956	0.12064450979232788	0.34584674	Yes	
row_28	ANKRA2	NA	1007	0.11804038286209106	0.35056096	Yes	
row_29	PARGP1	NA	1197	0.10898846387863159	0.34800747	Yes	
row_30	SENP8	NA	1293	0.10516378283500671	0.3497679	Yes	
row_31	TMTC3	NA	1437	0.0996372401714325	0.3488736	Yes	
row_32	INHBE	NA	1443	0.0994749590754509	0.3546419	Yes	
row_33	PIGK	NA	1467	0.09884116053581238	0.35950163	Yes	
row_34	FAM229B	NA	1550	0.09600399434566498	0.3613372	Yes	
row_35	SLC3A2	NA	1581	0.09508760273456573	0.3656317	Yes	
row_36	CEP192	NA	1708	0.09098021686077118	0.36503628	No	
row_37	DRAM2	NA	2018	0.08220876008272171	0.35506266	No	
row_38	SEPTIN7P14	NA	2190	0.0773075520992279	0.35146537	No	
row_39	LRRCC1	NA	2196	0.0772257000207901	0.35588947	No	
row_40	MBD4	NA	2370	0.07377027720212936	0.35198176	No	
row_41	NDE1	NA	2400	0.07292980700731277	0.35498586	No	
row_42	CDKN2C	NA	2585	0.06974221020936966	0.35030293	No	
row_43	USP54	NA	2772	0.06599844992160797	0.3452971	No	
row_44	MYO9A	NA	2851	0.0643107071518898	0.34541124	No	
row_45	CEP290	NA	2857	0.0642317682504654	0.34905025	No	
row_46	MARF1	NA	2913	0.06334883719682693	0.35021836	No	
row_47	CEPT1	NA	2938	0.06286098808050156	0.35285586	No	
row_48	SRRM2	NA	3087	0.06066889688372612	0.34936538	No	
row_49	H3C8	NA	3088	0.06066761538386345	0.3530308	No	
row_50	TBC1D23	NA	3100	0.06052827835083008	0.35615593	No	
row_51	LINS1	NA	3229	0.05854199081659317	0.353504	No	
row_52	ZEB1	NA	3327	0.056913673877716064	0.35225254	No	
row_53	CHMP4B	NA	3333	0.05680936947464943	0.3554431	No	
row_54	TAF13	NA	3451	0.05507950112223625	0.3531138	No	
row_55	ELOA-AS1	NA	3462	0.05498164892196655	0.35595217	No	
row_56	ASB7	NA	3465	0.054923348128795624	0.35917383	No	
row_57	S100PBP	NA	3508	0.05425659567117691	0.36042118	No	
row_58	YARS1	NA	3827	0.0500975027680397	0.3480723	No	
row_59	SLC31A1	NA	4139	0.04598371312022209	0.3358133	No	
row_60	HS2ST1	NA	4162	0.04577995091676712	0.3375155	No	
row_61	AFF1	NA	4201	0.04515692591667175	0.33840647	No	
row_62	TGDS	NA	4212	0.04505520686507225	0.3406451	No	
row_63	HERPUD1	NA	4261	0.044434256851673126	0.34100887	No	
row_64	ETFDH	NA	4281	0.04416382685303688	0.3427585	No	
row_65	CWF19L2	NA	4299	0.043901607394218445	0.344589	No	
row_66	ETFRF1	NA	4492	0.041593361645936966	0.33781853	No	
row_67	BIRC2	NA	4496	0.041531383991241455	0.34018275	No	
row_68	TBC1D8	NA	4525	0.04116485267877579	0.341316	No	
row_69	CDK7	NA	4612	0.04019247367978096	0.33958617	No	
row_70	GOLGA7	NA	4704	0.0389690175652504	0.33754063	No	
row_71	CACUL1	NA	4864	0.037401121109724045	0.3321125	No	
row_72	PCNX4	NA	4945	0.03650125488638878	0.33044973	No	
row_73	CCDC174	NA	4970	0.036172062158584595	0.33147475	No	
row_74	COA8	NA	4996	0.0358431451022625	0.33243155	No	
