NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASS1	NA	7	0.49695008993148804	0.038248505	No	
row_1	LRRC2	NA	9	0.4809001088142395	0.07553988	No	
row_2	CRYGS	NA	181	0.21975012123584747	0.084363826	No	
row_3	OMG	NA	475	0.16003960371017456	0.08267372	No	
row_4	MYO10	NA	787	0.12985382974147797	0.07777262	No	
row_5	AP5B1	NA	924	0.12205300480127335	0.08069712	No	
row_6	PADI4	NA	1124	0.11202116310596466	0.07980743	No	
row_7	TMCC1	NA	1370	0.10201895982027054	0.07592489	No	
row_8	LRRFIP2	NA	1440	0.09956501424312592	0.08033129	No	
row_9	TNXB	NA	1464	0.09902698546648026	0.08691213	No	
row_10	CYTOR	NA	1745	0.08980748802423477	0.08039518	No	
row_11	VASP	NA	2189	0.07734096795320511	0.0650571	No	
row_12	PLCD1	NA	2315	0.07491584122180939	0.06485159	No	
row_13	SEPTIN4	NA	2354	0.07416262477636337	0.06877916	No	
row_14	MLEC	NA	2848	0.06435403972864151	0.05002377	No	
row_15	AKT3	NA	3002	0.061889149248600006	0.047457803	No	
row_16	AKIRIN2	NA	3076	0.06087229773402214	0.048667185	No	
row_17	S100A2	NA	3189	0.059141360223293304	0.047863193	No	
row_18	FGF9	NA	3335	0.05679429695010185	0.04528706	No	
row_19	RB1CC1	NA	3345	0.056586187332868576	0.049247093	No	
row_20	SPATS2	NA	3480	0.05462315306067467	0.04703235	No	
row_21	ETV5	NA	3539	0.053856413811445236	0.048419666	No	
row_22	WDFY3	NA	3640	0.05262201279401779	0.047687624	No	
row_23	MMRN2	NA	3814	0.05023050680756569	0.04325284	No	
row_24	WDFY3-AS2	NA	3843	0.04977076128125191	0.04576829	No	
row_25	MPP5	NA	4180	0.04560403525829315	0.03312113	No	
row_26	PHLDA2	NA	4359	0.04315291345119476	0.027895909	No	
row_27	MYBPH	NA	4431	0.04219934344291687	0.027751785	No	
row_28	FOSL1	NA	4473	0.0417705774307251	0.029019736	No	
row_29	BTK	NA	4671	0.03939181566238403	0.022587085	No	
row_30	XPOT	NA	4689	0.0391835980117321	0.024810461	No	
row_31	MDM2	NA	4850	0.03757821023464203	0.020019611	No	
row_32	ITPKC	NA	4881	0.03713152930140495	0.02145733	No	
row_33	GABARAPL1	NA	5106	0.034415192902088165	0.013337441	No	
row_34	TIAL1	NA	5375	0.031227150931954384	0.0028501477	No	
row_35	DPY19L3	NA	5545	0.029438337311148643	-0.0030063328	No	
row_36	P2RX6	NA	5835	0.02661934122443199	-0.014863156	No	
row_37	CPNE8	NA	5851	0.026430901139974594	-0.013533607	No	
row_38	PVALB	NA	6203	0.022962363436818123	-0.028661465	No	
row_39	IL6	NA	6571	0.019742127507925034	-0.04481022	No	
row_40	SYTL1	NA	6802	0.01767714135348797	-0.054518808	No	
row_41	E2F3	NA	6860	0.0173001978546381	-0.055921726	No	
row_42	MAPRE3	NA	6868	0.01724020391702652	-0.05492036	No	
row_43	BACH1	NA	7001	0.016004974022507668	-0.06003726	No	
row_44	SLC22A18	NA	7025	0.01574636436998844	-0.059922744	No	
row_45	ADRA1A	NA	7027	0.015730179846286774	-0.058749553	No	
row_46	ROM1	NA	7115	0.015053322538733482	-0.061772294	No	
row_47	DUSP13	NA	7300	0.013658649288117886	-0.06957667	No	
row_48	SNX10	NA	7381	0.01299913227558136	-0.07242166	No	
row_49	DDX17	NA	7527	0.011610905639827251	-0.07850606	No	
row_50	TINAGL1	NA	7663	0.0104922940954566	-0.08419553	No	
row_51	VDR	NA	7719	0.010076548904180527	-0.08606297	No	
row_52	CELA1	NA	7961	0.00815740879625082	-0.09704069	No	
row_53	SEC24D	NA	8140	0.006765671074390411	-0.1050912	No	
row_54	TLL1	NA	8160	0.006574729923158884	-0.1054961	No	
row_55	RIT1	NA	8260	0.0058838678523898125	-0.10980895	No	
row_56	GSE1	NA	8264	0.005876221694052219	-0.109497234	No	
row_57	PSMD7	NA	8279	0.0057478961534798145	-0.10972544	No	
row_58	CA9	NA	8355	0.005084534641355276	-0.11294406	No	
row_59	CLDN15	NA	8394	0.004794647917151451	-0.11440258	No	
row_60	PAK6	NA	8414	0.0045948452316224575	-0.11496121	No	
row_61	RBBP7	NA	8471	0.004096537828445435	-0.117341146	No	
row_62	USP13	NA	8666	0.002783372765406966	-0.12647173	No	
row_63	HS3ST2	NA	8933	8.141336729750037E-4	-0.13922408	No	
row_64	CALB2	NA	9033	2.353051422687713E-5	-0.14399196	No	
row_65	MAP2K1	NA	9057	-1.5572019037790596E-4	-0.14508799	No	
row_66	LENEP	NA	9197	-0.0010459593031555414	-0.15170363	No	
