NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H1-5	NA	0	0.8533703684806824	0.061772197	Yes	
row_1	H1-4	NA	1	0.7539213299751282	0.11634566	Yes	
row_2	H1-3	NA	2	0.6829494833946228	0.16578174	Yes	
row_3	H2AC7	NA	18	0.4014430344104767	0.1941202	Yes	
row_4	H1-2	NA	21	0.400330126285553	0.2230025	Yes	
row_5	H3C4	NA	32	0.3422626554965973	0.24729726	Yes	
row_6	H2AC17	NA	34	0.34036919474601746	0.27188724	Yes	
row_7	H2AC6	NA	36	0.3379293382167816	0.29630062	Yes	
row_8	BLNK	NA	38	0.33218109607696533	0.3202979	Yes	
row_9	H3C2	NA	52	0.3113403618335724	0.34221023	Yes	
row_10	H2AC16	NA	59	0.30313462018966675	0.3638648	Yes	
row_11	H2AC13	NA	63	0.2947203814983368	0.38505438	Yes	
row_12	H3C12	NA	155	0.2279847115278244	0.39718652	Yes	
row_13	H2BC4	NA	157	0.22706404328346252	0.41357478	Yes	
row_14	H2AC4	NA	187	0.2184075564146042	0.42799157	Yes	
row_15	H2BC17	NA	260	0.2003479152917862	0.43903577	Yes	
row_16	H3C1	NA	261	0.2001871019601822	0.45352656	Yes	
row_17	H2BC8	NA	268	0.19818885624408722	0.4675845	Yes	
row_18	H4C1	NA	290	0.19135618209838867	0.48042738	Yes	
row_19	H3C10	NA	455	0.16304059326648712	0.48435223	Yes	
row_20	MTSS1	NA	485	0.15864935517311096	0.49444333	Yes	
row_21	H2BC11	NA	494	0.15745705366134644	0.5054568	Yes	
row_22	H2BC7	NA	501	0.15667855739593506	0.51650995	Yes	
row_23	H2BC5	NA	535	0.15263696014881134	0.5259738	Yes	
row_24	H2BC21	NA	792	0.12959329783916473	0.52305865	Yes	
row_25	H2BC15	NA	852	0.12544012069702148	0.529305	Yes	
row_26	H2AC8	NA	922	0.12212201207876205	0.5348308	Yes	
row_27	H3C3	NA	934	0.12161813676357269	0.5431059	Yes	
row_28	H2BC9	NA	1128	0.11195380985736847	0.5419399	Yes	
row_29	AOC2	NA	1208	0.10841041058301926	0.54599285	Yes	
row_30	NRP1	NA	1232	0.10773351043462753	0.5526866	Yes	
row_31	SLC6A13	NA	1503	0.09750763326883316	0.5467765	Yes	
row_32	CELA3A	NA	1504	0.09747576713562012	0.5538324	Yes	
row_33	H1-1	NA	1557	0.09583626687526703	0.558272	Yes	
row_34	H2BC6	NA	1684	0.09179447591304779	0.5588648	Yes	
row_35	CYP51A1	NA	1865	0.08601208031177521	0.55644536	No	
row_36	PPP3CA	NA	2191	0.07728947699069977	0.54643005	No	
row_37	CNN1	NA	3032	0.06144213303923607	0.5105318	No	
