NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	8	0.48235970735549927	0.10362558	Yes	
row_1	CCDC121	NA	68	0.2922734320163727	0.1638197	Yes	
row_2	SECISBP2L	NA	224	0.20696571469306946	0.20101874	Yes	
row_3	ZNF287	NA	275	0.19475339353084564	0.24061638	Yes	
row_4	CNST	NA	506	0.15627285838127136	0.26329055	Yes	
row_5	SKIL	NA	589	0.14708401262760162	0.29107594	Yes	
row_6	METRN	NA	624	0.1438119113445282	0.32045606	Yes	
row_7	CEP44	NA	707	0.13575638830661774	0.34579894	Yes	
row_8	FBXO8	NA	1262	0.10651984810829163	0.34221822	Yes	
row_9	FBXO15	NA	1670	0.09222035855054855	0.34259877	Yes	
row_10	RFFL	NA	1864	0.08601508289575577	0.35189673	Yes	
row_11	POLR3GL	NA	2363	0.07396644353866577	0.34398034	Yes	
row_12	RRAGB	NA	2391	0.0732554942369461	0.35848218	Yes	
row_13	SLC27A1	NA	2417	0.07267756760120392	0.37295523	Yes	
row_14	SYT6	NA	2828	0.06466992199420929	0.36725146	Yes	
row_15	PKP4	NA	3310	0.05729145184159279	0.3565542	Yes	
row_16	JMJD1C	NA	3563	0.053526800125837326	0.35601944	Yes	
row_17	C1orf112	NA	3799	0.050370875746011734	0.3556189	Yes	
row_18	RAI2	NA	3933	0.048413969576358795	0.35968447	Yes	
row_19	PAN2	NA	3968	0.04794137552380562	0.36839247	Yes	
row_20	KCNJ16	NA	4055	0.04692133516073227	0.37438855	Yes	
row_21	TCF4	NA	4137	0.045999858528375626	0.38042554	Yes	
row_22	AMMECR1L	NA	4325	0.043572839349508286	0.38085943	Yes	
row_23	DPH3	NA	4519	0.04128069058060646	0.38051155	No	
row_24	OXNAD1	NA	5137	0.03414904698729515	0.35830674	No	
row_25	C1orf158	NA	5576	0.029092883691191673	0.3435898	No	
row_26	PHTF1	NA	6431	0.020988862961530685	0.30718967	No	
row_27	ODF2	NA	6837	0.017432715743780136	0.29153997	No	
row_28	BCL11B	NA	6879	0.017140254378318787	0.29327103	No	
row_29	COX8A	NA	6912	0.016833433881402016	0.2953672	No	
row_30	RIPOR1	NA	7020	0.015808286145329475	0.29364818	No	
row_31	ARMC2	NA	7109	0.015080937184393406	0.29268283	No	
row_32	PGS1	NA	7272	0.013816612772643566	0.28789857	No	
row_33	METTL18	NA	7487	0.01204985287040472	0.2802414	No	
row_34	RPL41	NA	7905	0.008680504746735096	0.26212943	No	
row_35	RNF216	NA	7951	0.008243589662015438	0.26175046	No	
row_36	WDR54	NA	7987	0.007930983789265156	0.26178327	No	
row_37	ATG101	NA	8460	0.004199517425149679	0.24006936	No	
row_38	ATP6V1D	NA	8527	0.003685352858155966	0.23770112	No	
row_39	RAD1	NA	8611	0.003214596537873149	0.2344167	No	
row_40	HNRNPD	NA	8975	5.857073119841516E-4	0.2171471	No	
row_41	RPL10	NA	8990	4.999418160878122E-4	0.21658398	No	
row_42	ZC3H10	NA	9049	-1.0568952711764723E-4	0.21382727	No	
row_43	GALNT2	NA	9181	-9.416325483471155E-4	0.20775245	No	
row_44	CLASP1	NA	9327	-0.0019306351896375418	0.20121998	No	
row_45	PRADC1	NA	9402	-0.002478844253346324	0.19820821	No	
row_46	CHERP	NA	9482	-0.0031310177873820066	0.19509745	No	
row_47	HSD3B7	NA	9519	-0.0034515298902988434	0.19411647	No	
row_48	SEM1	NA	9592	-0.003984019625931978	0.1915251	No	
row_49	SMARCD1	NA	9647	-0.004445347003638744	0.18989582	No	
row_50	MRPS10	NA	10025	-0.0070457858964800835	0.17334826	No	
row_51	YBX1	NA	10185	-0.008231406100094318	0.16750348	No	
row_52	NLGN3	NA	10736	-0.012222720310091972	0.1437816	No	
row_53	HIF1AN	NA	11213	-0.016153864562511444	0.12445364	No	
row_54	TIMM21	NA	11275	-0.016579430550336838	0.1251053	No	
row_55	GPS2	NA	11284	-0.01664004847407341	0.12830995	No	
row_56	COX7A2	NA	12204	-0.02348608896136284	0.08933331	No	
row_57	EIF2S1	NA	12281	-0.024081122130155563	0.0908837	No	
row_58	CCDC148	NA	12586	-0.026275886222720146	0.08198099	No	
row_59	CIPC	NA	13099	-0.03069835901260376	0.06406398	No	
row_60	BCS1L	NA	13558	-0.034779079258441925	0.049614698	No	
row_61	GPN1	NA	13642	-0.03540224954485893	0.053270746	No	
row_62	CCT7	NA	14227	-0.04069994017481804	0.034059912	No	
row_63	CHST14	NA	14622	-0.044707827270030975	0.024818562	No	
row_64	UBL4B	NA	14631	-0.04478485509753227	0.03409193	No	
row_65	SPAG8	NA	14691	-0.0452960804104805	0.04103148	No	
row_66	TP53BP1	NA	14955	-0.04804675281047821	0.038787942	No	
row_67	ERCC1	NA	15305	-0.0515296570956707	0.033174068	No	
row_68	STX10	NA	15369	-0.05208221450448036	0.04138519	No	
row_69	ERF	NA	15592	-0.054332319647073746	0.042461805	No	
row_70	BRIX1	NA	16545	-0.06600163131952286	0.011071152	No	
row_71	SIX6	NA	16740	-0.06898456811904907	0.016648995	No	
row_72	IER2	NA	16761	-0.06932912021875381	0.030639656	No	
row_73	TFB2M	NA	17004	-0.07297530025243759	0.034777716	No	
row_74	ATP5MC1	NA	17091	-0.07406167685985565	0.04662595	No	
row_75	FIS1	NA	17403	-0.07857493311166763	0.048664775	No	
row_76	SMIM29	NA	17506	-0.08028512448072433	0.06108818	No	
row_77	NABP2	NA	17927	-0.08738309144973755	0.05980271	No	
row_78	SHANK1	NA	18613	-0.10018526017665863	0.048578236	No	
row_79	PCSK1N	NA	19863	-0.13729818165302277	0.018327922	No	
row_80	ID1	NA	20221	-0.15569636225700378	0.034791645	No	
