NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFAT5	NA	1601	0.09445765614509583	-0.030478243	No	
row_1	NFYB	NA	2912	0.06336431205272675	-0.06221029	No	
row_2	CDK1	NA	3535	0.05391016602516174	-0.065653525	No	
row_3	ECI1	NA	3631	0.052722349762916565	-0.04447422	No	
row_4	B3GALT4	NA	4376	0.042887505143880844	-0.059129477	No	
row_5	CDT1	NA	4898	0.036976248025894165	-0.06600449	No	
row_6	VANGL2	NA	5125	0.03424282371997833	-0.060105693	No	
row_7	MOB4	NA	5390	0.031046876683831215	-0.05758337	No	
row_8	EEF1D	NA	6814	0.017607279121875763	-0.117043376	No	
row_9	ARL6IP5	NA	6959	0.016335776075720787	-0.11595975	No	
row_10	MFSD11	NA	7397	0.01283171121031046	-0.13059746	No	
row_11	KAT6A	NA	7727	0.009999066591262817	-0.14145242	No	
row_12	OAZ1	NA	7998	0.00785331055521965	-0.15053278	No	
row_13	TCF3	NA	8823	0.001669609802775085	-0.1891233	No	
row_14	RPL13	NA	9023	1.3261986896395683E-4	-0.19857512	No	
row_15	TADA1	NA	9730	-0.004991715308278799	-0.22990188	No	
row_16	RPL8	NA	9748	-0.005083694122731686	-0.2282346	No	
row_17	HNRNPA0	NA	10155	-0.008029674179852009	-0.24373268	No	
row_18	SRSF2	NA	11116	-0.015391009859740734	-0.2821325	No	
row_19	ACTB	NA	11157	-0.015738682821393013	-0.27636674	No	
row_20	PTBP1	NA	11733	-0.020096413791179657	-0.29405951	No	
row_21	GRAMD2A	NA	12173	-0.02327118255198002	-0.3036996	No	
row_22	SNORA17B	NA	13919	-0.03794757276773453	-0.36863452	No	
row_23	NBEAP1	NA	16015	-0.05940384790301323	-0.4398389	Yes	
row_24	YAP1	NA	16079	-0.06012265756726265	-0.4135188	Yes	
row_25	SDK1	NA	16580	-0.06644532084465027	-0.40501207	Yes	
row_26	SLC39A11	NA	16811	-0.07014528661966324	-0.38178834	Yes	
row_27	STAT3	NA	17188	-0.07538007199764252	-0.3629926	Yes	
row_28	GTPBP3	NA	17432	-0.07915299385786057	-0.33599585	Yes	
row_29	JMJD8	NA	17648	-0.08239641040563583	-0.3060777	Yes	
row_30	MBD3	NA	17879	-0.08634991943836212	-0.27494797	Yes	
row_31	ARHGDIA	NA	18964	-0.10747212916612625	-0.27435285	Yes	
row_32	COL1A1	NA	19150	-0.11326943337917328	-0.22793758	Yes	
row_33	PTGES2	NA	19841	-0.13615234196186066	-0.19450809	Yes	
row_34	MRPL12	NA	20003	-0.14384250342845917	-0.132029	Yes	
row_35	CTNNA1	NA	20490	-0.17663195729255676	-0.06909454	Yes	
row_36	MIDN	NA	20589	-0.18631741404533386	0.01712012	Yes	
