NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPP1	NA	442	0.16451434791088104	0.036572594	No	
row_1	APOH	NA	549	0.15146540105342865	0.084635176	No	
row_2	NRP1	NA	1232	0.10773351043462753	0.089813374	No	
row_3	LPL	NA	3271	0.0578727126121521	0.01265811	No	
row_4	PDGFA	NA	4113	0.04626351222395897	-0.011329595	No	
row_5	MSX1	NA	5683	0.028056710958480835	-0.07651648	No	
row_6	ITGAV	NA	6299	0.02217097021639347	-0.09814824	No	
row_7	CXCL6	NA	6505	0.02035873383283615	-0.10080973	No	
row_8	TIMP1	NA	6674	0.018729954957962036	-0.102273256	No	
row_9	JAG2	NA	6911	0.016835294663906097	-0.10765311	No	
row_10	FGFR1	NA	6913	0.016817500814795494	-0.10180164	No	
row_11	TNFRSF21	NA	7337	0.0133848050609231	-0.117334105	No	
row_12	PF4	NA	7503	0.011906950734555721	-0.12104756	No	
row_13	S100A4	NA	9137	-6.655387114733458E-4	-0.19890323	No	
row_14	KCNJ8	NA	9294	-0.0017569228075444698	-0.20574677	No	
row_15	LRPAP1	NA	11786	-0.020437750965356827	-0.31769577	No	
row_16	THBD	NA	11832	-0.020781347528100014	-0.3125579	No	
row_17	SERPINA5	NA	12271	-0.023963231593370438	-0.32509694	No	
row_18	FSTL1	NA	12784	-0.027923813089728355	-0.3397853	No	
row_19	STC1	NA	13427	-0.03356805443763733	-0.3587103	No	
row_20	VEGFA	NA	13996	-0.03856288641691208	-0.37234452	No	
row_21	OLR1	NA	14141	-0.0398549810051918	-0.36525008	No	
row_22	POSTN	NA	15285	-0.051371075212955475	-0.40188763	No	
row_23	PGLYRP1	NA	15306	-0.05154089257121086	-0.38476434	No	
row_24	COL5A2	NA	16529	-0.06576082110404968	-0.42013195	No	
row_25	PTK2	NA	17486	-0.07997193187475204	-0.43779454	No	
row_26	VTN	NA	17989	-0.08840582519769669	-0.43078867	No	
row_27	LUM	NA	19258	-0.1161140650510788	-0.45069292	Yes	
row_28	APP	NA	19314	-0.11759841442108154	-0.4120715	Yes	
row_29	VCAN	NA	19730	-0.1315179467201233	-0.38578233	Yes	
row_30	VAV2	NA	19874	-0.13783766329288483	-0.34426945	Yes	
row_31	PRG2	NA	19946	-0.1406707763671875	-0.29831976	Yes	
row_32	SLCO2A1	NA	20048	-0.1456664353609085	-0.25205228	Yes	
row_33	JAG1	NA	20184	-0.15295110642910004	-0.2048553	Yes	
row_34	COL3A1	NA	20841	-0.24269002676010132	-0.15109338	Yes	
row_35	CCND2	NA	20942	-0.44504624605178833	2.3919856E-4	Yes	
