NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	8	0.48235970735549927	0.043070767	Yes	
row_1	ATF3	NA	20	0.4011898636817932	0.07868465	Yes	
row_2	TXNIP	NA	65	0.29297059774398804	0.10296156	Yes	
row_3	IL1A	NA	109	0.2532360851764679	0.12370692	Yes	
row_4	IFNB1	NA	177	0.22183656692504883	0.14046893	Yes	
row_5	DDIT3	NA	307	0.18689286708831787	0.15110025	Yes	
row_6	GADD45B	NA	316	0.1828605979681015	0.16718924	Yes	
row_7	H1-0	NA	406	0.16849395632743835	0.17808728	Yes	
row_8	BMF	NA	468	0.16073259711265564	0.1896331	Yes	
row_9	PMAIP1	NA	765	0.1314285844564438	0.18723379	Yes	
row_10	CFLAR	NA	969	0.12005312740802765	0.1882836	Yes	
row_11	BCL10	NA	1078	0.1144317239522934	0.19339716	Yes	
row_12	FAS	NA	1270	0.10606219619512558	0.19376384	Yes	
row_13	CD38	NA	1274	0.10581757128238678	0.2031526	Yes	
row_14	GPX3	NA	1291	0.10525711625814438	0.21186545	Yes	
row_15	SMAD7	NA	1406	0.10091817378997803	0.21547294	Yes	
row_16	BIRC3	NA	1480	0.09818831086158752	0.22080688	Yes	
row_17	RNASEL	NA	1945	0.08432598412036896	0.20608214	Yes	
row_18	CD69	NA	2157	0.07804165780544281	0.20296231	Yes	
row_19	LGALS3	NA	2168	0.07775137573480606	0.20948584	Yes	
row_20	TSPO	NA	2279	0.07569592446088791	0.21101348	Yes	
row_21	CTH	NA	2412	0.07275108993053436	0.2112175	Yes	
row_22	NEDD9	NA	2423	0.07260453701019287	0.21727733	Yes	
row_23	CYLD	NA	2442	0.07215753942728043	0.22291206	Yes	
row_24	XIAP	NA	2530	0.07082583755254745	0.22510743	Yes	
row_25	BRCA1	NA	2537	0.07076436281204224	0.23119392	Yes	
row_26	CDKN1B	NA	2587	0.06973010301589966	0.23511864	Yes	
row_27	SC5D	NA	2723	0.06695113331079483	0.2346558	Yes	
row_28	TIMP2	NA	2865	0.06403416395187378	0.23364154	Yes	
row_29	TGFB2	NA	2914	0.06333953142166138	0.23703863	Yes	
row_30	BTG2	NA	2941	0.06283283233642578	0.24144843	Yes	
row_31	PDGFRB	NA	3015	0.061753835529088974	0.24350001	Yes	
row_32	TOP2A	NA	3098	0.0605505146086216	0.24501021	Yes	
row_33	CASP9	NA	3131	0.060105737298727036	0.24888569	Yes	
row_34	EGR3	NA	3358	0.05634911730885506	0.24308999	No	
row_35	IFNGR1	NA	3746	0.05104534327983856	0.22907124	No	
row_36	PDCD4	NA	3844	0.04976498335599899	0.22888817	No	
row_37	CREBBP	NA	3865	0.04936201870441437	0.23237304	No	
row_38	PSEN1	NA	3879	0.04919672757387161	0.23617977	No	
row_39	DNAJC3	NA	4089	0.04659426212310791	0.23032306	No	
row_40	BCL2L1	NA	4153	0.04581815004348755	0.23142007	No	
row_41	IGF2R	NA	4157	0.04579874873161316	0.23540173	No	
row_42	SAT1	NA	4385	0.04273637756705284	0.22833155	No	
row_43	DPYD	NA	4545	0.04090496897697449	0.22436766	No	
row_44	RETSAT	NA	4763	0.03829393535852432	0.21737833	No	
row_45	FASLG	NA	4825	0.037815552204847336	0.2178506	No	
row_46	ROCK1	NA	4855	0.0375308021903038	0.21983664	No	
row_47	RHOB	NA	4937	0.036534473299980164	0.21923134	No	
row_48	PLPPR4	NA	5022	0.03541669249534607	0.21838103	No	
row_49	AVPR1A	NA	5070	0.03489195555448532	0.2192634	No	
row_50	DNM1L	NA	5114	0.03436393663287163	0.22029065	No	
row_51	IL1B	NA	5157	0.03390182927250862	0.22132435	No	
row_52	PPP2R5B	NA	5207	0.03322679549455643	0.2219605	No	
row_53	CASP3	NA	5214	0.03316253796219826	0.22465946	No	
row_54	CDK2	NA	5411	0.03082979843020439	0.21800794	No	
row_55	DAP	NA	5501	0.0299655981361866	0.216426	No	
row_56	GCH1	NA	5982	0.025136655196547508	0.1955992	No	
row_57	WEE1	NA	6473	0.020633207634091377	0.17388561	No	
row_58	IL6	NA	6571	0.019742127507925034	0.1709978	No	
row_59	TIMP1	NA	6674	0.018729954957962036	0.16777827	No	
row_60	CTNNB1	NA	6714	0.018375469371676445	0.16755752	No	
row_61	CCND1	NA	7374	0.01304983627051115	0.13703068	No	
row_62	BTG3	NA	7508	0.011850012466311455	0.13170001	No	
row_63	PLCB2	NA	7517	0.011730706319212914	0.13237198	No	
row_64	HMGB2	NA	7531	0.011580299586057663	0.13278985	No	
row_65	CASP2	NA	7561	0.011288249865174294	0.1324117	No	
row_66	ANKH	NA	7616	0.010826850309967995	0.13078931	No	
row_67	DIABLO	NA	7973	0.008076193742454052	0.1143908	No	
row_68	LEF1	NA	8135	0.006785901729017496	0.10725691	No	
row_69	TAP1	NA	8383	0.004868860822170973	0.09581312	No	
row_70	CDC25B	NA	8598	0.003286348655819893	0.08581429	No	
row_71	CASP8	NA	9007	3.029380168300122E-4	0.06621393	No	
row_72	EBP	NA	9020	1.5359846292994916E-4	0.065650485	No	
row_73	RELA	NA	9142	-7.171867182478309E-4	0.05989415	No	
row_74	SATB1	NA	9467	-0.003026061225682497	0.044580102	No	
row_75	GNA15	NA	9751	-0.005108360201120377	0.031426035	No	
row_76	PPT1	NA	10032	-0.007095330860465765	0.018595291	No	
row_77	HGF	NA	10094	-0.007529705762863159	0.016339114	No	
row_78	FEZ1	NA	10171	-0.008165494538843632	0.013418609	No	
row_79	HSPB1	NA	10403	-0.009802281856536865	0.0031889786	No	
row_80	PAK1	NA	10558	-0.011004608124494553	-0.0032280968	No	
row_81	IER3	NA	10692	-0.011852137744426727	-0.008558571	No	
row_82	F2	NA	10717	-0.01210830733180046	-0.0086223055	No	
row_83	PSEN2	NA	10825	-0.012930906377732754	-0.012604813	No	
row_84	DCN	NA	10994	-0.014317268505692482	-0.01939695	No	
row_85	MGMT	NA	11020	-0.014545133337378502	-0.019289259	No	
row_86	MCL1	NA	11134	-0.015534594655036926	-0.023325842	No	
row_87	CASP7	NA	11263	-0.016469134017825127	-0.027999839	No	
row_88	ADD1	NA	11528	-0.01861702650785446	-0.03902288	No	
row_89	AIFM3	NA	11578	-0.018987422809004784	-0.039669555	No	
row_90	CASP1	NA	11625	-0.019350117072463036	-0.04013923	No	
row_91	PEA15	NA	11818	-0.02069193869829178	-0.04751164	No	
row_92	ISG20	NA	11841	-0.02082892693579197	-0.046693526	No	
row_93	DAP3	NA	11933	-0.021481093019247055	-0.04913604	No	
row_94	GADD45A	NA	11983	-0.02190602570772171	-0.049519774	No	
row_95	VDAC2	NA	12229	-0.023690713569521904	-0.0591717	No	
row_96	CD2	NA	12309	-0.024313636124134064	-0.060781743	No	
row_97	SOD2	NA	12361	-0.024717627093195915	-0.061008397	No	
row_98	SQSTM1	NA	12564	-0.026090990751981735	-0.06837548	No	
row_99	PLAT	NA	12787	-0.027928583323955536	-0.07653916	No	
row_100	SOD1	NA	13108	-0.030763642862439156	-0.08916191	No	
