NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC23A1	NA	61	0.2979479432106018	0.041193925	Yes	
row_1	NUDT12	NA	137	0.23465391993522644	0.07234305	Yes	
row_2	OPTN	NA	399	0.16944018006324768	0.084908165	Yes	
row_3	TFCP2L1	NA	540	0.15249477326869965	0.100771174	Yes	
row_4	EFHC1	NA	616	0.14477969706058502	0.1186113	Yes	
row_5	BMP6	NA	881	0.12424933910369873	0.124340355	Yes	
row_6	SLCO1A2	NA	935	0.12148574739694595	0.13978687	Yes	
row_7	ABCA5	NA	1257	0.10660857707262039	0.14016794	Yes	
row_8	HSD17B11	NA	1267	0.10611522942781448	0.15545005	Yes	
row_9	PIPOX	NA	1538	0.09641590714454651	0.15676942	Yes	
row_10	ATXN1	NA	1553	0.0959182158112526	0.17030154	Yes	
row_11	PNPLA8	NA	1715	0.09084887057542801	0.17602786	Yes	
row_12	ABCG8	NA	1761	0.08942191302776337	0.18711016	Yes	
row_13	AQP9	NA	2137	0.07859494537115097	0.18075117	Yes	
row_14	ALDH8A1	NA	2235	0.07655676454305649	0.18743266	Yes	
row_15	RXRG	NA	2498	0.07125727087259293	0.1854104	Yes	
row_16	PECR	NA	2590	0.06964422017335892	0.1913562	Yes	
row_17	MLYCD	NA	3030	0.06148267537355423	0.17939153	Yes	
row_18	GNMT	NA	3208	0.05883865803480148	0.17960973	Yes	
row_19	NEDD4	NA	3291	0.05753226950764656	0.1841939	Yes	
row_20	NPC1	NA	3326	0.05693873018026352	0.19099386	Yes	
row_21	PHYH	NA	3484	0.05456225946545601	0.19153866	Yes	
row_22	PEX7	NA	3650	0.05242432653903961	0.19138291	Yes	
row_23	ABCD2	NA	3793	0.0504344217479229	0.19203636	Yes	
row_24	PEX19	NA	3852	0.04957474768161774	0.19659398	Yes	
row_25	CYP39A1	NA	3947	0.0482524111866951	0.199228	Yes	
