NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CBX5	NA	121	0.2449970543384552	0.023227738	Yes	
row_1	HMMR	NA	357	0.17502854764461517	0.0326622	Yes	
row_2	CENPE	NA	547	0.152062326669693	0.041589595	Yes	
row_3	ING3	NA	584	0.14758801460266113	0.05736013	Yes	
row_4	AURKA	NA	631	0.14323227107524872	0.07213208	Yes	
row_5	E2F8	NA	1006	0.1180519312620163	0.06810937	Yes	
row_6	BRCA2	NA	1074	0.11473368853330612	0.078488976	Yes	
row_7	SPC24	NA	1093	0.11374631524085999	0.09111303	Yes	
row_8	CIT	NA	1191	0.10929588973522186	0.0994018	Yes	
row_9	MTHFD2	NA	1441	0.0995456650853157	0.09920844	Yes	
row_10	RAD51AP1	NA	1620	0.09377914667129517	0.101752944	Yes	
row_11	PLK1	NA	1648	0.09287606179714203	0.1114678	Yes	
row_12	MXD3	NA	1664	0.09253209084272385	0.121720195	Yes	
row_13	KIF18B	NA	1679	0.09200531989336014	0.1319583	Yes	
row_14	AURKB	NA	1710	0.09092402458190918	0.14129704	Yes	
row_15	CDKN3	NA	1743	0.08991818875074387	0.15042008	Yes	
row_16	BIRC5	NA	1766	0.08922998607158661	0.15994346	Yes	
row_17	CDC20	NA	1779	0.08846510201692581	0.16985805	Yes	
row_18	DLGAP5	NA	1798	0.08795852214097977	0.17942338	Yes	
row_19	RACGAP1	NA	1834	0.08687279373407364	0.18804063	Yes	
row_20	KIF2C	NA	1925	0.08481158316135406	0.19376265	Yes	
row_21	CCNB2	NA	2000	0.08258653432130814	0.19999188	Yes	
row_22	CDCA3	NA	2118	0.07906299829483032	0.2037308	Yes	
row_23	CDCA8	NA	2241	0.07646974921226501	0.20692116	Yes	
row_24	PPM1D	NA	2349	0.07426146417856216	0.21057251	Yes	
row_25	BRCA1	NA	2537	0.07076436281204224	0.20995346	Yes	
row_26	CDKN2C	NA	2585	0.06974221020936966	0.21596047	Yes	
row_27	CDKN1B	NA	2587	0.06973010301589966	0.22418304	Yes	
row_28	MRE11	NA	2756	0.06623648852109909	0.22394264	Yes	
row_29	CENPM	NA	2884	0.06378766894340515	0.22538778	Yes	
row_30	PLK4	NA	2940	0.06283553689718246	0.23019004	Yes	
row_31	H2AX	NA	3014	0.06176867336034775	0.23399824	Yes	
row_32	BARD1	NA	3042	0.06120409443974495	0.23995645	Yes	
row_33	DCK	NA	3044	0.061179183423519135	0.24716479	Yes	
row_34	ESPL1	NA	3054	0.06110633909702301	0.2539789	Yes	
row_35	CCP110	NA	3060	0.06105683743953705	0.26097995	Yes	
row_36	DEPDC1	NA	3078	0.06083814799785614	0.2673767	Yes	
row_37	TOP2A	NA	3098	0.0605505146086216	0.27364296	Yes	
row_38	EXOSC8	NA	3312	0.05721746385097504	0.270164	Yes	
row_39	MELK	NA	3497	0.0543847382068634	0.26774675	Yes	
row_40	CDK1	NA	3535	0.05391016602516174	0.27235788	Yes	
row_41	STAG1	NA	3658	0.05230604112148285	0.27268213	Yes	
row_42	DIAPH3	NA	3755	0.050925783812999725	0.27409577	Yes	
row_43	KIF4A	NA	3906	0.04891055077314377	0.27266783	Yes	
row_44	PAN2	NA	3968	0.04794137552380562	0.27541432	Yes	
