NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPA	NA	338	0.1784760057926178	0.0019167059	Yes	
row_1	HMMR	NA	357	0.17502854764461517	0.018904887	Yes	
row_2	NEK2	NA	457	0.1628635972738266	0.030748058	Yes	
row_3	TRAIP	NA	546	0.15210102498531342	0.042023443	Yes	
row_4	CENPE	NA	547	0.152062326669693	0.057536256	Yes	
row_5	AURKA	NA	631	0.14323227107524872	0.068147875	Yes	
row_6	NDC80	NA	731	0.1341629922389984	0.07706312	Yes	
row_7	INCENP	NA	750	0.1323658674955368	0.089699015	Yes	
row_8	ARID4A	NA	805	0.12879793345928192	0.10023583	Yes	
row_9	KNL1	NA	1005	0.11805824190378189	0.10268839	Yes	
row_10	CDC27	NA	1036	0.11668156832456589	0.113145865	Yes	
row_11	TTK	NA	1067	0.11528260260820389	0.12346063	Yes	
row_12	BRCA2	NA	1074	0.11473368853330612	0.13487613	Yes	
row_13	MEIS2	NA	1101	0.11347262561321259	0.14519903	Yes	
row_14	STIL	NA	1193	0.109097421169281	0.15194277	Yes	
row_15	KIF23	NA	1310	0.10453969985246658	0.1570166	Yes	
row_16	E2F2	NA	1428	0.09984506666660309	0.16156332	Yes	
row_17	RBL1	NA	1486	0.09804549813270569	0.16881828	Yes	
row_18	PLK1	NA	1648	0.09287606179714203	0.17053336	Yes	
row_19	AURKB	NA	1710	0.09092402458190918	0.17686903	Yes	
row_20	CDKN3	NA	1743	0.08991818875074387	0.18449982	Yes	
row_21	BIRC5	NA	1766	0.08922998607158661	0.19254237	Yes	
row_22	CDC20	NA	1779	0.08846510201692581	0.20098887	Yes	
row_23	KIF11	NA	1804	0.08778153359889984	0.20878728	Yes	
row_24	RACGAP1	NA	1834	0.08687279373407364	0.21625197	Yes	
row_25	KIF2C	NA	1925	0.08481158316135406	0.22056636	Yes	
row_26	CCNB2	NA	2000	0.08258653432130814	0.2254249	Yes	
row_27	TROAP	NA	2066	0.08105481415987015	0.23056097	Yes	
row_28	SLC7A5	NA	2067	0.08104413002729416	0.23882878	Yes	
row_29	UBE2C	NA	2246	0.0763721913099289	0.23804083	Yes	
row_30	NUSAP1	NA	2281	0.07559763640165329	0.24411431	Yes	
row_31	KIF15	NA	2395	0.0731317326426506	0.2461286	Yes	
row_32	CCNF	NA	2418	0.07267259061336517	0.25248206	Yes	
row_33	POLQ	NA	2431	0.07241159677505493	0.2592908	Yes	
row_34	PRC1	NA	2456	0.07196170836687088	0.26547533	Yes	
row_35	KIF20B	NA	2538	0.0707634836435318	0.26879036	Yes	
row_36	CDKN2C	NA	2585	0.06974221020936966	0.2736881	Yes	
row_37	CDKN1B	NA	2587	0.06973010301589966	0.28075352	Yes	
row_38	PLK4	NA	2940	0.06283553689718246	0.27019826	Yes	
row_39	H2AX	NA	3014	0.06176867336034775	0.27298126	Yes	
row_40	BARD1	NA	3042	0.06120409443974495	0.27792373	Yes	
row_41	ESPL1	NA	3054	0.06110633909702301	0.2836274	Yes	
row_42	TOP2A	NA	3098	0.0605505146086216	0.28773203	Yes	
row_43	BUB1	NA	3106	0.060462530702352524	0.2935628	Yes	
row_44	MEIS1	NA	3155	0.059662844985723495	0.2973359	Yes	
row_45	PBK	NA	3156	0.05965280532836914	0.30342144	Yes	
row_46	MARCKS	NA	3356	0.05635050684213638	0.29957882	Yes	
row_47	KMT5A	NA	3381	0.05605306848883629	0.3041404	Yes	
row_48	CENPF	NA	3413	0.05566800385713577	0.30832532	Yes	
row_49	FBXO5	NA	3523	0.05402175709605217	0.3085829	Yes	
row_50	CCNA2	NA	3529	0.05396326631307602	0.31384704	Yes	
row_51	CDK1	NA	3535	0.05391016602516174	0.31910574	Yes	
row_52	STAG1	NA	3658	0.05230604112148285	0.31856173	Yes	
row_53	CDC7	NA	3714	0.05158373713493347	0.32117325	Yes	
row_54	EGF	NA	3716	0.05157212167978287	0.3263862	Yes	
row_55	KATNA1	NA	3764	0.050786711275577545	0.329302	Yes	
row_56	DTYMK	NA	3796	0.05039859563112259	0.33294937	Yes	
row_57	KIF4A	NA	3906	0.04891055077314377	0.3326855	Yes	
row_58	DR1	NA	4000	0.04756966233253479	0.33305603	Yes	
row_59	SMC4	NA	4032	0.047157663851976395	0.33637273	Yes	
row_60	SLC7A1	NA	4058	0.04688210040330887	0.33995053	Yes	
row_61	PRIM2	NA	4237	0.044771645218133926	0.33593884	Yes	
row_62	RAD54L	NA	4349	0.04325571283698082	0.3350017	Yes	
row_63	UBE2S	NA	4516	0.04128919914364815	0.3312131	Yes	
row_64	EZH2	NA	4632	0.03992556408047676	0.32974344	Yes	
row_65	BUB3	NA	4669	0.03939703851938248	0.33202747	Yes	
row_66	CTCF	NA	4700	0.039014413952827454	0.33456165	Yes	
row_67	TPX2	NA	4841	0.03766051307320595	0.33165598	Yes	
row_68	ATRX	NA	4882	0.037129126489162445	0.33351585	Yes	
row_69	MAP3K20	NA	4896	0.036985356360673904	0.3366624	Yes	
row_70	EXO1	NA	4930	0.03658623248338699	0.33880427	Yes	
row_71	YTHDC1	NA	4964	0.03626931086182594	0.3409138	Yes	
row_72	PDS5B	NA	5139	0.03407733514904976	0.3360039	Yes	
row_73	RPS6KA5	NA	5213	0.03316650539636612	0.335869	Yes	
