NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VLDLR	NA	27	0.3794453740119934	0.024199182	No	
row_1	CENPA	NA	338	0.1784760057926178	0.021252409	No	
row_2	NDST3	NA	344	0.1776258647441864	0.032948714	No	
row_3	HMMR	NA	357	0.17502854764461517	0.044133086	No	
row_4	AURKA	NA	631	0.14323227107524872	0.04060107	No	
row_5	STC2	NA	831	0.1263136863708496	0.039498657	No	
row_6	B3GNT3	NA	865	0.12473180145025253	0.046290707	No	
row_7	SLC35A3	NA	903	0.12301070243120193	0.0527743	No	
row_8	KIF20A	NA	1115	0.11234697699546814	0.050154887	No	
row_9	IRS2	NA	1418	0.10042308270931244	0.042348173	No	
row_10	SLC37A4	NA	1460	0.09910847246646881	0.047032632	No	
row_11	GLCE	NA	1492	0.09779182821512222	0.052110583	No	
row_12	GALK1	NA	2023	0.08201024681329727	0.032077424	No	
row_13	CTH	NA	2412	0.07275108993053436	0.018266043	No	
row_14	RBCK1	NA	2513	0.07099203765392303	0.0182173	No	
row_15	KDELR3	NA	2730	0.06681860238313675	0.012297181	No	
row_16	NT5E	NA	2790	0.06560719013214111	0.013862644	No	
row_17	DEPDC1	NA	3078	0.06083814799785614	0.0041185957	No	
row_18	TFF3	NA	3139	0.05995733663439751	0.0052561653	No	
row_19	IL13RA1	NA	3222	0.05863615870475769	0.0052446024	No	
row_20	CDK1	NA	3535	0.05391016602516174	-0.0061699753	No	
row_21	SDC1	NA	3602	0.053068432956933975	-0.005784557	No	
row_22	HS2ST1	NA	4162	0.04577995091676712	-0.029650286	No	
row_23	CACNA1H	NA	4367	0.04305172339081764	-0.03658928	No	
row_24	ANG	NA	4916	0.03673354536294937	-0.060532797	No	
row_25	P4HA2	NA	5201	0.03329562023282051	-0.07198324	No	
row_26	RRAGD	NA	5429	0.030676232650876045	-0.08086247	No	
row_27	BPNT1	NA	5750	0.027452146634459496	-0.09444073	No	
row_28	SPAG4	NA	5763	0.027346590533852577	-0.093181275	No	
row_29	SOX9	NA	5852	0.026423152536153793	-0.09564689	No	
row_30	CYB5A	NA	5895	0.026038506999611855	-0.09592127	No	
row_31	GNE	NA	5907	0.025929799303412437	-0.09470884	No	
row_32	GFPT1	NA	5922	0.02576838806271553	-0.093651846	No	
row_33	CXCR4	NA	6123	0.023640934377908707	-0.10170255	No	
row_34	MXI1	NA	6344	0.021817969158291817	-0.11083971	No	
row_35	GOT1	NA	6632	0.01914680004119873	-0.123385616	No	
row_36	GUSB	NA	6635	0.01910007745027542	-0.122198395	No	
