NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC7A11	NA	39	0.3311351537704468	0.02717513	Yes	
row_1	ASNS	NA	64	0.29317840933799744	0.05174278	Yes	
row_2	SLC30A1	NA	81	0.2800920605659485	0.07554777	Yes	
row_3	LMO2	NA	225	0.20678794384002686	0.086799756	Yes	
row_4	TNRC6B	NA	286	0.19282281398773193	0.100826785	Yes	
row_5	OPTN	NA	399	0.16944018006324768	0.110295884	Yes	
row_6	H1-0	NA	406	0.16849395632743835	0.124790885	Yes	
row_7	KAT2B	NA	484	0.1587139517068863	0.13500574	Yes	
row_8	CLIC2	NA	511	0.1556452065706253	0.14740941	Yes	
row_9	TENT5C	NA	715	0.13533364236354828	0.14949992	Yes	
row_10	ALDH6A1	NA	877	0.12435352057218552	0.1526513	Yes	
row_11	SIDT2	NA	913	0.1225421130657196	0.16171663	Yes	
row_12	CDC27	NA	1036	0.11668156832456589	0.16607454	Yes	
row_13	ALDH1L1	NA	1172	0.10988529771566391	0.16920957	Yes	
row_14	NR3C1	NA	1314	0.10447940975427628	0.17158107	Yes	
row_15	SYNJ1	NA	1401	0.10103266686201096	0.17630102	Yes	
row_16	E2F2	NA	1428	0.09984506666660309	0.18380861	Yes	
row_17	TRIM58	NA	1719	0.09078734368085861	0.17779732	Yes	
row_18	ICAM4	NA	1857	0.08622860908508301	0.17876025	Yes	
row_19	YPEL5	NA	1891	0.08536814898252487	0.1846602	Yes	
row_20	VEZF1	NA	1966	0.0835864469408989	0.18842772	Yes	
row_21	BMP2K	NA	1971	0.08337370306253433	0.1955504	Yes	
row_22	ARHGEF12	NA	2005	0.08253056555986404	0.20120136	Yes	
row_23	LRP10	NA	2035	0.08173859864473343	0.20697564	Yes	
row_24	H4C3	NA	2044	0.08143585175275803	0.2137355	Yes	
row_25	DAAM1	NA	2274	0.07572561502456665	0.20934269	Yes	
row_26	MOSPD1	NA	2335	0.07448773086071014	0.21298663	Yes	
row_27	AQP3	NA	2432	0.0724056139588356	0.21471277	Yes	
row_28	CCDC28A	NA	2464	0.07183791697025299	0.21952194	Yes	
row_29	RIOK3	NA	2493	0.07130946218967438	0.22442932	Yes	
row_30	CDR2	NA	2572	0.07005089521408081	0.22681642	Yes	
row_31	UROD	NA	2638	0.06848679482936859	0.22969282	Yes	
row_32	NEK7	NA	2658	0.06802938133478165	0.23474617	Yes	
row_33	AGPAT4	NA	2852	0.06428917497396469	0.23108502	Yes	
row_34	BTG2	NA	2941	0.06283283233642578	0.23235679	Yes	
row_35	CROCCP2	NA	2953	0.06258054077625275	0.23731762	Yes	
row_36	TMEM9B	NA	3141	0.05988422781229019	0.23355913	No	
row_37	NUDT4	NA	3579	0.053372304886579514	0.21717992	No	
row_38	SELENBP1	NA	3694	0.05187217891216278	0.21623684	No	
row_39	TRAK2	NA	3696	0.05185108259320259	0.22073822	No	
row_40	DCAF10	NA	3708	0.05162719637155533	0.22473797	No	
row_41	BPGM	NA	3748	0.051008451730012894	0.22733392	No	
row_42	HEBP1	NA	3766	0.050767216831445694	0.23096904	No	
row_43	MARCHF8	NA	3800	0.05036201700568199	0.23379745	No	
row_44	BTRC	NA	3927	0.04853487014770508	0.23198317	No	
row_45	MARCHF2	NA	4135	0.04600901901721954	0.22604327	No	
row_46	XK	NA	4168	0.04573564976453781	0.22851394	No	
row_47	BLVRB	NA	4335	0.04340994730591774	0.2243221	No	
row_48	ACP5	NA	4484	0.041697315871715546	0.22084753	No	
row_49	TSPAN5	NA	4513	0.041324615478515625	0.22312395	No	
row_50	ARL2BP	NA	4542	0.040943071246147156	0.2253669	No	
row_51	CIR1	NA	4565	0.040673770010471344	0.2278754	No	
row_52	ALAS2	NA	4576	0.04057299345731735	0.23095343	No	
row_53	TFDP2	NA	4595	0.040385354310274124	0.2336294	No	
row_54	TMCC2	NA	4667	0.039415035396814346	0.2336658	No	
row_55	FN3K	NA	4794	0.03804731369018555	0.23093131	No	
row_56	PPOX	NA	4859	0.037495408207178116	0.23113663	No	
row_57	RNF19A	NA	5006	0.03568628802895546	0.22723104	No	
row_58	P4HA2	NA	5201	0.03329562023282051	0.2208022	No	
row_59	PPP2R5B	NA	5207	0.03322679549455643	0.22347663	No	
row_60	SLC4A1	NA	5248	0.03268921375274658	0.224417	No	
row_61	CAST	NA	5328	0.03170299157500267	0.22339112	No	
row_62	MPP1	NA	5413	0.030811818316578865	0.22204606	No	
row_63	FBXO34	NA	5539	0.029515044763684273	0.21861112	No	
row_64	MINPP1	NA	5561	0.029243718832731247	0.22016491	No	
row_65	CPOX	NA	5676	0.028107771649956703	0.21713667	No	
row_66	HTRA2	NA	5726	0.027655810117721558	0.2172016	No	
row_67	MFHAS1	NA	6034	0.02450741082429886	0.20455536	No	
row_68	CCND3	NA	6039	0.024481290951371193	0.20651063	No	
row_69	FECH	NA	6211	0.022863809019327164	0.20027502	No	
row_70	TCEA1	NA	6260	0.022530734539031982	0.19993846	No	
row_71	MXI1	NA	6344	0.021817969158291817	0.19785245	No	
row_72	DCUN1D1	NA	6372	0.021539583802223206	0.19844107	No	
row_73	LAMP2	NA	6385	0.021433409303426743	0.19974333	No	
row_74	ATG4A	NA	6455	0.020830821245908737	0.19824547	No	
row_75	SDCBP	NA	6528	0.020161660388112068	0.1965443	No	
row_76	MAP2K3	NA	6591	0.019492145627737045	0.19526637	No	
row_77	GLRX5	NA	6666	0.018781282007694244	0.19334768	No	
row_78	ALAD	NA	6770	0.017986785620450974	0.18996157	No	
row_79	ATP6V0A1	NA	6843	0.017395243048667908	0.18801767	No	
row_80	BACH1	NA	7001	0.016004974022507668	0.181855	No	
row_81	SLC10A3	NA	7086	0.015223802998661995	0.17914219	No	
row_82	FBXO9	NA	7101	0.015143854543566704	0.1797962	No	
row_83	SLC11A2	NA	7154	0.014767402783036232	0.17858568	No	
row_84	PSMD9	NA	7244	0.01399697083979845	0.17552425	No	
row_85	ANK1	NA	7273	0.013809502124786377	0.1753864	No	
row_86	RAP1GAP	NA	7510	0.011797741055488586	0.16504699	No	
row_87	CLCN3	NA	7551	0.011396514251828194	0.16411905	No	
row_88	NCOA4	NA	7578	0.011115854606032372	0.16384126	No	
row_89	PICALM	NA	7621	0.010807267390191555	0.16276523	No	
row_90	KEL	NA	7715	0.010149789042770863	0.15917344	No	
row_91	RBM5	NA	7774	0.009670373983681202	0.1572265	No	
row_92	FOXO3	NA	7782	0.009587382897734642	0.15773036	No	
row_93	TOP1	NA	7867	0.008974118158221245	0.15446918	No	
row_94	ERMAP	NA	7880	0.008874145336449146	0.15466946	No	
row_95	GCLM	NA	7995	0.007886415347456932	0.14986694	No	
row_96	CTSB	NA	8143	0.0067517017014324665	0.14337432	No	
row_97	SEC14L1	NA	8310	0.005518176592886448	0.13585775	No	
row_98	FOXJ2	NA	8340	0.005248697940260172	0.13492055	No	
row_99	KLF3	NA	8639	0.0029949264135211706	0.12082051	No	
row_100	MKRN1	NA	8960	6.86977815348655E-4	0.10545761	No	
row_101	EZH1	NA	9128	-6.253698957152665E-4	0.09746351	No	
row_102	ADD2	NA	9223	-0.0012791783083230257	0.0930452	No	
row_103	RHCE	NA	9511	-0.0033795281779021025	0.079509065	No	
row_104	NNT	NA	9593	-0.003997291903942823	0.07595581	No	
row_105	KHNYN	NA	9716	-0.004888540133833885	0.070504665	No	
row_106	UCP2	NA	9769	-0.005268412176519632	0.068460666	No	
row_107	HBB	NA	9961	-0.006594088394194841	0.05983354	No	
row_108	CA2	NA	10029	-0.007086345460265875	0.05722609	No	
row_109	HBZ	NA	10076	-0.0074162776581943035	0.05565974	No	
row_110	MARK3	NA	10091	-0.007518392521888018	0.05564466	No	
row_111	CTSE	NA	10102	-0.007592475041747093	0.055828877	No	
row_112	MBOAT2	NA	10212	-0.008393345400691032	0.051311817	No	
row_113	RBM38	NA	10306	-0.009097986854612827	0.047627743	No	
row_114	SLC6A9	NA	10323	-0.009254234842956066	0.04766858	No	
row_115	DCAF11	NA	10335	-0.009318206459283829	0.047956016	No	
row_116	EPB41	NA	10340	-0.009345578961074352	0.048583236	No	
row_117	CAT	NA	10445	-0.01015235111117363	0.044461504	No	
row_118	USP15	NA	10551	-0.010935615748167038	0.040360298	No	
row_119	GAPVD1	NA	10583	-0.01117786392569542	0.03984696	No	
row_120	RAD23A	NA	10751	-0.012370037846267223	0.032883376	No	
row_121	GATA1	NA	10832	-0.012952740304172039	0.030164098	No	
row_122	SLC30A10	NA	10895	-0.013556502759456635	0.028365348	No	
row_123	LPIN2	NA	10920	-0.01370516512542963	0.028411144	No	
row_124	SLC25A38	NA	10927	-0.013754947111010551	0.02932886	No	
row_125	PRDX2	NA	11156	-0.015738626942038536	0.019720806	No	
row_126	PC	NA	11188	-0.015961509197950363	0.019627199	No	
row_127	HAGH	NA	11300	-0.016811570152640343	0.015752384	No	
row_128	TRIM10	NA	11320	-0.01693088747560978	0.016322203	No	
row_129	ADD1	NA	11528	-0.01861702650785446	0.007978854	No	
row_130	GMPS	NA	11708	-0.019969282671809196	0.001103683	No	
row_131	ADIPOR1	NA	11806	-0.02061592973768711	-0.0017625606	No	
row_132	HTATIP2	NA	11816	-0.02068915031850338	-3.8100686E-4	No	
row_133	SLC25A37	NA	12210	-0.02356324903666973	-0.017255079	No	
row_134	HDGF	NA	12314	-0.02436721883714199	-0.020081356	No	
row_135	FBXO7	NA	12568	-0.026150614023208618	-0.029980768	No	
row_136	CTNS	NA	12696	-0.027246670797467232	-0.03371113	No	
row_137	TNS1	NA	12760	-0.02777956612408161	-0.034310102	No	
row_138	HBD	NA	13116	-0.030806496739387512	-0.04871713	No	
row_139	EIF2AK1	NA	13147	-0.0311580840498209	-0.047429144	No	
row_140	GDE1	NA	13193	-0.03152754157781601	-0.0468317	No	
row_141	GYPB	NA	13622	-0.03524010628461838	-0.06436812	No	
row_142	PGLS	NA	13720	-0.03605760633945465	-0.065879464	No	
row_143	BLVRA	NA	13744	-0.0362413264811039	-0.063808076	No	
row_144	MOCOS	NA	14149	-0.03990962356328964	-0.07977804	No	
row_145	ACKR1	NA	14417	-0.04249194636940956	-0.08891837	No	
row_146	MYL4	NA	14606	-0.04447818920016289	-0.094076835	No	
row_147	MGST3	NA	14664	-0.04506838321685791	-0.09286965	No	
row_148	PDZK1IP1	NA	14686	-0.045273516327142715	-0.08990935	No	
row_149	ISCA1	NA	15019	-0.048774197697639465	-0.10163129	No	
row_150	KLF1	NA	15028	-0.0488281212747097	-0.097732544	No	
row_151	SMOX	NA	15128	-0.04979059845209122	-0.09813531	No	
row_152	BSG	NA	15277	-0.0513140931725502	-0.10076606	No	
row_153	NFE2L1	NA	15309	-0.051576558500528336	-0.0977347	No	
row_154	HMBS	NA	15344	-0.05191224440932274	-0.094818465	No	
row_155	FTCD	NA	15391	-0.052371371537446976	-0.09244032	No	
row_156	TFRC	NA	15394	-0.05241509526968002	-0.08793765	No	
row_157	RANBP10	NA	15623	-0.05466081202030182	-0.09413055	No	
row_158	DMTN	NA	15774	-0.056461356580257416	-0.09640607	No	
row_159	CA1	NA	16066	-0.05995612591505051	-0.10517078	No	
row_160	BNIP3L	NA	16098	-0.06032266840338707	-0.101372	No	
row_161	HBBP1	NA	16294	-0.06288154423236847	-0.10525308	No	
row_162	IGSF3	NA	16332	-0.06341971457004547	-0.10147174	No	
row_163	XPO7	NA	16419	-0.06450791656970978	-0.09995659	No	
row_164	SLC6A8	NA	16442	-0.06478362530469894	-0.095332615	No	
row_165	RHD	NA	16571	-0.06630630046129227	-0.09568396	No	
row_166	EPB42	NA	16574	-0.06634295731782913	-0.08995922	No	
row_167	PIGQ	NA	16627	-0.06715796887874603	-0.08657284	No	
row_168	RNF123	NA	16690	-0.06822243332862854	-0.083575025	No	
row_169	GCLC	NA	16712	-0.06852565705776215	-0.07857452	No	
row_170	UROS	NA	16715	-0.06855162233114243	-0.07265598	No	
row_171	GYPC	NA	16744	-0.06903985142707825	-0.06794774	No	
row_172	NARF	NA	16775	-0.06949561834335327	-0.0632959	No	
row_173	KDM7A	NA	16964	-0.07228188216686249	-0.066014774	No	
row_174	BCAM	NA	17183	-0.0753435268998146	-0.069910936	No	
row_175	ACSL6	NA	17234	-0.07610539346933365	-0.06564309	No	
row_176	EPOR	NA	17240	-0.07621672749519348	-0.059196576	No	
row_177	ABCG2	NA	17250	-0.07629961520433426	-0.05293559	No	
row_178	ENDOD1	NA	17366	-0.07794325798749924	-0.051639307	No	
row_179	UBAC1	NA	17416	-0.07880266010761261	-0.04708659	No	
row_180	TSPO2	NA	17438	-0.07921767979860306	-0.04114793	No	
row_181	GYPE	NA	17924	-0.08730441331863403	-0.056863315	No	
row_182	NFE2	NA	17986	-0.0883653461933136	-0.05204991	No	
row_183	RHAG	NA	18472	-0.09730752557516098	-0.06688759	No	
row_184	SNCA	NA	18749	-0.10284941643476486	-0.07116575	No	
row_185	SPTA1	NA	18811	-0.10396462678909302	-0.064983614	No	
row_186	OSBP2	NA	19143	-0.11296254396438599	-0.071025275	No	
row_187	ELL2	NA	19387	-0.11932322382926941	-0.07226745	No	
row_188	SLC66A2	NA	19424	-0.1205376535654068	-0.06342621	No	
row_189	HBQ1	NA	19509	-0.12314430624246597	-0.05666973	No	
row_190	TYR	NA	19522	-0.12363968044519424	-0.046399567	No	
row_191	SLC2A1	NA	19637	-0.12822456657886505	-0.04064325	No	
row_192	GYPA	NA	19648	-0.12857691943645477	-0.029843485	No	
row_193	RCL1	NA	19816	-0.13505969941616058	-0.026041895	No	
row_194	TAL1	NA	19866	-0.137529194355011	-0.01633633	No	
row_195	C3	NA	20044	-0.14552776515483856	-0.012098213	No	
row_196	SPTB	NA	20117	-0.14847572147846222	-0.0025407048	No	
row_197	AHSP	NA	20203	-0.15442217886447906	0.006911997	No	
row_198	ABCB6	NA	20223	-0.1557629406452179	0.019663371	No	
row_199	SLC22A4	NA	20443	-0.17304493486881256	0.024291638	No	
