NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MXD1	NA	202	0.21349304914474487	0.0054305787	No	
row_1	NFKBIZ	NA	273	0.195517897605896	0.015946003	No	
row_2	ITGA6	NA	300	0.18858593702316284	0.028089581	No	
row_3	GADD45B	NA	316	0.1828605979681015	0.040356595	No	
row_4	SPP1	NA	442	0.16451434791088104	0.046018876	No	
row_5	LTB	NA	461	0.1622108668088913	0.0566744	No	
row_6	LRIG1	NA	751	0.1323174238204956	0.0521455	No	
row_7	MYO1C	NA	767	0.13124240934848785	0.060745694	No	
row_8	ETFBKMT	NA	996	0.11830664426088333	0.058161408	No	
row_9	NRP1	NA	1232	0.10773351043462753	0.054488666	No	
row_10	SOCS1	NA	1263	0.1062876284122467	0.06059321	No	
row_11	KLF6	NA	1392	0.10135334730148315	0.061624113	No	
row_12	SNX14	NA	1829	0.08699899166822433	0.046791233	No	
row_13	SELP	NA	1880	0.08559352904558182	0.05046182	No	
row_14	RGS16	NA	1956	0.08390506356954575	0.052807584	No	
row_15	CYFIP1	NA	1959	0.08379562944173813	0.058663815	No	
row_16	PLPP1	NA	1988	0.08280158042907715	0.06319636	No	
row_17	NCOA3	NA	2061	0.08112473040819168	0.0654892	No	
row_18	PTCH1	NA	2217	0.07692986726760864	0.06348386	No	
row_19	TTC39B	NA	2275	0.07572267949581146	0.06611588	No	
row_20	ABCB1	NA	2399	0.07293447852134705	0.06536896	No	
row_21	MAFF	NA	2479	0.07163652032613754	0.06665042	No	
row_22	CDKN1C	NA	2616	0.06901229918003082	0.064998336	No	
row_23	SPRED2	NA	2661	0.06794199347496033	0.06770418	No	
row_24	NT5E	NA	2790	0.06560719013214111	0.06619576	No	
row_25	RABGAP1L	NA	2907	0.06349532306194305	0.065115675	No	
row_26	GUCY1B1	NA	2909	0.06343383342027664	0.069573656	No	
row_27	FAM126B	NA	2978	0.06224813312292099	0.07071833	No	
row_28	ALCAM	NA	3016	0.06174783036112785	0.07332152	No	
row_29	SHE	NA	3028	0.061503149569034576	0.077160396	No	
row_30	TWSG1	NA	3043	0.061187900602817535	0.080832295	No	
row_31	BMPR2	NA	3170	0.05946199223399162	0.07898374	No	
row_32	POU2F1	NA	3404	0.05581950396299362	0.07171955	No	
row_33	IL10RA	NA	3581	0.05335259065032005	0.06702724	No	
row_34	IFNGR1	NA	3746	0.05104534327983856	0.06274938	No	
row_35	RORA	NA	3972	0.04790971428155899	0.055308864	No	
row_36	BCL2L1	NA	4153	0.04581815004348755	0.049888548	No	
row_37	IGF2R	NA	4157	0.04579874873161316	0.052997384	No	
row_38	ADAM19	NA	4210	0.045068733394145966	0.053692807	No	
row_39	LCLAT1	NA	4665	0.0394258014857769	0.03461294	No	
row_40	ETV4	NA	4816	0.037899620831012726	0.030075965	No	
row_41	SNX9	NA	4834	0.037747349590063095	0.03193812	No	
row_42	RHOB	NA	4937	0.036534473299980164	0.029617537	No	
row_43	CAPN3	NA	5033	0.03526518493890762	0.027544148	No	
row_44	SERPINB6	NA	5086	0.03466083109378815	0.027500218	No	
row_45	GABARAPL1	NA	5106	0.034415192902088165	0.029029278	No	
row_46	BCL2	NA	5200	0.03330301493406296	0.026912892	No	
row_47	CASP3	NA	5214	0.03316253796219826	0.028642137	No	
row_48	PHTF2	NA	5276	0.03237396106123924	0.028001998	No	
row_49	PLAGL1	NA	5333	0.0316336527466774	0.027550245	No	
row_50	SCN9A	NA	5391	0.031040556728839874	0.027008165	No	
row_51	ARL4A	NA	5401	0.030915718525648117	0.028770579	No	
row_52	NCS1	NA	5404	0.03090386837720871	0.03086952	No	
row_53	RRAGD	NA	5429	0.030676232650876045	0.031891998	No	
row_54	TNFSF11	NA	5522	0.02972828783094883	0.029569868	No	
row_55	TNFRSF1B	NA	5596	0.028864093124866486	0.028102055	No	
row_56	CCR4	NA	5937	0.025682227686047554	0.013540123	No	
row_57	CCND3	NA	6039	0.024481290951371193	0.010411506	No	
row_58	F2RL2	NA	6048	0.02437395043671131	0.011757406	No	
row_59	IL1RL1	NA	6082	0.024094056338071823	0.011878547	No	
row_60	SERPINC1	NA	6295	0.022213494405150414	0.0032391758	No	
row_61	ITGAV	NA	6299	0.02217097021639347	0.0046695583	No	
row_62	CST7	NA	7014	0.01587783545255661	-0.028613817	No	
row_63	PLSCR1	NA	7044	0.015588087029755116	-0.028904138	No	
row_64	XBP1	NA	7050	0.015544047579169273	-0.028040905	No	
row_65	CDC42SE2	NA	7094	0.015184096992015839	-0.029034656	No	
row_66	TNFRSF21	NA	7337	0.0133848050609231	-0.039747044	No	
row_67	SWAP70	NA	7406	0.012704978697001934	-0.042121783	No	
row_68	ITGAE	NA	7501	0.011936197057366371	-0.045804206	No	
row_69	SLC39A8	NA	7667	0.010453649796545506	-0.053013798	No	
row_70	APLP1	NA	7700	0.010255513712763786	-0.053827513	No	
row_71	PTGER2	NA	8099	0.0071294489316642284	-0.0725027	No	
row_72	GPR83	NA	8108	0.007034732960164547	-0.07238854	No	
row_73	P2RX4	NA	8555	0.003487491048872471	-0.093635805	No	
row_74	HUWE1	NA	8604	0.0032531481701880693	-0.09571807	No	
row_75	RHOH	NA	8660	0.00282201636582613	-0.098168336	No	
row_76	NDRG1	NA	8742	0.0021878727711737156	-0.101916716	No	
row_77	NFIL3	NA	8857	0.0013802925823256373	-0.1073129	No	
row_78	CXCL10	NA	8891	0.0011277612065896392	-0.10882323	No	
row_79	DRC1	NA	9153	-7.863239152356982E-4	-0.12134629	No	
row_80	PLIN2	NA	9287	-0.0017100638942793012	-0.12763476	No	
row_81	IL2RA	NA	9416	-0.002614679280668497	-0.133618	No	
row_82	CD86	NA	9857	-0.0058862194418907166	-0.15440568	No	
row_83	MAPKAPK2	NA	9993	-0.006823016796261072	-0.16042733	No	
row_84	CA2	NA	10029	-0.007086345460265875	-0.16161077	No	
row_85	PRNP	NA	10276	-0.008840866386890411	-0.17283873	No	
row_86	GALM	NA	10313	-0.009159772656857967	-0.17392308	No	
row_87	TNFRSF9	NA	10397	-0.009740373119711876	-0.17723133	No	
row_88	PIM1	NA	10643	-0.011608895845711231	-0.18821447	No	
row_89	HIPK2	NA	10740	-0.012257064692676067	-0.19197048	No	
row_90	GATA1	NA	10832	-0.012952740304172039	-0.1954361	No	
row_91	AHR	NA	10848	-0.013117051683366299	-0.19522724	No	
row_92	TGM2	NA	10868	-0.0133522879332304	-0.19519442	No	
