NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TXNIP	NA	65	0.29297059774398804	0.05082238	No	
row_1	NCOA7	NA	1179	0.10972810536623001	0.017646035	No	
row_2	EPSTI1	NA	1884	0.08552578836679459	-3.7091074E-4	No	
row_3	ELF1	NA	2340	0.07439199090003967	-0.008495863	No	
row_4	CCRL2	NA	3000	0.06189076229929924	-0.028706158	No	
row_5	RIPK2	NA	3651	0.05241355299949646	-0.0502297	No	
row_6	IL15	NA	3794	0.050414469093084335	-0.047757957	No	
row_7	TMEM140	NA	3809	0.05024931579828262	-0.039177828	No	
row_8	IL7	NA	3936	0.048368655145168304	-0.036315396	No	
row_9	DDX60	NA	4022	0.047279324382543564	-0.031687196	No	
row_10	IFIT2	NA	4073	0.04675032198429108	-0.025477814	No	
row_11	HELZ2	NA	4185	0.04553401097655296	-0.022417888	No	
row_12	STAT2	NA	4366	0.04307995364069939	-0.023118982	No	
row_13	MX1	NA	4451	0.04196922853589058	-0.019420478	No	
row_14	IRF9	NA	4475	0.041742950677871704	-0.012838118	No	
row_15	OAS1	NA	4835	0.037732161581516266	-0.02310853	No	
row_16	BATF2	NA	6003	0.024884089827537537	-0.07449558	No	
row_17	TRIM5	NA	6463	0.02077719196677208	-0.09268355	No	
row_18	SP110	NA	6526	0.020171597599983215	-0.09194318	No	
row_19	IRF7	NA	6971	0.016286971047520638	-0.11023848	No	
row_20	PLSCR1	NA	7044	0.015588087029755116	-0.110821575	No	
row_21	TENT5A	NA	7082	0.015254215337336063	-0.10978757	No	
row_22	NUB1	NA	7607	0.010892575606703758	-0.13291278	No	
row_23	SLC25A28	NA	7664	0.01048023160547018	-0.13366896	No	
row_24	TRAFD1	NA	7805	0.009422489441931248	-0.13864847	No	
row_25	TAP1	NA	8383	0.004868860822170973	-0.16542459	No	
row_26	WARS1	NA	8428	0.00444068294018507	-0.1667172	No	
row_27	B2M	NA	8659	0.0028233551420271397	-0.17722803	No	
row_28	MVB12A	NA	8711	0.0024105277843773365	-0.17923015	No	
row_29	CXCL10	NA	8891	0.0011277612065896392	-0.18760723	No	
row_30	OASL	NA	8912	9.609281551092863E-4	-0.1883895	No	
row_31	LAMP3	NA	8919	9.226297843270004E-4	-0.18850738	No	
row_32	IFIH1	NA	9001	3.458662540651858E-4	-0.19232841	No	
row_33	CASP8	NA	9007	3.029380168300122E-4	-0.19251244	No	
row_34	CD47	NA	9920	-0.006349562201648951	-0.2350823	No	
row_35	GBP2	NA	9986	-0.006789054721593857	-0.23694971	No	
row_36	IRF2	NA	10055	-0.007243288215249777	-0.23887736	No	
row_37	RTP4	NA	10382	-0.009626680985093117	-0.2527397	No	
row_38	IFI35	NA	10434	-0.010036121122539043	-0.25333783	No	
row_39	SAMD9	NA	10537	-0.010813943110406399	-0.2562387	No	
row_40	CMTR1	NA	10723	-0.01215671468526125	-0.26287296	No	
row_41	C1S	NA	11028	-0.014627957716584206	-0.2747594	No	
row_42	PSMB8	NA	11041	-0.014731239527463913	-0.2726227	No	
row_43	HERC6	NA	11139	-0.015564003959298134	-0.27440923	No	
row_44	DHX58	NA	11358	-0.01727999374270439	-0.28168288	No	
row_45	CASP1	NA	11625	-0.019350117072463036	-0.29087746	No	
row_46	TDRD7	NA	11795	-0.020504135638475418	-0.2952075	No	
row_47	IFIT3	NA	11820	-0.020698687061667442	-0.2925476	No	
row_48	ISG20	NA	11841	-0.02082892693579197	-0.28967193	No	
row_49	PSMB9	NA	11953	-0.02164524979889393	-0.29101023	No	
row_50	SAMD9L	NA	12226	-0.023673783987760544	-0.29969653	No	
row_51	TRIM26	NA	12342	-0.024548504501581192	-0.30069214	No	
row_52	IFITM2	NA	12547	-0.02595791406929493	-0.30569667	No	
row_53	PSME1	NA	12642	-0.026744017377495766	-0.3052809	No	
row_54	RSAD2	NA	12996	-0.029892468824982643	-0.31670696	No	
row_55	EIF2AK2	NA	13043	-0.030266128480434418	-0.3133407	No	
row_56	USP18	NA	13566	-0.03481756150722504	-0.3319651	No	
row_57	CNP	NA	13603	-0.035068608820438385	-0.32723504	No	
row_58	TRIM14	NA	13620	-0.035176120698451996	-0.321526	No	
row_59	PSME2	NA	13633	-0.03530062362551689	-0.31560218	No	
row_60	ADAR	NA	13682	-0.035717178136110306	-0.31132823	No	
row_61	HLA-C	NA	13760	-0.03635036200284958	-0.30832854	No	
row_62	PARP9	NA	14204	-0.04050550237298012	-0.3221169	No	
row_63	CXCL11	NA	14434	-0.04265539348125458	-0.32524619	No	
row_64	NMI	NA	14697	-0.04534520208835602	-0.3294629	No	
row_65	CMPK2	NA	14855	-0.04691239446401596	-0.3283553	No	
row_66	PSMA3	NA	14989	-0.04846818745136261	-0.32581028	No	
row_67	TRIM21	NA	15591	-0.05431639030575752	-0.34463346	No	
row_68	IFITM3	NA	15678	-0.0552850104868412	-0.33857927	No	
row_69	PNPT1	NA	16060	-0.05983908474445343	-0.3458346	No	
row_70	PARP14	NA	16357	-0.06381184607744217	-0.34828198	Yes	
row_71	CSF1	NA	16362	-0.06386134773492813	-0.3367161	Yes	
row_72	RNF31	NA	16534	-0.0658949464559555	-0.332785	Yes	
row_73	GMPR	NA	16619	-0.06698613613843918	-0.32448056	Yes	
row_74	IFITM1	NA	16725	-0.06873636692762375	-0.31686103	Yes	
row_75	LAP3	NA	16758	-0.06926779448986053	-0.30564263	Yes	
row_76	PARP12	NA	16893	-0.07132003456354141	-0.2989382	Yes	
row_77	TRIM25	NA	17749	-0.0841650515794754	-0.32444754	Yes	
row_78	UBE2L6	NA	18176	-0.09173878282308578	-0.3279879	Yes	
row_79	IFI30	NA	18229	-0.09257100522518158	-0.31343827	Yes	
row_80	IFI44	NA	18530	-0.09849691390991211	-0.3096915	Yes	
row_81	CD74	NA	18691	-0.10172085464000702	-0.29863682	Yes	
row_82	IFI44L	NA	18773	-0.10325154662132263	-0.28351158	Yes	
row_83	UBA7	NA	18933	-0.10678739845752716	-0.27147612	Yes	
row_84	BST2	NA	19240	-0.11561131477355957	-0.2648661	Yes	
row_85	SELL	NA	19498	-0.12280558794736862	-0.25458154	Yes	
row_86	PROCR	NA	19687	-0.1297961175441742	-0.23970073	Yes	
row_87	IRF1	NA	19706	-0.13061603903770447	-0.21651587	Yes	
row_88	MOV10	NA	19761	-0.13277298212051392	-0.19466043	Yes	
row_89	GBP4	NA	19872	-0.13770568370819092	-0.17458253	Yes	
row_90	IFI27	NA	19905	-0.13894832134246826	-0.15053502	Yes	
row_91	IL4R	NA	20182	-0.152890145778656	-0.1356227	Yes	
row_92	LGALS3BP	NA	20207	-0.1547190099954605	-0.10828792	Yes	
row_93	OGFR	NA	20331	-0.16300678253173828	-0.08417523	Yes	
row_94	ISG15	NA	20391	-0.16840925812721252	-0.05599847	Yes	
row_95	LPAR6	NA	20396	-0.1687062382698059	-0.025129272	Yes	
row_96	LY6E	NA	20890	-0.2797579765319824	0.0027338988	Yes	
