NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMPR1B	NA	91	0.2686498463153839	0.015684336	No	
row_1	PLAG1	NA	397	0.16974548995494843	0.0136660505	No	
row_2	ARPP21	NA	504	0.15633341670036316	0.02023661	No	
row_3	SGK1	NA	529	0.1529626101255417	0.030507341	No	
row_4	TFCP2L1	NA	540	0.15249477326869965	0.041417856	No	
row_5	SKIL	NA	589	0.14708401262760162	0.05009273	No	
row_6	FGFR3	NA	611	0.14547663927078247	0.059948795	No	
row_7	TENT5C	NA	715	0.13533364236354828	0.065095104	No	
row_8	COPZ2	NA	843	0.12581029534339905	0.06837326	No	
row_9	VPREB1	NA	933	0.12169962376356125	0.07317574	No	
row_10	CYP11B2	NA	1035	0.11670152842998505	0.077026494	No	
row_11	SLC16A7	NA	1046	0.11612113565206528	0.08521963	No	
row_12	EFHD1	NA	1071	0.11505655944347382	0.092658505	No	
row_13	SELENOP	NA	1116	0.11233703047037125	0.098930314	No	
row_14	YPEL1	NA	1389	0.10159558057785034	0.09341118	No	
row_15	CAMK1D	NA	1698	0.09126763790845871	0.08538544	No	
row_16	CACNA1F	NA	1842	0.08659441024065018	0.08496277	No	
row_17	EDN2	NA	1872	0.08586960285902023	0.08998019	No	
row_18	FSHB	NA	2156	0.07806302607059479	0.082172856	No	
row_19	ZBTB16	NA	2338	0.07445462793111801	0.07901184	No	
row_20	GP1BA	NA	2511	0.0710434764623642	0.07602975	No	
row_21	TGFB2	NA	2914	0.06333953142166138	0.061387245	No	
row_22	CALCB	NA	2917	0.06325280666351318	0.0660163	No	
row_23	BTG2	NA	2941	0.06283283233642578	0.06960188	No	
row_24	KRT13	NA	3029	0.06149084493517876	0.07000272	No	
row_25	BARD1	NA	3042	0.06120409443974495	0.07399677	No	
row_26	C5	NA	3065	0.060989364981651306	0.07749282	No	
row_27	SLC6A14	NA	3095	0.060601525008678436	0.08062254	No	
row_28	MACROH2A2	NA	3130	0.06013553962111473	0.08347646	No	
row_29	CALML5	NA	3428	0.055448099970817566	0.0733049	No	
row_30	ASB7	NA	3465	0.054923348128795624	0.075673044	No	
row_31	KCNQ2	NA	3555	0.053624678403139114	0.07538983	No	
row_32	EGF	NA	3716	0.05157212167978287	0.07153143	No	
row_33	KRT4	NA	3731	0.05127881467342377	0.0746876	No	
row_34	SLC12A3	NA	3916	0.048780493438243866	0.06946395	No	
row_35	CYP39A1	NA	3947	0.0482524111866951	0.07162291	No	
row_36	PDE6B	NA	3989	0.0476577952504158	0.07320729	No	
row_37	IFNG	NA	4076	0.04672948271036148	0.072553545	No	
row_38	EPHA5	NA	4247	0.04466201737523079	0.06769696	No	
row_39	ITIH3	NA	4329	0.04348328709602356	0.06704167	No	
row_40	STAG3	NA	4419	0.04234316945075989	0.06591565	No	
row_41	MX1	NA	4451	0.04196922853589058	0.06755701	No	
row_42	KMT2D	NA	4759	0.03833731636404991	0.05562519	No	
row_43	MYH7	NA	4842	0.03765197843313217	0.054486066	No	
row_44	KLHDC8A	NA	4950	0.03643934801220894	0.052051473	No	
row_45	UGT2B17	NA	5049	0.03507451340556145	0.049948674	No	
row_46	CHRNG	NA	5059	0.034995127469301224	0.05212931	No	
row_47	LGALS7	NA	5104	0.03445950895547867	0.0525831	No	
row_48	PDCD1	NA	5142	0.03405234217643738	0.053343836	No	
row_49	MSH5	NA	5185	0.03351505845785141	0.05382346	No	
row_50	THRB	NA	5405	0.030869318172335625	0.0455749	No	
row_51	COL2A1	NA	5546	0.02943004108965397	0.041026223	No	
row_52	GRID2	NA	5775	0.027176132425665855	0.032067996	No	
row_53	ALOX12B	NA	5820	0.02677292935550213	0.031947542	No	
row_54	P2RX6	NA	5835	0.02661934122443199	0.03326147	No	
row_55	INSL5	NA	6004	0.024881375953555107	0.027023513	No	
row_56	MTHFR	NA	6027	0.024620238691568375	0.02780253	No	
row_57	KLK7	NA	6079	0.02411007322371006	0.027145779	No	
row_58	VPS50	NA	6390	0.021381143480539322	0.013802626	No	
row_59	KCND1	NA	6603	0.01935536041855812	0.0050312523	No	
