NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNTRL	NA	200	0.21411193907260895	0.011453199	Yes	
row_1	CCDC88A	NA	341	0.17781169712543488	0.022222158	Yes	
row_2	NEK2	NA	457	0.1628635972738266	0.032723453	Yes	
row_3	CENPE	NA	547	0.152062326669693	0.043413784	Yes	
row_4	AURKA	NA	631	0.14323227107524872	0.053523436	Yes	
row_5	NDC80	NA	731	0.1341629922389984	0.06196855	Yes	
row_6	INCENP	NA	750	0.1323658674955368	0.07414043	Yes	
row_7	CDC27	NA	1036	0.11668156832456589	0.07189916	Yes	
row_8	TTK	NA	1067	0.11528260260820389	0.08180982	Yes	
row_9	BRCA2	NA	1074	0.11473368853330612	0.092823096	Yes	
row_10	PIF1	NA	1280	0.10549446940422058	0.09333538	Yes	
row_11	KIF23	NA	1310	0.10453969985246658	0.10223596	Yes	
row_12	CEP131	NA	1337	0.10358300060033798	0.11118687	Yes	
row_13	SASS6	NA	1560	0.09572746604681015	0.10991769	Yes	
row_14	PLK1	NA	1648	0.09287606179714203	0.11487396	Yes	
row_15	TRIO	NA	1687	0.09160863608121872	0.12206694	Yes	
row_16	CEP192	NA	1708	0.09098021686077118	0.13006552	Yes	
row_17	BIRC5	NA	1766	0.08922998607158661	0.13610846	Yes	
row_18	DLGAP5	NA	1798	0.08795852214097977	0.14327922	Yes	
row_19	KIF11	NA	1804	0.08778153359889984	0.15168564	Yes	
row_20	RACGAP1	NA	1834	0.08687279373407364	0.15884584	Yes	
row_21	ECT2	NA	1871	0.08591523766517639	0.16557434	Yes	
row_22	KIF2C	NA	1925	0.08481158316135406	0.17137481	Yes	
row_23	CCNB2	NA	2000	0.08258653432130814	0.17594399	Yes	
row_24	ARHGEF12	NA	2005	0.08253056555986404	0.18388131	Yes	
row_25	MID1IP1	NA	2049	0.08132656663656235	0.18982042	Yes	
row_26	RAB3GAP1	NA	2069	0.08102899044752121	0.1968869	Yes	
row_27	CDC42EP1	NA	2231	0.07668254524469376	0.19668151	Yes	
row_28	NUSAP1	NA	2281	0.07559763640165329	0.20176709	Yes	
row_29	LATS1	NA	2286	0.07543522119522095	0.20900545	Yes	
row_30	KIF15	NA	2395	0.0731317326426506	0.2110046	Yes	
row_31	NEDD9	NA	2423	0.07260453701019287	0.21685563	Yes	
row_32	PRC1	NA	2456	0.07196170836687088	0.22240235	Yes	
row_33	RASA2	NA	2469	0.07180389761924744	0.22889742	Yes	
row_34	KIF20B	NA	2538	0.0707634836435318	0.2325911	Yes	
row_35	STK38L	NA	2702	0.06721082329750061	0.23135625	Yes	
row_36	CEP57	NA	2759	0.06619869917631149	0.23517856	Yes	
row_37	WASL	NA	2839	0.06451764702796936	0.23772681	Yes	
row_38	ESPL1	NA	3054	0.06110633909702301	0.23343265	Yes	
row_39	SORBS2	NA	3057	0.06106702610850334	0.23935199	Yes	
row_40	CD2AP	NA	3059	0.061059772968292236	0.2453188	Yes	
row_41	RICTOR	NA	3062	0.06102802976965904	0.2512343	Yes	
row_42	TOP2A	NA	3098	0.0605505146086216	0.25551233	Yes	
row_43	BUB1	NA	3106	0.060462530702352524	0.26113114	Yes	
row_44	MARCKS	NA	3356	0.05635050684213638	0.25468165	Yes	
row_45	CENPF	NA	3413	0.05566800385713577	0.25746658	Yes	
row_46	FBXO5	NA	3523	0.05402175709605217	0.25753504	Yes	
row_47	CDK1	NA	3535	0.05391016602516174	0.26231557	Yes	
row_48	RANBP9	NA	3600	0.05309433490037918	0.26446143	Yes	
row_49	ALMS1	NA	3643	0.052564509212970734	0.26761538	Yes	
row_50	KPTN	NA	3666	0.05225205048918724	0.27170244	Yes	
row_51	TUBGCP3	NA	3715	0.051582593470811844	0.2744705	Yes	
row_52	KATNA1	NA	3764	0.050786711275577545	0.27716014	Yes	
row_53	KIF4A	NA	3906	0.04891055077314377	0.27518284	Yes	
row_54	ANLN	NA	4015	0.04739565774798393	0.27464673	Yes	
row_55	SMC4	NA	4032	0.047157663851976395	0.27852112	Yes	
row_56	CDK5RAP2	NA	4182	0.04556713625788689	0.27582887	Yes	
row_57	NCK1	NA	4207	0.045091819018125534	0.2791142	Yes	
row_58	ARFGEF1	NA	4391	0.04269825294613838	0.2745007	No	
row_59	CEP72	NA	4540	0.04099969193339348	0.2714067	No	
row_60	TPX2	NA	4841	0.03766051307320595	0.26065814	No	
row_61	ROCK1	NA	4855	0.0375308021903038	0.26372877	No	
row_62	ITSN1	NA	4948	0.036476168781518936	0.2628881	No	
