NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFRD1	NA	1625	0.0935884341597557	-0.06593681	No	
row_1	CDC20	NA	1779	0.08846510201692581	-0.061604965	No	
row_2	CCNA2	NA	3529	0.05396326631307602	-0.13876161	No	
row_3	EIF2S2	NA	3853	0.04955529049038887	-0.14777203	No	
row_4	PSMC6	NA	4527	0.04114573448896408	-0.17476432	No	
row_5	BUB3	NA	4669	0.03939703851938248	-0.17634699	No	
row_6	XPOT	NA	4689	0.0391835980117321	-0.17207782	No	
row_7	FAM120A	NA	5069	0.03490123152732849	-0.18572636	No	
row_8	CDK2	NA	5411	0.03082979843020439	-0.19808216	No	
row_9	USP1	NA	5768	0.02726498432457447	-0.21163264	No	
row_10	DEK	NA	6435	0.020953094586730003	-0.24095953	No	
row_11	COX5A	NA	6440	0.02091117575764656	-0.23838526	No	
row_12	RFC4	NA	6910	0.016842249780893326	-0.25876123	No	
row_13	IARS1	NA	7174	0.014595462940633297	-0.2695058	No	
row_14	TYMS	NA	7263	0.013869240880012512	-0.27191195	No	
row_15	EEF1B2	NA	7287	0.013731946237385273	-0.27120343	No	
row_16	DUT	NA	7490	0.012046223506331444	-0.2793453	No	
row_17	PSMA6	NA	7615	0.010840856470167637	-0.28388727	No	
row_18	SRSF3	NA	7835	0.009258074685931206	-0.29321745	No	
row_19	MRPS18B	NA	7956	0.00819304957985878	-0.297917	No	
row_20	TOMM70	NA	8026	0.0076064132153987885	-0.3002361	No	
row_21	KPNA2	NA	8028	0.007596645504236221	-0.2992791	No	
row_22	RRM1	NA	8134	0.006788216065615416	-0.30344158	No	
row_23	PSMD7	NA	8279	0.0057478961534798145	-0.30962142	No	
row_24	PTGES3	NA	8303	0.0055611878633499146	-0.30999407	No	
row_25	RPS6	NA	8366	0.00500909611582756	-0.3123195	No	
row_26	RPS3	NA	8398	0.004766352474689484	-0.31318292	No	
row_27	PRPS2	NA	8577	0.003377423854544759	-0.32131514	No	
row_28	PABPC1	NA	8585	0.003357465611770749	-0.32120824	No	
row_29	VDAC3	NA	8669	0.0027519487775862217	-0.32484448	No	
row_30	SYNCRIP	NA	8722	0.0023474274203181267	-0.32704014	No	
row_31	MAD2L1	NA	8755	0.0020746695809066296	-0.32830793	No	
