NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYH11	NA	76	0.2847379446029663	0.016181594	No	
row_1	HBEGF	NA	230	0.20571744441986084	0.02314471	No	
row_2	GADD45B	NA	316	0.1828605979681015	0.031792264	No	
row_3	MEF2A	NA	408	0.16814185678958893	0.039124817	No	
row_4	CHRNB1	NA	635	0.14262989163398743	0.038172685	No	
row_5	MYL7	NA	717	0.1352493166923523	0.043694794	No	
row_6	MYO1C	NA	767	0.13124240934848785	0.05047996	No	
row_7	STC2	NA	831	0.1263136863708496	0.05624686	No	
row_8	KIFC3	NA	1084	0.11409150809049606	0.052052632	No	
row_9	GPX3	NA	1291	0.10525711625814438	0.04945978	No	
row_10	IFRD1	NA	1625	0.0935884341597557	0.039932616	No	
row_11	FOXO4	NA	1732	0.09034091234207153	0.041119933	No	
row_12	CAV3	NA	1763	0.08931177109479904	0.045898527	No	
row_13	DAPK2	NA	1938	0.08443015813827515	0.043396473	No	
row_14	ITGB4	NA	2105	0.07953082025051117	0.04093854	No	
row_15	SGCG	NA	2233	0.07661816477775574	0.040157314	No	
row_16	MEF2D	NA	2285	0.07544844597578049	0.042957567	No	
row_17	APLNR	NA	2362	0.07405620813369751	0.044455856	No	
row_18	KCNH1	NA	2872	0.06391105055809021	0.024377603	No	
row_19	FXYD1	NA	2890	0.06370960175991058	0.02799844	No	
row_20	CNN3	NA	2910	0.06339078396558762	0.031500664	No	
row_21	MYH1	NA	3174	0.059350937604904175	0.02296116	No	
row_22	SPARC	NA	3281	0.05768098682165146	0.021872267	No	
row_23	MYF6	NA	3402	0.05582133308053017	0.019979004	No	
row_24	IGFBP7	NA	4012	0.04744301736354828	-0.0060667186	No	
row_25	PLXNB2	NA	4122	0.04618881642818451	-0.008101142	No	
row_26	CACNA1H	NA	4367	0.04305172339081764	-0.016860854	No	
row_27	MYBPH	NA	4431	0.04219934344291687	-0.01695624	No	
row_28	ACHE	NA	4620	0.040058933198451996	-0.023225477	No	
row_29	MYH7	NA	4842	0.03765197843313217	-0.03125298	No	
row_30	CHRNG	NA	5059	0.034995127469301224	-0.039224662	No	
row_31	HRC	NA	5060	0.034975141286849976	-0.036787096	No	
row_32	ITGB5	NA	5091	0.03461179509758949	-0.035820775	No	
row_33	MYH2	NA	5173	0.03371657803654671	-0.037374917	No	
row_34	CTF1	NA	5696	0.027939602732658386	-0.06058674	No	
row_35	NCAM1	NA	5800	0.026891052722930908	-0.06367692	No	
row_36	PTP4A3	NA	6061	0.024223441258072853	-0.074520014	No	
row_37	COL15A1	NA	6136	0.02348306216299534	-0.07644999	No	
row_38	PVALB	NA	6203	0.022962363436818123	-0.078030676	No	
row_39	EPHB3	NA	6361	0.021655619144439697	-0.08408839	No	
