NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ST3GAL6	NA	777	0.1301657259464264	0.012075254	No	
row_1	WNT5A	NA	1297	0.10507681965827942	0.026997866	No	
row_2	FZD5	NA	1316	0.10442498326301575	0.065626934	No	
row_3	MAML2	NA	1508	0.09735787659883499	0.09331231	No	
row_4	TCF7L2	NA	2771	0.06600553542375565	0.057936564	No	
row_5	FZD7	NA	3559	0.05360536277294159	0.040581428	No	
row_6	DLL1	NA	4630	0.03996124118566513	0.004536276	No	
row_7	PSENEN	NA	5495	0.029999321326613426	-0.025427183	No	
row_8	CCND1	NA	7374	0.01304983627051115	-0.11027994	No	
row_9	APH1A	NA	8889	0.0011555457022041082	-0.18222773	No	
row_10	FBXW11	NA	9004	3.2744480995461345E-4	-0.18755428	No	
row_11	SAP30	NA	10260	-0.008701951242983341	-0.24426544	No	
row_12	SKP1	NA	10393	-0.00971410796046257	-0.24690288	No	
row_13	FZD1	NA	10770	-0.012467688880860806	-0.26016474	No	
row_14	PSEN2	NA	10825	-0.012930906377732754	-0.2578565	No	
row_15	DTX2	NA	11009	-0.014415913261473179	-0.2611542	No	
row_16	DTX4	NA	11443	-0.017863653600215912	-0.2751007	No	
row_17	PPARD	NA	12160	-0.023180881515145302	-0.3005667	No	
row_18	RBX1	NA	12404	-0.025001762434840202	-0.30272987	No	
row_19	NOTCH1	NA	12544	-0.025950642302632332	-0.29956195	No	
row_20	NOTCH2	NA	14173	-0.04020484536886215	-0.3621931	No	
row_21	WNT2	NA	15373	-0.05213790759444237	-0.39980102	No	
row_22	PRKCA	NA	16753	-0.0691719576716423	-0.43957314	No	
row_23	LFNG	NA	17439	-0.07921864837408066	-0.44236565	No	
row_24	HEYL	NA	18268	-0.093231700360775	-0.44669577	Yes	
row_25	CUL1	NA	18810	-0.10394056886434555	-0.4332547	Yes	
row_26	NOTCH3	NA	19569	-0.12565606832504272	-0.42197642	Yes	
row_27	JAG1	NA	20184	-0.15295110642910004	-0.3934915	Yes	
row_28	KAT2A	NA	20274	-0.15930919349193573	-0.3375018	Yes	
row_29	ARRB1	NA	20765	-0.21722204983234406	-0.27878353	Yes	
row_30	HES1	NA	20889	-0.2787601947784424	-0.17924742	Yes	
row_31	DTX1	NA	20944	-0.48120176792144775	1.4347151E-4	Yes	
