NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH6A1	NA	877	0.12435352057218552	-0.023690099	No	
row_1	MTRF1	NA	1968	0.08343946933746338	-0.063757844	No	
row_2	ATP1B1	NA	2757	0.06620889902114868	-0.09184472	No	
row_3	PHYH	NA	3484	0.05456225946545601	-0.11868338	No	
row_4	ECI1	NA	3631	0.052722349762916565	-0.11784375	No	
row_5	ETFDH	NA	4281	0.04416382685303688	-0.1425248	No	
row_6	RETSAT	NA	4763	0.03829393535852432	-0.15998594	No	
row_7	ATP6V1H	NA	4951	0.03642219677567482	-0.16355737	No	
row_8	ABCB7	NA	4999	0.035808857530355453	-0.16047311	No	
row_9	SUCLG1	NA	5541	0.029470112174749374	-0.18214415	No	
row_10	HTRA2	NA	5726	0.027655810117721558	-0.18688059	No	
row_11	CYB5A	NA	5895	0.026038506999611855	-0.19108751	No	
row_12	TIMM9	NA	5920	0.025798775255680084	-0.18839015	No	
row_13	TCIRG1	NA	5967	0.025302935391664505	-0.18682715	No	
row_14	FDX1	NA	5986	0.02508929744362831	-0.18394661	No	
row_15	ATP6V1C1	NA	6285	0.022293152287602425	-0.1949784	No	
row_16	COX5A	NA	6440	0.02091117575764656	-0.19927655	No	
row_17	SLC25A20	NA	6622	0.019226446747779846	-0.20512766	No	
row_18	MPC1	NA	6707	0.018460189923644066	-0.2064183	No	
row_19	NDUFA5	NA	6711	0.018410298973321915	-0.2038126	No	
row_20	COX8A	NA	6912	0.016833433881402016	-0.21093689	No	
row_21	PDP1	NA	6930	0.016550825908780098	-0.20928371	No	
row_22	UQCRB	NA	7212	0.014319762587547302	-0.22068731	No	
row_23	NDUFS2	NA	7444	0.012448146939277649	-0.22996077	No	
row_24	RHOT1	NA	7461	0.012287846766412258	-0.22889623	No	
row_25	NDUFS4	NA	7695	0.010280079208314419	-0.23858996	No	
row_26	SDHD	NA	7751	0.00983352679759264	-0.23977168	No	
row_27	ISCU	NA	8003	0.00782400369644165	-0.25069982	No	
row_28	TOMM70	NA	8026	0.0076064132153987885	-0.2506238	No	
row_29	ETFA	NA	8324	0.005409898702055216	-0.26412958	No	
row_30	ATP6V1D	NA	8527	0.003685352858155966	-0.27331442	No	
row_31	ACADM	NA	8542	0.0035878706257790327	-0.27345318	No	
row_32	COX15	NA	8620	0.0031575390603393316	-0.27669248	No	
row_33	VDAC3	NA	8669	0.0027519487775862217	-0.27859476	No	
row_34	COX11	NA	8672	0.00272709340788424	-0.27828375	No	
row_35	PDHX	NA	8678	0.0026836050674319267	-0.27812383	No	
row_36	ATP6V1G1	NA	8693	0.002592765958979726	-0.2784112	No	
row_37	COX6A1	NA	8794	0.0018715319456532598	-0.28295115	No	
row_38	MRPS22	NA	8796	0.0018563271733000875	-0.28272203	No	
row_39	IDH3A	NA	8865	0.001314088818617165	-0.285803	No	
row_40	NDUFB8	NA	8908	9.825120214372873E-4	-0.2876804	No	
row_41	UQCRFS1	NA	8930	8.196995477192104E-4	-0.28857005	No	
row_42	GLUD1	NA	8974	6.089900271035731E-4	-0.29055145	No	
row_43	NDUFS1	NA	8981	5.338427145034075E-4	-0.29076087	No	
row_44	COX6C	NA	9247	-0.0014524178113788366	-0.3033156	No	
row_45	ATP5PB	NA	9335	-0.0020214992109686136	-0.30720657	No	
