NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAFB	NA	28	0.37174084782600403	0.12532684	Yes	
row_1	LMO2	NA	225	0.20678794384002686	0.18641284	Yes	
row_2	PAX6	NA	252	0.20225608348846436	0.2540855	Yes	
row_3	PCSK1	NA	1240	0.10746128857135773	0.2434948	No	
row_4	GCK	NA	1704	0.09111253917217255	0.2523956	No	
row_5	STXBP1	NA	2758	0.06619921326637268	0.22458866	No	
row_6	AKT3	NA	3002	0.061889149248600006	0.23405427	No	
row_7	SEC11A	NA	3115	0.060311656445264816	0.24924791	No	
row_8	FOXA2	NA	7541	0.011496069841086864	0.041523572	No	
row_9	VDR	NA	7719	0.010076548904180527	0.036491368	No	
row_10	FOXO1	NA	7836	0.009255311451852322	0.034096885	No	
row_11	SRP9	NA	9235	-0.0013884135987609625	-0.032294393	No	
row_12	SPCS1	NA	9756	-0.00515161594375968	-0.055409905	No	
row_13	NKX2-2	NA	10406	-0.009819742292165756	-0.0831047	No	
row_14	CHGA	NA	10899	-0.013569258153438568	-0.10201281	No	
row_15	SRP14	NA	11429	-0.017734797671437263	-0.12127122	No	
row_16	NEUROG3	NA	11523	-0.018584012985229492	-0.11938701	No	
row_17	ELP4	NA	11776	-0.020365213975310326	-0.124500625	No	
row_18	PDX1	NA	12557	-0.02600841596722603	-0.15294488	No	
row_19	NKX6-1	NA	12669	-0.02696043998003006	-0.14906742	No	
row_20	SCGN	NA	14169	-0.04018314182758331	-0.20707056	No	
row_21	HNF1A	NA	14359	-0.04191788658499718	-0.20182717	No	
row_22	SST	NA	15174	-0.050191644579172134	-0.22365746	No	
row_23	ISL1	NA	15641	-0.054821643978357315	-0.2272658	No	
row_24	IAPP	NA	15662	-0.05511477217078209	-0.2094427	No	
row_25	DPP4	NA	16035	-0.05958994850516319	-0.20693041	No	
row_26	SRPRB	NA	16199	-0.06167716905474663	-0.19371074	No	
row_27	GCG	NA	16238	-0.06211533769965172	-0.17436321	No	
row_28	PKLR	NA	16412	-0.06439252942800522	-0.16069661	No	
row_29	G6PC2	NA	16724	-0.06870004534721375	-0.15216261	No	
row_30	PCSK2	NA	17518	-0.08043292164802551	-0.16268417	No	
row_31	DCX	NA	17581	-0.08135022968053818	-0.13793048	No	
row_32	PAX4	NA	17892	-0.0867224708199501	-0.12320774	No	
row_33	SLC2A2	NA	18056	-0.08959758281707764	-0.100474544	No	
row_34	NEUROD1	NA	18426	-0.09631982445716858	-0.08530352	No	
row_35	SYT13	NA	18718	-0.10222084820270538	-0.064391166	No	
row_36	ABCC8	NA	18748	-0.1028420552611351	-0.030736053	No	
row_37	INSM1	NA	19225	-0.11510737240314484	-0.014281065	No	
row_38	PAK3	NA	19273	-0.11643597483634949	0.02314509	No	
row_39	INS	NA	20370	-0.16690866649150848	0.027596999	No	
