NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPX3	NA	1291	0.10525711625814438	-0.022143055	No	
row_1	MPO	NA	1329	0.10383986681699753	0.015183153	No	
row_2	CDKN2D	NA	2649	0.0682893916964531	-0.022218352	No	
row_3	HHEX	NA	5615	0.028589705005288124	-0.15332688	No	
row_4	IPCEF1	NA	7059	0.015471036545932293	-0.21654828	No	
row_5	ERCC2	NA	7208	0.014365400187671185	-0.21822125	No	
row_6	STK25	NA	7439	0.01246376521885395	-0.22453384	No	
row_7	NDUFS2	NA	7444	0.012448146939277649	-0.2200384	No	
row_8	GCLM	NA	7995	0.007886415347456932	-0.24338615	No	
row_9	SELENOS	NA	9151	-7.72100524045527E-4	-0.29836124	No	
row_10	MGST1	NA	9228	-0.0013105191756039858	-0.30150437	No	
row_11	SCAF4	NA	10154	-0.00802809838205576	-0.3427422	No	
row_12	PRNP	NA	10276	-0.008840866386890411	-0.34520328	No	
row_13	CAT	NA	10445	-0.01015235111117363	-0.3494195	No	
row_14	PRDX6	NA	10733	-0.012204593047499657	-0.35855708	No	
row_15	NDUFA6	NA	10789	-0.012687597423791885	-0.35641178	No	
row_16	PRDX2	NA	11156	-0.015738626942038536	-0.36799887	No	
row_17	TXN	NA	11294	-0.016750352457165718	-0.36824754	No	
row_18	ABCC1	NA	11460	-0.017979826778173447	-0.36937308	No	
row_19	GLRX	NA	12128	-0.02294677123427391	-0.39264882	No	
row_20	SOD2	NA	12361	-0.024717627093195915	-0.39444342	No	
row_21	OXSR1	NA	12458	-0.025354905053973198	-0.3894906	No	
row_22	NDUFB4	NA	12824	-0.028198059648275375	-0.39633873	No	
row_23	SOD1	NA	13108	-0.030763642862439156	-0.39829728	Yes	
row_24	FTL	NA	13168	-0.031321413815021515	-0.3893276	Yes	
row_25	JUNB	NA	13440	-0.03370707482099533	-0.3896037	Yes	
row_26	LAMTOR5	NA	13501	-0.03425042703747749	-0.37957907	Yes	
row_27	TXNRD2	NA	13884	-0.037497781217098236	-0.3837392	Yes	
row_28	GSR	NA	14007	-0.0386664979159832	-0.37501854	Yes	
row_29	ATOX1	NA	14055	-0.03906518593430519	-0.36255905	Yes	
row_30	FES	NA	14560	-0.04398515447974205	-0.37011424	Yes	
row_31	TXNRD1	NA	14678	-0.04518447816371918	-0.35870022	Yes	
row_32	MSRA	NA	14866	-0.046989407390356064	-0.3499561	Yes	
row_33	GPX4	NA	15209	-0.05063524842262268	-0.3472559	Yes	
row_34	EGLN2	NA	15418	-0.05266662687063217	-0.33737907	Yes	
row_35	GLRX2	NA	15811	-0.05683127045631409	-0.3347385	Yes	
row_36	SBNO2	NA	16113	-0.06048016622662544	-0.32636976	Yes	
row_37	PRDX4	NA	16384	-0.06408841907978058	-0.3151592	Yes	
row_38	GCLC	NA	16712	-0.06852565705776215	-0.30500534	Yes	
row_39	SRXN1	NA	16734	-0.06888972967863083	-0.2800726	Yes	
row_40	PRDX1	NA	17012	-0.07300833612680435	-0.26583853	Yes	
row_41	PTPA	NA	17053	-0.07358350604772568	-0.24004766	Yes	
row_42	NQO1	NA	17138	-0.0746912807226181	-0.21594507	Yes	
row_43	PDLIM1	NA	19656	-0.1287873089313507	-0.2878919	Yes	
row_44	PFKP	NA	19931	-0.1400078386068344	-0.24828838	Yes	
row_45	MBP	NA	19940	-0.14042001962661743	-0.19580178	Yes	
row_46	G6PD	NA	20010	-0.14416812360286713	-0.1448228	Yes	
row_47	HMOX2	NA	20160	-0.15166591107845306	-0.094848774	Yes	
row_48	LSP1	NA	20932	-0.35180628299713135	7.176881E-4	Yes	
