NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACVR1	NA	587	0.1472141146659851	0.024641488	Yes	
row_1	SKIL	NA	589	0.14708401262760162	0.0772827	Yes	
row_2	ID2	NA	619	0.14447744190692902	0.12765008	Yes	
row_3	TJP1	NA	626	0.1436907798051834	0.17883645	Yes	
row_4	NOG	NA	753	0.132249116897583	0.22018085	Yes	
row_5	SMAD7	NA	1406	0.10091817378997803	0.22512707	Yes	
row_6	XIAP	NA	2530	0.07082583755254745	0.19675113	Yes	
row_7	CDKN1C	NA	2616	0.06901229918003082	0.21740486	Yes	
row_8	BMPR2	NA	3170	0.05946199223399162	0.21223865	Yes	
row_9	PMEPA1	NA	3300	0.05740724131464958	0.22662932	Yes	
row_10	BCAR3	NA	4974	0.03612802177667618	0.15950042	No	
row_11	PPM1A	NA	5127	0.03423481434583664	0.16448934	No	
row_12	SMAD6	NA	5202	0.033288732171058655	0.17287248	No	
row_13	ARID4B	NA	5641	0.028419245034456253	0.16209	No	
row_14	RAB31	NA	5813	0.02681039087474346	0.16350996	No	
row_15	FNTA	NA	5985	0.025118419900536537	0.16432382	No	
row_16	APC	NA	6616	0.019266150891780853	0.14107323	No	
row_17	CTNNB1	NA	6714	0.018375469371676445	0.14301328	No	
row_18	SMURF2	NA	7012	0.015913188457489014	0.13449918	No	
row_19	NCOR2	NA	7326	0.013448779471218586	0.12433647	No	
row_20	SMAD3	NA	8091	0.007166322320699692	0.0903381	No	
row_21	TGFBR1	NA	8518	0.0037364023737609386	0.071287945	No	
row_22	THBS1	NA	8827	0.001631096238270402	0.05713117	No	
row_23	RHOA	NA	8874	0.0012660709908232093	0.05538312	No	
row_24	UBE2D3	NA	10235	-0.008508600294589996	-0.0066593494	No	
row_25	BMPR1A	NA	10245	-0.008569173514842987	-0.0040204087	No	
row_26	MAP3K7	NA	10610	-0.011333262547850609	-0.017381828	No	
row_27	SERPINE1	NA	10634	-0.011532817035913467	-0.014351287	No	
row_28	LEFTY2	NA	10645	-0.01161505188792944	-0.010669099	No	
row_29	HIPK2	NA	10740	-0.012257064692676067	-0.010777219	No	
row_30	WWTR1	NA	11639	-0.019498735666275024	-0.046771143	No	
row_31	SMURF1	NA	12457	-0.025344979017972946	-0.07679409	No	
row_32	CDH1	NA	12643	-0.026751302182674408	-0.07606534	No	
row_33	TRIM33	NA	12989	-0.029808904975652695	-0.08189898	No	
row_34	IFNGR2	NA	13078	-0.030569003894925117	-0.07516016	No	
row_35	HDAC1	NA	13086	-0.030627651140093803	-0.064523615	No	
row_36	SLC20A1	NA	13200	-0.03157074749469757	-0.058622453	No	
row_37	JUNB	NA	13440	-0.03370707482099533	-0.05798645	No	
row_38	PPP1R15A	NA	13778	-0.03653215244412422	-0.061028775	No	
row_39	SPTBN1	NA	13880	-0.03748521953821182	-0.052434582	No	
row_40	SMAD1	NA	14429	-0.04260772839188576	-0.063399084	No	
row_41	KLF10	NA	14699	-0.045365553349256516	-0.060022548	No	
row_42	CDK9	NA	14795	-0.04639807716012001	-0.047948387	No	
row_43	FKBP1A	NA	14815	-0.046516209840774536	-0.0321945	No	
row_44	TGIF1	NA	15892	-0.05785007402300835	-0.06296924	No	
row_45	PPP1CA	NA	15928	-0.05821061506867409	-0.043791898	No	
row_46	BMP2	NA	15959	-0.05865071341395378	-0.024217604	No	
row_47	SKI	NA	16154	-0.06102462857961655	-0.01164206	No	
row_48	FURIN	NA	17511	-0.08031994104385376	-0.04776852	No	
row_49	TGFB1	NA	18016	-0.08881695568561554	-0.040073883	No	
row_50	ENG	NA	19083	-0.11120156943798065	-0.05125821	No	
row_51	ID3	NA	19290	-0.11693954467773438	-0.019226907	No	
row_52	LTBP2	NA	19375	-0.11909321695566177	0.019414887	No	
row_53	ID1	NA	20221	-0.15569636225700378	0.03474688	No	
