NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHAC1	NA	6	0.536477267742157	0.0758698	Yes	
row_1	ATF3	NA	20	0.4011898636817932	0.13219836	Yes	
row_2	ASNS	NA	64	0.29317840933799744	0.17175384	Yes	
row_3	EDEM1	NA	134	0.23541808128356934	0.20186183	Yes	
row_4	ERN1	NA	418	0.16673298180103302	0.21194816	Yes	
row_5	PSAT1	NA	527	0.15313516557216644	0.2285035	Yes	
row_6	CEBPB	NA	665	0.139447420835495	0.24172384	Yes	
row_7	STC2	NA	831	0.1263136863708496	0.25173584	Yes	
row_8	CEBPG	NA	1330	0.10375087708234787	0.24256212	Yes	
row_9	SLC1A4	NA	1398	0.1011112779378891	0.25370002	Yes	
row_10	MTHFD2	NA	1441	0.0995456650853157	0.2658156	Yes	
row_11	FKBP14	NA	1709	0.09092892706394196	0.2659088	Yes	
row_12	SLC7A5	NA	2067	0.08104413002729416	0.26027912	No	
row_13	KDELR3	NA	2730	0.06681860238313675	0.23799115	No	
row_14	NFYB	NA	2912	0.06336431205272675	0.238299	No	
row_15	TARS1	NA	3006	0.061856646090745926	0.24261646	No	
row_16	H2AX	NA	3014	0.06176867336034775	0.2510491	No	
row_17	SEC11A	NA	3115	0.060311656445264816	0.25481126	No	
row_18	DCP2	NA	3120	0.0602303221821785	0.26316953	No	
row_19	EIF2AK3	NA	3265	0.057934992015361786	0.26448247	No	
row_20	WIPI1	NA	3626	0.052827756851911545	0.25470322	No	
row_21	DNAJC3	NA	4089	0.04659426212310791	0.23914348	No	
row_22	HERPUD1	NA	4261	0.044434256851673126	0.23724398	No	
row_23	XPOT	NA	4689	0.0391835980117321	0.22231208	No	
row_24	SHC1	NA	4708	0.03894474729895592	0.22697671	No	
row_25	CNOT6	NA	4738	0.03861911967396736	0.23106715	No	
row_26	ATF4	NA	5024	0.035404182970523834	0.22241418	No	
row_27	TTC37	NA	5336	0.031607165932655334	0.21197431	No	
row_28	CKS1B	NA	5392	0.031032338738441467	0.21373983	No	
row_29	PAIP1	NA	5888	0.026105230674147606	0.1936876	No	
row_30	ZBTB17	NA	6075	0.024127347394824028	0.18818541	No	
row_31	NABP1	NA	6448	0.02087360993027687	0.17329404	No	
row_32	KIF5B	NA	6638	0.019075773656368256	0.16693074	No	
row_33	CNOT4	NA	6702	0.018503189086914062	0.16653368	No	
row_34	XBP1	NA	7050	0.015544047579169273	0.15208563	No	
row_35	SSR1	NA	7097	0.015159321017563343	0.15202981	No	
row_36	IARS1	NA	7174	0.014595462940633297	0.15045406	No	
row_37	ATF6	NA	7271	0.01382418256253004	0.1478089	No	
row_38	SDAD1	NA	7276	0.01379432249814272	0.14957513	No	
row_39	SPCS3	NA	7623	0.010796190239489079	0.13450108	No	
row_40	EIF4A2	NA	7635	0.010727954097092152	0.13549605	No	
row_41	BAG3	NA	7763	0.009740183129906654	0.13078324	No	
row_42	EIF4EBP1	NA	8294	0.005607530474662781	0.10614132	No	
row_43	DNAJB9	NA	8494	0.003947989083826542	0.09715054	No	
row_44	DCP1A	NA	8624	0.0031174796167761087	0.09140159	No	
