NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTCH1	NA	2217	0.07692986726760864	-0.073456734	No	
row_1	WNT1	NA	3975	0.047862764447927475	-0.13722375	No	
row_2	WNT6	NA	4102	0.04642776772379875	-0.123582795	No	
row_3	DLL1	NA	4630	0.03996124118566513	-0.13186231	No	
row_4	FRAT1	NA	4766	0.03827692195773125	-0.12210475	No	
row_5	NKD1	NA	4958	0.036366723477840424	-0.11583505	No	
row_6	DVL2	NA	5913	0.02586897276341915	-0.15050915	No	
row_7	AXIN2	NA	5992	0.024990975856781006	-0.14365335	No	
row_8	NCSTN	NA	6379	0.021502435207366943	-0.15300798	No	
row_9	CTNNB1	NA	6714	0.018375469371676445	-0.16119996	No	
row_10	JAG2	NA	6911	0.016835294663906097	-0.16344342	No	
row_11	NCOR2	NA	7326	0.013448779471218586	-0.17754911	No	
row_12	TCF7	NA	7790	0.009541882202029228	-0.19565369	No	
row_13	LEF1	NA	8135	0.006785901729017496	-0.20923363	No	
row_14	MAML1	NA	8257	0.005888056475669146	-0.21252711	No	
row_15	WNT5B	NA	8713	0.002406710060313344	-0.23327166	No	
row_16	NUMB	NA	9117	-5.418324144557118E-4	-0.2523189	No	
row_17	ADAM17	NA	9601	-0.004041685722768307	-0.27371013	No	
row_18	SKP2	NA	9776	-0.005324355326592922	-0.2797776	No	
row_19	AXIN1	NA	9884	-0.006026875227689743	-0.2823426	No	
row_20	RBPJ	NA	9973	-0.006687849760055542	-0.2837188	No	
row_21	FZD8	NA	10186	-0.008238565176725388	-0.29036936	No	
row_22	DKK1	NA	10615	-0.011380807496607304	-0.30602077	No	
row_23	FZD1	NA	10770	-0.012467688880860806	-0.30810544	No	
row_24	PSEN2	NA	10825	-0.012930906377732754	-0.3052106	No	
row_25	HDAC5	NA	11113	-0.015384886413812637	-0.3124213	No	
row_26	PPARD	NA	12160	-0.023180881515145302	-0.3526348	No	
row_27	NOTCH1	NA	12544	-0.025950642302632332	-0.35996157	No	
row_28	HDAC11	NA	12970	-0.029592690989375114	-0.36775446	No	
row_29	HDAC2	NA	13212	-0.031655002385377884	-0.3658724	No	
row_30	NOTCH4	NA	13742	-0.036222562193870544	-0.3758314	No	
row_31	TP53	NA	17744	-0.08413897454738617	-0.5315685	Yes	
row_32	HEY2	NA	18131	-0.09097465872764587	-0.511493	Yes	
row_33	GNAI1	NA	18492	-0.0976795181632042	-0.48733354	Yes	
row_34	CUL1	NA	18810	-0.10394056886434555	-0.4584649	Yes	
row_35	CSNK1E	NA	18851	-0.10484911501407623	-0.41596156	Yes	
row_36	MYC	NA	19020	-0.10911556333303452	-0.37777352	Yes	
row_37	DKK4	NA	19679	-0.12952186167240143	-0.3543791	Yes	
row_38	JAG1	NA	20184	-0.15295110642910004	-0.3136932	Yes	
row_39	KAT2A	NA	20274	-0.15930919349193573	-0.25046307	Yes	
row_40	HEY1	NA	20786	-0.2219579517841339	-0.180879	Yes	
row_41	CCND2	NA	20942	-0.44504624605178833	2.3934E-4	Yes	
