NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HTR4	3	216939_s_at:207577_at:207578_s_at	
CRHBP	1	205984_at	
HTR6	2	206944_at:1552857_a_at	
HTR7	3	236281_x_at:207927_at:207818_s_at	
LURAP1L	1	227443_at	
BBX	7	226331_at:223135_s_at:223134_at:1557239_at:232008_s_at:213015_at:213016_at	
EXOC3-AS1	1	235219_at	
GSTK1	1	217751_at	
WDR83OS	1	217780_at	
DHDH	1	231416_at	
INSYN1	2	233482_at:230475_at	
BCR	3	226602_s_at:217223_s_at:202315_s_at	
ORAI3	1	221864_at	
ORAI2	6	217529_at:230347_at:218812_s_at:1558426_x_at:231406_at:218811_at	
AGTR1	2	208016_s_at:205357_s_at	
VOPP1	1	208091_s_at	
ORAI1	1	226531_at	
HOATZ	1	1568606_at	
AGTR2	3	207293_s_at:207294_at:222321_at	
COL13A1	3	208535_x_at:211343_s_at:211809_x_at	
SHMT2	3	214096_s_at:214095_at:214437_s_at	
SHMT1	4	217304_at:231701_s_at:224954_at:209980_s_at	
B3GLCT	2	227100_at:227083_at	
FOXP1-IT1	1	232096_x_at	
RDH12	1	242998_at	
RDH11	4	232359_at:217042_at:217775_s_at:217776_at	
RDH10	4	226021_at:1552378_s_at:1552379_at:227467_at	
RDH16	1	206753_at	
RDH14	1	222203_s_at	
RDH13	4	235249_at:225449_at:225467_s_at:1559190_s_at	
LOC100132356	1	1558310_s_at	
GTF2IRD2B	1	215569_at	
GSTM4	2	204149_s_at:210912_x_at	
GSTM3	2	235867_at:202554_s_at	
GSTM2	1	204418_x_at	
GSTM1	2	215333_x_at:204550_x_at	
NEBL	6	241782_at:217585_at:203962_s_at:207279_s_at:216882_s_at:203961_at	
TMEM254-AS1	1	232294_at	
SPAG5-AS1	2	231541_s_at:231542_at	
DHFR	4	202532_s_at:202533_s_at:48808_at:202534_x_at	
DELEC1	1	220781_at	
PKIB	2	231120_x_at:223551_at	
STRC	2	1561306_s_at:240048_at	
PKIA	2	226864_at:204612_at	
STRN	10	215287_at:236388_at:227422_at:1569813_at:244354_at:236980_at:1569815_x_at:230734_x_at:205520_at:242989_at	
L1TD1	2	219955_at:236894_at	
PKIG	1	202732_at	
ARHGAP22-IT1	2	1556459_at:1556460_a_at	
CASP4LP	2	208340_at:240890_at	
GSTM5	1	205752_s_at	
KCNC1	2	230547_at:208477_at	
KCNC2	2	240614_at:222289_at	
KCNC3	3	243893_at:230531_at:207600_at	
KCNC4	3	208251_at:228436_at:235467_s_at	
LOC79999	1	220849_at	
BBC3	1	211692_s_at	
NPAP1	1	221300_at	
GLT1D1	1	229770_at	
ZNF32-AS3	2	1562812_at:1557881_at	
NEFL	3	221805_at:221801_x_at:221916_at	
NEFM	2	223902_at:205113_at	
NEFH	2	204412_s_at:33767_at	
STUM	2	232104_at:213925_at	
MYBPC3	1	208040_s_at	
MYBPC1	1	214087_s_at	
MYBPC2	1	206394_at	
KCND1	1	206842_at	
KCND2	1	207103_at	
GSTO2	2	227163_at:229155_at	
FLJ20021	1	228832_at	
GSTO1	2	1557915_s_at:201470_at	
KCND3	4	215014_at:211827_s_at:213832_at:211301_at	
BGN	3	213905_x_at:201262_s_at:201261_x_at	
TMEFF1	2	205123_s_at:205122_at	
TMEFF2	3	223557_s_at:233910_at:224321_at	
EIF1B-AS1	4	1556248_at:1556249_a_at:242730_at:1557212_at	
PKN3	1	226299_at	
GSTP1	1	200824_at	
KCNA1	2	208479_at:230849_at	
SYNPO2	7	244108_at:227662_at:225721_at:232119_at:225720_at:225894_at:225895_at	
PTAFR	3	227184_at:211661_x_at:206278_at	
KCNA2	2	239118_at:208564_at	
ADAM22	8	1555024_at:244194_at:208237_x_at:213411_at:208227_x_at:206615_s_at:206616_s_at:208226_x_at	
KCNA3	1	207237_at	
ADAM21	2	207665_at:1552579_a_at	
KCNA4	1	207248_at	
KCNA5	1	206762_at	
ADAM20	2	207423_s_at:207422_at	
KCNA6	2	1553347_s_at:205616_at	
SDAD1	3	228408_s_at:224037_at:218607_s_at	
KCNA7	1	232936_at	
PAXBP1-AS1	2	239407_at:1556789_a_at	
ADAM29	1	221337_s_at	
ADAM28	4	205997_at:208268_at:241446_at:208269_s_at	
ADAM23	4	213808_at:1559268_at:206046_at:244463_at	
STX6	5	1552618_at:212800_at:212799_at:244041_at:214441_at	
STX5	1	203330_s_at	
STX4	2	229395_at:203530_s_at	
STX3	3	209238_at:216985_s_at:235483_at	
BID	3	227143_s_at:211725_s_at:204493_at	
STX2	2	213434_at:207346_at	
SPDEF	5	213441_x_at:214404_x_at:214403_x_at:220192_x_at:213442_x_at	
MBD3	3	202463_s_at:41160_at:222183_x_at	
MBD4	4	209579_s_at:214047_s_at:214048_at:209580_s_at	
KLRK1-AS1	1	242873_at	
MBD5	3	227839_at:244662_at:220195_at	
MBD6	2	227833_s_at:227832_at	
PKLR	3	207858_s_at:210451_at:222078_at	
BIK	1	205780_at	
KCNB1	4	231053_at:211006_s_at:217637_at:240869_at	
MBD1	5	241813_at:203353_s_at:1555611_s_at:208595_s_at:226862_at	
KCNB2	2	208123_at:208172_s_at	
MBD2	4	202484_s_at:214396_s_at:214397_at:202485_s_at	
KIAA2012	1	1564193_at	
ADAM33	2	233868_x_at:232570_s_at	
ADAM32	1	1552266_at	
KIAA2013	3	1555933_at:224708_at:224706_at	
ADAM30	2	221446_at:243520_x_at	
PKN2	4	212629_s_at:212628_at:230400_s_at:210969_at	
ADAM3A	2	217090_at:216276_s_at	
MITD1	1	226329_s_at	
PKN1	1	202161_at	
KCNG1	2	211053_at:214595_at	
KCNG2	1	208550_x_at	
KCNG3	2	1552898_a_at:1552897_a_at	
KCNG4	1	1552598_at	
RASL11B	2	219142_at:234102_at	
FBXO27	1	235169_at	
FBXO28	5	1555970_at:202271_at:202272_s_at:1555972_s_at:1555971_s_at	
RASL11A	1	238353_at	
GOLIM4	3	204324_s_at:238002_at:204322_at	
FBXO25	1	225591_at	
LOC102723684	1	240970_x_at	
LOC100289473	1	217376_at	
FBXO24	2	223941_at:221157_s_at	
MCHR2-AS1	2	1561437_at:231129_at	
FBXO21	3	212231_at:214891_at:212229_s_at	
FBXO22	5	219638_at:225736_at:225734_at:1559214_at:225737_s_at	
FADS3	2	204257_at:216080_s_at	
FADS2	2	202218_s_at:243953_at	
POTEM	1	242912_at	
POFUT2	4	209578_s_at:207448_at:1555546_a_at:207449_s_at	
PTAR1	3	243995_at:226110_at:235484_at	
FNTA	3	230808_at:209471_s_at:200090_at	
POFUT1	2	212349_at:210433_at	
FNTB	4	204764_at:1568865_at:225851_at:1773_at	
NEK1	5	216213_at:213331_s_at:213328_at:1564093_at:211086_x_at	
TNFRSF8	1	206729_at	
NEK2	2	204641_at:211080_s_at	
NEK3	2	211089_s_at:213116_at	
TNFRSF4	2	214228_x_at:208023_at	
FADS1	3	208963_x_at:208964_s_at:208962_s_at	
KCNH1	1	207635_s_at	
KCNH2	2	210036_s_at:205262_at	
PIAS4	2	212879_x_at:212881_at	
PIAS3	1	203035_s_at	
KCNH3	1	223726_at	
KCNH4	1	220802_at	
KCNH5	3	242502_at:1555304_a_at:1555074_a_at	
DGAT2	2	226064_s_at:224327_s_at	
DGAT1	1	203669_s_at	
KCNH6	3	211046_at:221023_s_at:211045_s_at	
KCNH7	2	224099_at:1555316_a_at	
KCNH8	1	1552742_at	
STX8	2	204690_at:1570357_at	
FBXO16	1	228427_at	
STX7	4	203457_at:212631_at:212632_at:229214_at	
FBXO17	1	220233_at	
FBXO15	1	231472_at	
FBXO10	4	1558062_at:237036_at:236100_at:227222_at	
NEAT1	8	225239_at:224566_at:227062_at:239269_at:234989_at:224565_at:238320_at:214657_s_at	
FBXO11	4	222119_s_at:232364_at:219208_at:203255_at	
PIAS2	8	1555514_a_at:214593_at:1555513_at:214442_s_at:37433_at:243624_at:235107_at:238700_at	
PIAS1	3	217862_at:217863_at:217864_s_at	
LENEP	1	221115_s_at	
LOC102723692	1	236190_at	
NPAS4	2	240794_at:1554299_at	
LENG1	1	232018_at	
MINPP1	1	209585_s_at	
DMTF1	1	203301_s_at	
PKP2	2	214154_s_at:207717_s_at	
PKP1	2	221854_at:205724_at	
LOC401463	1	1563927_a_at	
PKP4	5	201928_at:240379_at:214874_at:201929_s_at:201927_s_at	
PKP3	2	209873_s_at:209872_s_at	
MIR210HG	2	230710_at:236480_at	
LOC100505716	1	1561370_at	
BLK	2	206255_at:210934_at	
BLM	1	205733_at	
KCNE1	2	236407_at:208514_at	
KCNE2	1	221095_s_at	
KCNE3	3	222923_s_at:222922_at:227647_at	
PDZRN3-AS1	1	238165_at	
KCNE4	3	222379_at:1552507_at:1552508_at	
LOC283665	1	1557328_at	
KCNE5	1	220010_at	
ZC4H2	3	220040_x_at:225784_s_at:234809_at	
IREB2	4	214666_x_at:242261_at:225892_at:1555476_at	
GSTT4	1	207215_at	
GSTT2	1	205439_at	
LOC100289495	1	239215_at	
GSTT1	2	232193_at:203815_at	
FBXO45	3	242294_at:225100_at:225099_at	
FBXO46	1	205310_at	
FBXO43	1	236852_at	
NPAS1	2	206699_x_at:216975_x_at	
FBXO44	1	223517_at	
NPAS2	5	213462_at:39549_at:205460_at:39548_at:205459_s_at	
CCDC144A	1	216045_at	
FBXO41	3	236405_at:44040_at:221945_at	
NPAS3	9	1554635_a_at:234014_at:222172_at:233865_at:230412_at:1569661_at:229281_at:220316_at:233293_at	
FBXO42	4	221812_at:1559566_at:47773_at:221813_at	
CCDC144B	1	1561477_at	
FBXO40	2	220164_s_at:222954_at	
FAM111A-DT	2	244749_at:235152_at	
MBIP	1	218411_s_at	
BMF	1	226530_at	
LOC100505711	1	237779_at	
KIR2DL5A	1	211410_x_at	
NEK8	2	1557170_at:1557172_x_at	
KCNF1	1	210263_at	
NEK9	3	230153_at:214738_s_at:212299_at	
SDF2L1	1	218681_s_at	
NEK4	2	204634_at:1554659_at	
RASL10A	1	206850_at	
HTR1E	1	207404_s_at	
HTR1F	1	221458_at	
RASL10B	2	244656_at:235488_at	
NEK5	2	241310_at:237168_at	
TNFRSF9	3	207536_s_at:238950_at:211786_at	
FBXO38	3	224369_s_at:221257_x_at:219608_s_at	
NEK6	5	223159_s_at:223561_at:237406_at:223158_s_at:239267_at	
FBXO39	1	1552830_at	
HTR1D	1	207368_at	
NEK7	1	212530_at	
STYX	4	235180_at:244030_at:242408_at:228853_at	
FBXO36	2	1555195_at:236525_at	
HTR1A	1	221351_at	
HTR1B	1	210799_at	
LOC100288175	1	234890_at	
CSNK1G2-AS1	1	1553871_at	
FBXO34	1	218539_at	
RGMB-AS1	1	1558899_s_at	
BMX	1	206464_at	
C6orf15	1	221100_at	
FBXO32	7	225345_s_at:225801_at:232729_at:225803_at:241762_at:225328_at:241763_s_at	
FBXO33	2	226970_at:227521_at	
FBXO30	2	242007_at:226541_at	
FBXO31	4	219785_s_at:224162_s_at:219784_at:222352_at	
FAM90A1	1	220535_at	
DRAP1	1	203258_at	
LOC220077	2	216385_at:216386_at	
CELP	1	207412_x_at	
MNAT1	1	203565_s_at	
SLC49A4	2	226026_at:229213_at	
SLC49A3	1	214269_at	
BCAR3	1	204032_at	
PIWIL2	3	220686_s_at:239303_at:217421_at	
KCNK5	1	219615_s_at	
PIWIL1	1	214868_at	
KCNK6	1	223658_at	
ALAS2	2	244205_at:211560_s_at	
KCNK7	3	224055_x_at:224008_s_at:220412_x_at	
PIWIL4	1	230480_at	
ALAS1	1	205633_s_at	
BCAR4	1	230854_at	
MIR570HG	2	1557293_at:229820_at	
ONECUT2	5	230271_at:233441_at:233446_at:207676_at:239911_at	
KCNK9	2	224072_s_at:238870_at	
LOC284933	1	240754_at	
LRRC37BP1	2	216149_at:229231_at	
ONECUT3	1	234109_x_at	
LOC284930	2	1564446_at:1563009_at	
ONECUT1	1	210745_at	
EDRF1-DT	4	1565806_at:1565805_at:1560714_at:239483_at	
HTR2B	1	206638_at	
HTR2C	2	211479_s_at:207307_at	
PPWD1	2	236999_at:213483_at	
HTR2A	3	244130_at:207135_at:211616_s_at	
NENF	6	213673_x_at:218407_x_at:214072_x_at:218406_x_at:214075_at:214125_s_at	
TNFSF13B	2	223502_s_at:223501_at	
LOC102723648	1	1561110_at	
BOC	3	225990_at:224184_s_at:230035_at	
SPDL1	1	221685_s_at	
NEO1	3	204321_at:225270_at:229877_at	
BCAS2	1	203053_at	
BCAS1	1	204378_at	
MBL2	1	207256_at	
