NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.672531	-2.3561125	0.0	0.0	0.0	4186	tags=67%, list=20%, signal=84%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	-0.56721187	-1.9286563	0.0	0.0011964286	0.002	3205	tags=26%, list=15%, signal=31%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	-0.42461002	-1.7972115	0.0	0.0022168027	0.006	4579	tags=33%, list=22%, signal=42%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.41910613	-1.7829214	0.0	0.0022344976	0.008	8411	tags=48%, list=40%, signal=79%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	200	-0.41139397	-1.7466619	0.0	0.002885024	0.013	4555	tags=34%, list=22%, signal=43%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	200	-0.40586993	-1.698724	0.0	0.004541655	0.024	4942	tags=39%, list=24%, signal=51%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	-0.49142373	-1.5607172	0.012480499	0.024411615	0.142	1691	tags=25%, list=8%, signal=27%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	200	-0.3658258	-1.549778	0.0012820513	0.024796132	0.163	4452	tags=35%, list=21%, signal=43%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	-0.48195255	-1.5188258	0.02283105	0.028517336	0.206	2681	tags=25%, list=13%, signal=29%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	199	-0.3503867	-1.4699564	0.0	0.042524237	0.326	9709	tags=56%, list=46%, signal=104%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	-0.34117836	-1.4368743	0.006369427	0.057022557	0.448	2565	tags=21%, list=12%, signal=24%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	200	-0.33809397	-1.4233956	0.0065445025	0.059221044	0.484	3463	tags=24%, list=17%, signal=28%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	49	-0.40988004	-1.4040875	0.058103975	0.06735171	0.556	7841	tags=53%, list=37%, signal=85%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	200	-0.33061227	-1.3865442	0.016393442	0.07370292	0.614	4587	tags=28%, list=22%, signal=35%	
