NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	200	0.3437029	1.6324844	0.004716981	0.029415656	0.037	5392	tags=40%, list=26%, signal=53%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	0.29901174	1.4061135	0.0	0.10037491	0.236	2349	tags=18%, list=11%, signal=20%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	199	0.28592476	1.3516287	0.012658228	0.103869624	0.349	4700	tags=27%, list=22%, signal=35%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.2791142	1.326636	0.0154639175	0.09879723	0.41	4207	tags=29%, list=20%, signal=36%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	0.2659088	1.1616298	0.17993079	0.29927427	0.873	1709	tags=11%, list=8%, signal=12%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	161	0.24888569	1.143673	0.16883117	0.2848663	0.903	3131	tags=21%, list=15%, signal=25%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	200	0.23731762	1.1198742	0.18686868	0.2871458	0.938	2953	tags=18%, list=14%, signal=21%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	40	0.2540855	0.8998728	0.62637365	0.909448	1.0	252	tags=8%, list=1%, signal=8%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.22662932	0.8788396	0.6893491	0.863652	1.0	3300	tags=19%, list=16%, signal=22%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	0.199228	0.8702146	0.7912088	0.7981861	1.0	3947	tags=23%, list=19%, signal=28%	
