NAME	TITLE	SCORE	
H1-5	NA	0.85337037	
H1-4	NA	0.75392133	
H1-3	NA	0.6829495	
WAKMAR2	NA	0.6712116	
RASSF6	NA	0.6335838	
FLRT3	NA	0.55530417	
CHAC1	NA	0.53647727	
ASS1	NA	0.4969501	
JUN	NA	0.4823597	
LRRC2	NA	0.4809001	
PWAR5	NA	0.46894327	
SLC35E2B	NA	0.4639057	
HMMR-AS1	NA	0.46223354	
VLDLR-AS1	NA	0.4318007	
H2AC14	NA	0.42567647	
ZMAT1	NA	0.41421208	
SLC8A1-AS1	NA	0.41100532	
IQGAP3	NA	0.40648478	
H2AC7	NA	0.40144303	
TEX9	NA	0.40120676	
ATF3	NA	0.40118986	
H1-2	NA	0.40033013	
CCDC18	NA	0.39704052	
MIR3916	NA	0.39465448	
EGR1	NA	0.38400945	
FBXO30-DT	NA	0.38398504	
ZNF257	NA	0.3821991	
VLDLR	NA	0.37944537	
MAFB	NA	0.37174085	
TM6SF1	NA	0.3716783	
LINC00266-1	NA	0.3534396	
PLEKHH2	NA	0.34677184	
H3C4	NA	0.34226266	
ZBED6	NA	0.34183252	
H2AC17	NA	0.3403692	
SERPINI1	NA	0.33821258	
H2AC6	NA	0.33792934	
LOC100505915	NA	0.3373318	
BLNK	NA	0.3321811	
SLC7A11	NA	0.33113515	
AQP12B	NA	0.32795456	
NKAPP1	NA	0.3261295	
H3C11	NA	0.32565138	
CGAS	NA	0.32553807	
SEPTIN7P13	NA	0.32357445	
ERV3-1	NA	0.32308555	
BAGE2	NA	0.32117385	
PGBD4	NA	0.31688875	
H4C14	NA	0.3151442	
SESN2	NA	0.31474546	
NCALD	NA	0.31326288	
TTTY14	NA	0.31252182	
H3C2	NA	0.31134036	
PCK2	NA	0.31113815	
TRIB3	NA	0.3105905	
HRK	NA	0.30981323	
LINC00663	NA	0.306624	
SLC8A1	NA	0.30392027	
ZC3H6	NA	0.30380392	
H2AC16	NA	0.30313462	
EIF3J-DT	NA	0.30058786	
SLC23A1	NA	0.29794794	
TAS2R14	NA	0.29756647	
H2AC13	NA	0.29472038	
ASNS	NA	0.2931784	
TXNIP	NA	0.2929706	
ARRDC4	NA	0.29296446	
ANKRD36	NA	0.29238528	
CCDC121	NA	0.29227343	
LOC100996419	NA	0.2903533	
MKRN3	NA	0.28841904	
KCNA3	NA	0.28831849	
NFYC-AS1	NA	0.28782117	
FOLR1	NA	0.2849698	
GAS2	NA	0.28496462	
SGIP1	NA	0.28490624	
MYH11	NA	0.28473794	
HS3ST3B1	NA	0.28341594	
ZC2HC1A	NA	0.28289565	
SPDYE1	NA	0.28269792	
GDF9	NA	0.28155065	
SLC30A1	NA	0.28009206	
DACT1	NA	0.28006923	
ZNF800	NA	0.27932763	
DLX2	NA	0.2776714	
IFTAP	NA	0.27738166	
LOC441155	NA	0.27595502	
FICD	NA	0.27523375	
LINC00997	NA	0.27267638	
LOC100129917	NA	0.27085954	
PLEKHH1	NA	0.26928094	
BMPR1B	NA	0.26864985	
ZMYM5	NA	0.26498023	
LOC374443	NA	0.2639074	
FAM111B	NA	0.26369995	
LINC00888	NA	0.2626439	
CREBRF	NA	0.26171824	
CXCL2	NA	0.26160356	
ZNRD2-AS1	NA	0.260961	
TRAF3IP2-AS1	NA	0.25971162	
EXTL3-AS1	NA	0.2594774	
TOB1-AS1	NA	0.25877577	
SPNS3	NA	0.25875425	
LINC01004	NA	0.25859067	
ZNF846	NA	0.25751263	
H4C6	NA	0.25702807	
TMSB15B-AS1	NA	0.25473347	
USP53	NA	0.25436187	
RNA45SN5	NA	0.2540662	
IL1A	NA	0.2532361	
SUN3	NA	0.25249696	
UNC5CL	NA	0.2521971	
H4C8	NA	0.25187021	
GMDS-DT	NA	0.2507581	
SDCBP2-AS1	NA	0.249767	
EXPH5	NA	0.2495732	
TCN1	NA	0.24948226	
SBF2-AS1	NA	0.24946707	
DUSP10	NA	0.24834552	
IGSF11	NA	0.2479131	
TAF1A-AS1	NA	0.24696217	
CBX5	NA	0.24499705	
PACSIN1	NA	0.24458446	
TNFSF13B	NA	0.24451992	
TMEM71	NA	0.2441646	
AGAP9	NA	0.24412285	
KLHDC1	NA	0.24141744	
MAP3K7CL	NA	0.24017397	
PRKAA2	NA	0.23939486	
TUFT1	NA	0.23860382	
MIR31HG	NA	0.23844065	
LINC02273	NA	0.23820907	
TNFAIP8L1	NA	0.23798306	
DAZ4	NA	0.2376766	
EDEM1	NA	0.23541808	
BRWD3	NA	0.23515284	
TNFRSF10A	NA	0.2348447	
NUDT12	NA	0.23465392	
KCNJ4	NA	0.23455752	
LINC00648	NA	0.23435582	
EPHA1-AS1	NA	0.23406556	
FAM24B	NA	0.23373154	
ZBED3-AS1	NA	0.23311774	
C14orf39	NA	0.23303299	
H2BC14	NA	0.2319809	
SRGAP2C	NA	0.23098223	
JPX	NA	0.23063171	
KIAA0408	NA	0.23056665	
CCDC144A	NA	0.22971752	
PLEKHG1	NA	0.22912632	
MCTP1	NA	0.22911774	
NME9	NA	0.22897689	
CDC42EP3	NA	0.22886859	
ZFY	NA	0.22846748	
NCAM2	NA	0.22802673	
H3C12	NA	0.22798471	
ZNF678	NA	0.22715403	
H2BC4	NA	0.22706404	
TACC2	NA	0.22696203	
PPP1R1C	NA	0.22673203	
RSF1	NA	0.2263797	
ZEB1-AS1	NA	0.22626685	
LINC01431	NA	0.22621006	
TAGAP	NA	0.22568399	
CCDC150	NA	0.22554451	
ALDH2	NA	0.22552064	
ALMS1-IT1	NA	0.22487551	
ANTKMT	NA	0.22478506	
FGF7P6	NA	0.22432868	
TRIM17	NA	0.22425142	
RIMS3	NA	0.223589	
ESCO2	NA	0.22345288	
TOX2	NA	0.22341731	
PBLD	NA	0.22320664	
C9orf47	NA	0.22296274	
STAC3	NA	0.2222117	
ALPK1	NA	0.22208036	
IFNB1	NA	0.22183657	
FILIP1L	NA	0.22145015	
ARL17B	NA	0.22094782	
MPPED2	NA	0.2199046	
CRYGS	NA	0.21975012	
THSD1	NA	0.21961889	
TMCO1-AS1	NA	0.21950155	
ZNF423	NA	0.21890178	
CA5B	NA	0.21890081	
LOC102724851	NA	0.21848367	
H2AC4	NA	0.21840756	
EP300-AS1	NA	0.21774517	
SMIM2	NA	0.21774302	
C14orf28	NA	0.21616459	
TSC22D3	NA	0.21613407	
FRMD5	NA	0.21606292	
AGBL2	NA	0.21587564	
GEM	NA	0.2153129	
PCAT18	NA	0.21474253	
FLT3	NA	0.2147275	
LOC285097	NA	0.21463516	
TRIM23	NA	0.214467	
H2AC18	NA	0.21419275	
CNTRL	NA	0.21411194	
AFDN-DT	NA	0.21404818	
MXD1	NA	0.21349305	
ZNF557	NA	0.21347372	
NEMP2	NA	0.21286595	
FBXO43	NA	0.21279985	
GCA	NA	0.21270137	
LYSMD1	NA	0.21199402	
NSUN6	NA	0.21180037	
CHROMR	NA	0.21147601	
ATAD5	NA	0.2113234	
C1orf226	NA	0.21094535	
TRPC5OS	NA	0.2109419	
CSTA	NA	0.2095602	
NBEAL1	NA	0.20950414	
PROX1-AS1	NA	0.20934224	
OSCP1	NA	0.20929743	
AASS	NA	0.20929304	
