NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPM1F-AS1	NA	648	0.2410774677991867	0.033057548	Yes	
row_1	SSTR5-AS1	NA	673	0.238658607006073	0.09530759	Yes	
row_2	NDST1	NA	962	0.21465258300304413	0.13855812	Yes	
row_3	HTR5A	NA	1195	0.20064787566661835	0.18076593	Yes	
row_4	CHRNA1	NA	1201	0.20030172169208527	0.23373525	Yes	
row_5	BCAR1	NA	1483	0.1860324889421463	0.26971778	Yes	
row_6	SVOP	NA	1878	0.1704130619764328	0.29614836	Yes	
row_7	EPOR	NA	1924	0.16836385428905487	0.33872116	Yes	
row_8	SSTR5	NA	2028	0.16425256431102753	0.3774287	Yes	
row_9	HYAL2	NA	2127	0.1608358919620514	0.41546768	Yes	
row_10	DEPP1	NA	3661	0.11846993863582611	0.37364152	No	
row_11	MRPL34	NA	6567	0.0616244301199913	0.25111598	No	
row_12	MDS2	NA	6642	0.06043766438961029	0.26363257	No	
row_13	MGLL	NA	6669	0.06003262847661972	0.27833658	No	
row_14	SH3TC1	NA	6816	0.05761250481009483	0.2866602	No	
row_15	MIR7-3HG	NA	7406	0.04899713769555092	0.27151424	No	
row_16	SIX5	NA	7991	0.04007314518094063	0.25423676	No	
row_17	EHD1	NA	8035	0.039475489407777786	0.26266715	No	
row_18	IL34	NA	8293	0.0360560417175293	0.25995728	No	
row_19	ZNF491	NA	9168	0.02464444935321808	0.22471566	No	
row_20	OGDH	NA	10582	0.006750535219907761	0.15894973	No	
row_21	CHD3	NA	11003	0.001955502200871706	0.1393879	No	
row_22	PPP1R18	NA	12616	-0.01715015433728695	0.066869825	No	
row_23	GLRA1	NA	13804	-0.03210119158029556	0.018643698	No	
row_24	RALB	NA	14727	-0.044565599411726	-0.013601037	No	
row_25	CBFA2T3	NA	18068	-0.10331070423126221	-0.14585146	No	
row_26	RASGRP3	NA	18218	-0.10733458399772644	-0.12446305	No	
row_27	CNOT3	NA	18854	-0.12473680824041367	-0.121688806	No	
row_28	BIN1	NA	19316	-0.1424655020236969	-0.10588571	No	
row_29	MICAL2	NA	19478	-0.14955641329288483	-0.07385519	No	
row_30	AKAP13	NA	19533	-0.15299171209335327	-0.03579618	No	
row_31	MIDN	NA	20151	-0.19322095811367035	-0.013969106	No	
row_32	SMAD1	NA	20183	-0.19567835330963135	0.036528923	No	
