NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APBB2	NA	37	0.44814661145210266	0.0154469935	No	
row_1	EREG	NA	204	0.3133411109447479	0.019471325	No	
row_2	CEBPA	NA	356	0.27935242652893066	0.022913756	No	
row_3	CAV1	NA	387	0.27360618114471436	0.031986244	No	
row_4	TMEM198	NA	402	0.2707640528678894	0.041723114	No	
row_5	AREG	NA	609	0.24516494572162628	0.041191086	No	
row_6	KRT18	NA	786	0.22785992920398712	0.041444167	No	
row_7	MALL	NA	1046	0.20898222923278809	0.03695765	No	
row_8	LINC01569	NA	1095	0.20576024055480957	0.042550314	No	
row_9	HMGCS1	NA	1469	0.18680748343467712	0.031698365	No	
row_10	MYO1C	NA	1521	0.18428772687911987	0.0363201	No	
row_11	SNX9	NA	1865	0.17089754343032837	0.026306918	No	
row_12	KRTAP5-AS1	NA	2102	0.1619107872247696	0.021122176	No	
row_13	FOSL1	NA	2103	0.1619078814983368	0.027349312	No	
row_14	WDPCP	NA	2191	0.15860438346862793	0.029242432	No	
row_15	CPNE7	NA	2373	0.15297693014144897	0.026373658	No	
row_16	PALD1	NA	2379	0.15270087122917175	0.032004904	No	
row_17	TRIM65	NA	2678	0.1431095004081726	0.023098981	No	
row_18	UBE2D4	NA	2772	0.14058759808540344	0.024009021	No	
row_19	PPP5D1	NA	2829	0.13884492218494415	0.026641205	No	
row_20	KRT23	NA	2955	0.13529901206493378	0.025800452	No	
row_21	GARS1-DT	NA	3486	0.12205993384122849	0.004866371	No	
row_22	SEMA3C	NA	3495	0.1218554675579071	0.009166206	No	
row_23	MAP2K3	NA	3697	0.11757060885429382	0.0039685527	No	
row_24	CHPF	NA	3789	0.11521753668785095	0.003999546	No	
row_25	LRRC37A3	NA	3835	0.11426550894975662	0.0062182955	No	
row_26	S100A6	NA	3885	0.11292766779661179	0.008192167	No	
row_27	RNF43	NA	4235	0.10502824187278748	-0.004644552	No	
row_28	WDR31	NA	4258	0.10446953028440475	-0.0016903798	No	
row_29	C17orf64	NA	4533	0.09843617677688599	-0.011153943	No	
row_30	ITPRIPL2	NA	4570	0.09776371717453003	-0.009134666	No	
row_31	MYOF	NA	5124	0.08644211292266846	-0.032550827	No	
row_32	EXD3	NA	5253	0.08404674381017685	-0.03550786	No	
row_33	ADGRG6	NA	5300	0.08310200273990631	-0.03453605	No	
row_34	ICA1	NA	5573	0.07802671194076538	-0.044687867	No	
row_35	ADAP2	NA	5656	0.07644981145858765	-0.045712717	No	
row_36	ANKRD10	NA	5658	0.07642519474029541	-0.042821683	No	
row_37	SPATA2L	NA	5769	0.07474827766418457	-0.04526594	No	
row_38	PRSS22	NA	5786	0.07454873621463776	-0.043172415	No	
row_39	SELENOS	NA	5794	0.07439584285020828	-0.040649567	No	
row_40	REX1BD	NA	5825	0.07371091097593307	-0.03926525	No	
row_41	ROMO1	NA	5846	0.07324513047933578	-0.03741529	No	
row_42	BOLA1	NA	5975	0.07108328491449356	-0.04087091	No	
row_43	OTUD7B	NA	6218	0.06700652092695236	-0.0499959	No	
row_44	MET	NA	6271	0.06620514392852783	-0.049964093	No	
row_45	PDE4B	NA	6455	0.06334604322910309	-0.056376867	No	
row_46	ING1	NA	6551	0.06190510094165802	-0.05858975	No	
row_47	DLGAP1-AS2	NA	6821	0.057527679949998856	-0.06938491	No	
row_48	TEAD1	NA	6841	0.05729265883564949	-0.06810014	No	
row_49	EHD2	NA	6884	0.056671466678380966	-0.06795145	No	
row_50	ZNF34	NA	7004	0.05469455569982529	-0.071602196	No	
row_51	GEM	NA	7292	0.05049942433834076	-0.08353808	No	
row_52	TTI2	NA	7344	0.04982203617691994	-0.08408803	No	
row_53	HSPE1	NA	7384	0.049312788993120193	-0.084077284	No	
row_54	STARD4	NA	7671	0.04503311589360237	-0.09617505	No	
row_55	DLGAP1-AS1	NA	7779	0.04325775057077408	-0.0996854	No	
row_56	CALR	NA	7972	0.04035195708274841	-0.107417755	No	
row_57	SNHG29	NA	8014	0.039752181619405746	-0.107871436	No	
row_58	SREBF2	NA	8026	0.03959013894200325	-0.10688068	No	
row_59	CPEB2	NA	8339	0.03540840372443199	-0.12060588	No	
row_60	ACOT11	NA	8353	0.03526360169053078	-0.11987823	No	
row_61	RPS3	NA	8439	0.03399503603577614	-0.122681	No	
row_62	B3GALT4	NA	8619	0.03162534907460213	-0.13012037	No	
row_63	NQO2	NA	8654	0.031216900795698166	-0.13056383	No	
row_64	HSPA8	NA	8662	0.031126433983445168	-0.12970516	No	
row_65	BMP4	NA	8859	0.028575167059898376	-0.13808389	No	
row_66	KRCC1	NA	8865	0.028518684208393097	-0.13722882	No	
row_67	DDX59	NA	8943	0.027558600530028343	-0.1398923	No	
row_68	SORBS3	NA	8994	0.026861628517508507	-0.14127696	No	
row_69	EPN3	NA	9003	0.026709329336881638	-0.14063653	No	
row_70	SMARCD2	NA	9063	0.025945965200662613	-0.14249162	No	
row_71	DMGDH	NA	9212	0.024113686755299568	-0.14872086	No	
row_72	SNHG5	NA	9531	0.019682366400957108	-0.16334105	No	
row_73	CALM3	NA	9603	0.018719704821705818	-0.16605432	No	
row_74	NR4A2	NA	9673	0.017979832366108894	-0.16869937	No	
row_75	AP1S3	NA	9882	0.015220233239233494	-0.178172	No	
row_76	GAS5	NA	10161	0.01223329920321703	-0.19114444	No	
row_77	CYCS	NA	10192	0.011780433356761932	-0.19214202	No	
row_78	IER5	NA	10205	0.011521941982209682	-0.19227916	No	
row_79	RAB6A	NA	10230	0.011257211677730083	-0.19300674	No	
row_80	SURF4	NA	10244	0.011092659085988998	-0.19320872	No	
row_81	RPLP1	NA	10257	0.010936709120869637	-0.19336836	No	
row_82	MDH1	NA	10301	0.010490740649402142	-0.19504417	No	
row_83	ALG5	NA	10320	0.010207917541265488	-0.19552198	No	
row_84	EIF4A2	NA	10373	0.009483780711889267	-0.19767173	No	
row_85	PCLAF	NA	10388	0.009372911415994167	-0.19798823	No	
row_86	SARAF	NA	10439	0.008802509866654873	-0.20006746	No	
row_87	TXNDC11	NA	10695	0.005624132230877876	-0.21218191	No	
row_88	HNRNPF	NA	10730	0.0052632782608270645	-0.21362358	No	
row_89	PAQR4	NA	10791	0.004517486784607172	-0.21635118	No	
row_90	NF2	NA	10809	0.00432800967246294	-0.21700677	No	
row_91	RPL13	NA	10939	0.0027613549027591944	-0.22313848	No	
row_92	ANXA4	NA	10955	0.0025580108631402254	-0.22376543	No	
row_93	C17orf75	NA	11024	0.0016957622719928622	-0.22698842	No	
row_94	GULP1	NA	11050	0.001413523918017745	-0.22814295	No	
row_95	RPS20	NA	11083	0.0010355454869568348	-0.22965051	No	
row_96	MEMO1	NA	11130	4.167594015598297E-4	-0.23185885	No	
row_97	MIRLET7BHG	NA	11355	-0.002378127770498395	-0.2425991	No	
row_98	UBC	NA	11470	-0.0036227416712790728	-0.24797234	No	
row_99	DDOST	NA	11495	-0.0038637781981378794	-0.24898428	No	
row_100	CERS2	NA	11590	-0.004960257560014725	-0.25333896	No	
row_101	VPS36	NA	11623	-0.005359023343771696	-0.25468025	No	
row_102	EIF2AK1	NA	11657	-0.005900964606553316	-0.256049	No	
row_103	NFS1	NA	11808	-0.007694858126342297	-0.26300645	No	
row_104	MALAT1	NA	11821	-0.007879271171987057	-0.26328367	No	
row_105	CFL1	NA	11943	-0.0092373201623559	-0.26877946	No	
row_106	RPS2	NA	11954	-0.009351925924420357	-0.26890334	No	
