NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YAP1	NA	403	0.27075642347335815	-0.010836363	No	
row_1	MEF2C	NA	498	0.25744524598121643	-0.007058008	No	
row_2	CNBD2	NA	579	0.24865780770778656	-0.0028831298	No	
row_3	BTK	NA	802	0.2270205169916153	-0.006325202	No	
row_4	LIMD1-AS1	NA	1613	0.18024854362010956	-0.039917957	No	
row_5	ZNF490	NA	1671	0.1784277856349945	-0.03690249	No	
row_6	SVOP	NA	1878	0.1704130619764328	-0.041402705	No	
row_7	GPX8	NA	1964	0.167142853140831	-0.040116962	No	
row_8	ZBTB37	NA	2392	0.15241308510303497	-0.055962976	No	
row_9	VTCN1	NA	2739	0.1417301446199417	-0.06821142	No	
row_10	DNAI1	NA	2854	0.13787928223609924	-0.06928762	No	
row_11	ZNF252P	NA	3088	0.13190896809101105	-0.07635229	No	
row_12	RAPGEF3	NA	3148	0.13032867014408112	-0.074995324	No	
row_13	NUTM1	NA	3200	0.12890635430812836	-0.07329497	No	
row_14	GPC6	NA	3201	0.1288786083459854	-0.06911206	No	
row_15	GARS1-DT	NA	3486	0.12205993384122849	-0.078979835	No	
row_16	NOXA1	NA	3503	0.12160854041576385	-0.07581201	No	
row_17	FRG1EP	NA	3919	0.11195982992649078	-0.09238664	No	
row_18	CCDC57	NA	4009	0.11004608869552612	-0.09314882	No	
row_19	FBXL19-AS1	NA	4094	0.10799333453178406	-0.09373415	No	
row_20	KIF3B	NA	4602	0.09720819443464279	-0.1152675	No	
row_21	ARHGEF38	NA	4789	0.0932612493634224	-0.121297866	No	
row_22	COX16	NA	4839	0.09219172596931458	-0.12069173	No	
row_23	ADPRHL1	NA	4873	0.0914628729224205	-0.11933013	No	
row_24	NAIF1	NA	4887	0.09129057079553604	-0.11700022	No	
row_25	LINC01547	NA	5019	0.08847545832395554	-0.120507695	No	
row_26	ETFBKMT	NA	5068	0.08755733072757721	-0.120003276	No	
row_27	CHCHD5	NA	5076	0.08741436898708344	-0.11750701	No	
row_28	GGA1	NA	5116	0.08660155534744263	-0.11659536	No	
row_29	DNLZ	NA	5126	0.08642923831939697	-0.11422846	No	
row_30	PFDN5	NA	5174	0.08568525314331055	-0.11373611	No	
row_31	EXD3	NA	5253	0.08404674381017685	-0.11480648	No	
row_32	PNKD	NA	5276	0.08364365249872208	-0.11316302	No	
row_33	MORF4L2-AS1	NA	5619	0.07726531475782394	-0.12730896	No	
row_34	GTSE1-DT	NA	5647	0.07663167268037796	-0.12613656	No	
row_35	UBL7-AS1	NA	5812	0.074033223092556	-0.13171971	No	
row_36	SVIP	NA	5934	0.07179683446884155	-0.13528155	No	
row_37	CA13	NA	6028	0.0702471137046814	-0.13753022	No	
row_38	SLC25A14	NA	6059	0.06987346708774567	-0.13672325	No	
row_39	VPS25	NA	6097	0.06942728906869888	-0.13627163	No	
row_40	SELENOH	NA	6109	0.06916341185569763	-0.13456249	No	
row_41	TIMM8B	NA	6287	0.06589403003454208	-0.14104283	No	
row_42	GABARAP	NA	6429	0.06372147798538208	-0.14584067	No	
row_43	YTHDF3-AS1	NA	6454	0.06335648149251938	-0.14495304	No	
row_44	INO80C	NA	6463	0.06328680366277695	-0.14328855	No	
row_45	ING1	NA	6551	0.06190510094165802	-0.14551581	No	
row_46	MCAT	NA	6725	0.059104371815919876	-0.15202175	No	
row_47	MRPL52	NA	6880	0.05671560764312744	-0.15768	No	
row_48	MEF2C-AS1	NA	6958	0.05541975423693657	-0.1596308	No	
row_49	ZMAT2	NA	7033	0.054239463061094284	-0.16147383	No	
row_50	ZNF646	NA	7150	0.05257955938577652	-0.16541591	No	
row_51	UBE2L3	NA	7228	0.05126338452100754	-0.16750161	No	
row_52	AXDND1	NA	7249	0.05104385316371918	-0.16681883	No	
row_53	C11orf52	NA	7275	0.05071698874235153	-0.16639012	No	
row_54	SLC7A7	NA	7324	0.05000417307019234	-0.16710454	No	
row_55	HSPE1	NA	7384	0.049312788993120193	-0.16837704	No	
row_56	MIR7-3HG	NA	7406	0.04899713769555092	-0.16780938	No	
row_57	RND1	NA	7471	0.048021119087934494	-0.16936727	No	
row_58	MORF4L2	NA	7508	0.04751274362206459	-0.16957821	No	
row_59	SLC52A3	NA	7700	0.04444970190525055	-0.17743629	No	
row_60	DDX23	NA	7719	0.04417076334357262	-0.17687918	No	
row_61	HIKESHI	NA	7786	0.04313254728913307	-0.17869313	No	
row_62	PSMA4	NA	7974	0.04034101217985153	-0.18648978	No	
row_63	DPM1	NA	7987	0.04015900194644928	-0.18577072	No	
row_64	GPR108	NA	8025	0.039608247578144073	-0.1862869	No	
row_65	VPS51	NA	8098	0.038384225219488144	-0.18854713	No	
row_66	MECOM	NA	8146	0.037863198667764664	-0.1896069	No	
row_67	THAP1	NA	8184	0.03749118372797966	-0.19019179	No	
row_68	BRD9	NA	8194	0.037368159741163254	-0.18941723	No	
row_69	ZFYVE26	NA	8200	0.03732771798968315	-0.18844919	No	
row_70	C19orf53	NA	8340	0.03540142625570297	-0.19406879	No	
row_71	SCNM1	NA	8351	0.03528403863310814	-0.19341056	No	
row_72	SDHD	NA	8357	0.03518971428275108	-0.19251192	No	
row_73	ATP5PF	NA	8364	0.035102277994155884	-0.1916648	No	
row_74	MYL12B	NA	8437	0.03400350734591484	-0.19406721	No	
row_75	KRT8	NA	8445	0.03390228748321533	-0.19330774	No	
row_76	OXLD1	NA	8513	0.033082373440265656	-0.19549657	No	
row_77	HSPA8	NA	8662	0.031126433983445168	-0.20169319	No	
row_78	TDP1	NA	8685	0.03082953952252865	-0.20176387	No	
row_79	ATP5MPL	NA	8764	0.02982095070183277	-0.2045942	No	
row_80	LRRC28	NA	8772	0.02973560057580471	-0.20396997	No	
row_81	NCBP2AS2	NA	8797	0.029338417574763298	-0.20418642	No	
row_82	FGFR1OP2	NA	8803	0.029296673834323883	-0.20347905	No	
row_83	FFAR4	NA	8817	0.029112370684742928	-0.2031672	No	
row_84	ARPC3	NA	8822	0.029041949659585953	-0.2024194	No	
row_85	GPBP1	NA	8883	0.028335371986031532	-0.20442145	No	
row_86	EPN3	NA	9003	0.026709329336881638	-0.20934926	No	
row_87	SMARCD2	NA	9063	0.025945965200662613	-0.21138015	No	
row_88	ULK4	NA	9093	0.02558988332748413	-0.21196176	No	
row_89	GIHCG	NA	9133	0.025172235444188118	-0.21304387	No	
row_90	UBOX5	NA	9135	0.02514469251036644	-0.21227647	No	
row_91	TBPL1	NA	9152	0.024944795295596123	-0.21224597	No	
row_92	SMG7-AS1	NA	9322	0.022512760013341904	-0.21974474	No	
row_93	ATP6V1D	NA	9380	0.021825335919857025	-0.221812	No	
row_94	EMC7	NA	9385	0.021799234673380852	-0.22129926	No	
row_95	STARD10	NA	9392	0.02172810211777687	-0.22088622	No	
row_96	GFM2	NA	9400	0.021587997674942017	-0.22052641	No	
row_97	HSH2D	NA	9419	0.021308962255716324	-0.22071132	No	
row_98	SEC61G-DT	NA	9505	0.02005145326256752	-0.2241996	No	
row_99	PPP2R3C	NA	9585	0.01897103525698185	-0.22743078	No	
row_100	WDR55	NA	9597	0.01883278600871563	-0.22735518	No	
row_101	LSM5	NA	9611	0.01866106316447258	-0.22738254	No	
row_102	LMAN2	NA	9660	0.0181085467338562	-0.22913218	No	
row_103	NOP10	NA	9661	0.018108054995536804	-0.22854446	No	
row_104	ESRP2	NA	9680	0.017877625301480293	-0.22884072	No	
row_105	FIBP	NA	9786	0.016467317938804626	-0.23341924	No	
row_106	FADD	NA	9789	0.016404706984758377	-0.23298419	No	
row_107	NFKB2	NA	9840	0.015676716342568398	-0.23491013	No	
row_108	STMN3	NA	9945	0.014587732031941414	-0.23950094	No	
row_109	SEC61G	NA	9956	0.014470069669187069	-0.23951825	No	
row_110	RPS7	NA	10004	0.013880529440939426	-0.2413564	No	
row_111	GAS5	NA	10161	0.01223329920321703	-0.24855578	No	
row_112	ZNF846	NA	10180	0.01198321208357811	-0.24904336	No	
row_113	CARS2	NA	10270	0.010784413665533066	-0.2530272	No	
row_114	PIGT	NA	10328	0.009997997432947159	-0.25547832	No	
row_115	MKKS	NA	10361	0.009617130272090435	-0.25672442	No	
row_116	SF3B2	NA	10381	0.009426888078451157	-0.25734365	No	
row_117	PCLAF	NA	10388	0.009372911415994167	-0.2573316	No	
row_118	TM9SF2	NA	10390	0.0093339579179883	-0.25707737	No	
row_119	RPS19	NA	10431	0.008924901485443115	-0.2587355	No	
row_120	COX5B	NA	10601	0.006589753553271294	-0.26675108	No	
row_121	BANF1	NA	10616	0.0063888151198625565	-0.26722544	No	
row_122	NAT1	NA	10662	0.005932424683123827	-0.26922417	No	
row_123	TRAPPC9	NA	10673	0.005793828517198563	-0.26952308	No	
row_124	RPL37	NA	10703	0.00550881028175354	-0.27075645	No	
row_125	CHCHD2	NA	10708	0.0054739657789468765	-0.27077356	No	
row_126	MAN1A2	NA	10715	0.005406567826867104	-0.27089024	No	
row_127	HNRNPF	NA	10730	0.0052632782608270645	-0.27140117	No	
row_128	C8orf76	NA	10772	0.004731397144496441	-0.27324408	No	
row_129	SF3A3	NA	10808	0.004335900768637657	-0.2748077	No	
row_130	SNRPB2	NA	10863	0.0037392987869679928	-0.27731586	No	
row_131	HPS1	NA	10879	0.0035475827753543854	-0.27793112	No	
row_132	COX7C	NA	10896	0.0032792112324386835	-0.27860382	No	
row_133	ECT2	NA	10944	0.002719266340136528	-0.28080422	No	
row_134	ERC2	NA	10999	0.0020029935985803604	-0.28336874	No	
row_135	CHFR	NA	11045	0.0014731910778209567	-0.2855122	No	
row_136	INTS12	NA	11086	0.0010107100242748857	-0.28742722	No	
row_137	SMIM12	NA	11094	8.443613187409937E-4	-0.28774065	No	
row_138	PTPN6	NA	11100	7.419083267450333E-4	-0.28796005	No	
row_139	MEMO1	NA	11130	4.167594015598297E-4	-0.28935868	No	
row_140	UTP3	NA	11137	3.479289298411459E-4	-0.28963956	No	
row_141	RABEPK	NA	11190	-2.500629925634712E-4	-0.29216358	No	
row_142	ANKRD49	NA	11228	-7.389658712781966E-4	-0.29394132	No	
row_143	RPL29	NA	11290	-0.0014204191975295544	-0.2968656	No	
row_144	RPL11	NA	11352	-0.0023498341906815767	-0.29975975	No	
row_145	ZNF410	NA	11389	-0.0026789463590830564	-0.3014258	No	
row_146	CCNI	NA	11395	-0.0027582671027630568	-0.30157974	No	
row_147	RBIS	NA	11444	-0.003249763511121273	-0.30381164	No	
row_148	UBC	NA	11470	-0.0036227416712790728	-0.30491143	No	
row_149	RNF146	NA	11544	-0.004487590864300728	-0.30832052	No	
row_150	RPL36A	NA	11559	-0.004652717150747776	-0.30885124	No	
row_151	ATP6V0D1	NA	11589	-0.0049567436799407005	-0.31010252	No	
row_152	CTDSP2	NA	11618	-0.005255492404103279	-0.3112954	No	
row_153	HARS1	NA	11636	-0.005607498809695244	-0.3119412	No	
row_154	RPL6	NA	11654	-0.0058792969211936	-0.3125782	No	
row_155	EIF2AK1	NA	11657	-0.005900964606553316	-0.3124841	No	
row_156	NSA2	NA	11659	-0.005910390056669712	-0.31234095	No	
row_157	SMCO4	NA	11722	-0.0067736925557255745	-0.3151402	No	
row_158	ERH	NA	11742	-0.0069041564129292965	-0.31584132	No	
row_159	COPS2	NA	11787	-0.007480159401893616	-0.31774113	No	
row_160	E2F6	NA	11804	-0.007656605448573828	-0.31827173	No	
row_161	FBXO34	NA	11814	-0.007769146468490362	-0.31845784	No	
row_162	SYS1	NA	11828	-0.007957279682159424	-0.3188326	No	
row_163	EOLA2	NA	11840	-0.008100089617073536	-0.31910536	No	
row_164	MRPL24	NA	11856	-0.008273297920823097	-0.31956726	No	
row_165	MED4	NA	11861	-0.008310265839099884	-0.3194923	No	
row_166	WEE2-AS1	NA	11866	-0.008359597995877266	-0.31941578	No	
row_167	MRPL1	NA	11932	-0.009115521796047688	-0.3222851	No	
row_168	TRIP13	NA	11959	-0.009406429715454578	-0.32324585	No	
row_169	DR1	NA	11973	-0.009592795744538307	-0.32356754	No	
row_170	NUP42	NA	11980	-0.009683873504400253	-0.32354543	No	
row_171	ANO10	NA	11986	-0.009733475744724274	-0.32347298	No	
row_172	PPP1CC	NA	12046	-0.01022501289844513	-0.32601413	No	
row_173	TUBA1C	NA	12071	-0.010530109517276287	-0.32684103	No	
row_174	FZD1	NA	12082	-0.010652177035808563	-0.32698226	No	
row_175	S100PBP	NA	12177	-0.011860771104693413	-0.33117464	No	
row_176	RPL32	NA	12190	-0.012091892771422863	-0.3313665	No	
row_177	MARCHF5	NA	12204	-0.012240706942975521	-0.33160228	No	
row_178	NUP214	NA	12323	-0.013745451346039772	-0.33690214	No	
row_179	TAF2	NA	12350	-0.014004949480295181	-0.33771366	No	
row_180	AAMP	NA	12352	-0.014053335413336754	-0.33730623	No	
row_181	DHFR2	NA	12356	-0.014143390581011772	-0.33699328	No	
row_182	TSEN54	NA	12366	-0.014219128526747227	-0.33697006	No	
row_183	PSMA1	NA	12393	-0.014530790038406849	-0.3377645	No	
row_184	LYSMD1	NA	12435	-0.015021514147520065	-0.33927345	No	
row_185	ARL14EP	NA	12508	-0.01584242470562458	-0.3422653	No	
row_186	TMEM123	NA	12583	-0.016651920974254608	-0.34532827	No	
row_187	TIMM10	NA	12590	-0.016725528985261917	-0.3450776	No	
row_188	STX19	NA	12742	-0.018657756969332695	-0.351825	No	
row_189	TRIP4	NA	12755	-0.018835248425602913	-0.351798	No	
row_190	TRIP10	NA	12932	-0.021150359883904457	-0.35968187	No	
row_191	EIF1AD	NA	12979	-0.021790901198983192	-0.36121458	No	
row_192	VAMP7	NA	12999	-0.022136077284812927	-0.36142135	No	
row_193	PPP2R1A	NA	13016	-0.02227761223912239	-0.3614774	No	
row_194	SPPL2A	NA	13019	-0.02229565568268299	-0.36085117	No	
row_195	SMG8	NA	13029	-0.02243100106716156	-0.3605614	No	
row_196	TOR1AIP1	NA	13054	-0.022696474567055702	-0.36099344	No	
row_197	PDCD2	NA	13090	-0.023156974464654922	-0.36194617	No	
row_198	PRORP	NA	13142	-0.023853428661823273	-0.36365542	No	
row_199	C11orf65	NA	13164	-0.024095291271805763	-0.36389598	No	
row_200	RBSN	NA	13172	-0.024177690967917442	-0.36345214	No	
row_201	MTPN	NA	13233	-0.024990804493427277	-0.36556274	No	
row_202	KCTD5	NA	13287	-0.02551344782114029	-0.3673155	No	
row_203	CISD1	NA	13292	-0.025601334869861603	-0.36667934	No	
row_204	INTS13	NA	13295	-0.025636058300733566	-0.36594468	No	
row_205	PTPN11	NA	13371	-0.02648945339024067	-0.36873707	No	
row_206	DHX8	NA	13372	-0.02648998238146305	-0.3678773	No	
row_207	FRG1	NA	13401	-0.026812467724084854	-0.36837053	No	
row_208	GTSE1	NA	13423	-0.02716994285583496	-0.3685113	No	
row_209	CUL9	NA	13505	-0.028061874210834503	-0.3715448	No	
row_210	DIABLO	NA	13543	-0.028453458100557327	-0.37242302	No	
row_211	PPP1R9B	NA	13606	-0.029424287378787994	-0.37448713	No	
row_212	DELE1	NA	13688	-0.030534110963344574	-0.3774404	No	
row_213	NOP16	NA	13732	-0.031168052926659584	-0.3785227	No	
row_214	RBM22	NA	13762	-0.0314817875623703	-0.37891307	No	
row_215	SACM1L	NA	13899	-0.033450718969106674	-0.3844499	No	
row_216	PPP4R3B	NA	13922	-0.033659376204013824	-0.38442874	No	
row_217	IL5	NA	13984	-0.03433840349316597	-0.38628465	No	
row_218	TTF1	NA	14041	-0.035219624638557434	-0.38786846	No	
