NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SDCBP2-AS1	NA	612	0.24509653449058533	-0.015233914	No	
row_1	ZSCAN12	NA	1772	0.17462053894996643	-0.06094815	No	
row_2	ZMIZ1-AS1	NA	2592	0.14548245072364807	-0.0919653	No	
row_3	PPP5D1	NA	2829	0.13884492218494415	-0.095257774	No	
row_4	GARS1-DT	NA	3486	0.12205993384122849	-0.11977959	No	
row_5	BMERB1	NA	3718	0.11716568470001221	-0.12409368	No	
row_6	UTS2B	NA	3828	0.11448679864406586	-0.12268117	No	
row_7	LONRF3	NA	4677	0.09558844566345215	-0.15800275	No	
row_8	LRRC59	NA	4968	0.08959243446588516	-0.16676773	No	
row_9	STX8	NA	5500	0.07931379228830338	-0.18775201	No	
row_10	ZNHIT1	NA	5521	0.07889356464147568	-0.1841212	No	
row_11	ZGPAT	NA	5564	0.07823748886585236	-0.18158941	No	
row_12	AHNAK	NA	5600	0.07753342390060425	-0.1787611	No	
row_13	HDAC2-AS2	NA	5672	0.07626349478960037	-0.17774262	No	
row_14	REX1BD	NA	5825	0.07371091097593307	-0.18077849	No	
row_15	CCDC169	NA	5837	0.07339152693748474	-0.17703418	No	
row_16	NUF2	NA	5963	0.0713040679693222	-0.17890836	No	
row_17	HAGH	NA	6317	0.06549382209777832	-0.19211473	No	
row_18	VWA8-AS1	NA	6340	0.0652247816324234	-0.1893765	No	
row_19	UBE2B	NA	6646	0.06035987287759781	-0.20056741	No	
row_20	ACTL8	NA	6875	0.0568632036447525	-0.20824918	No	
row_21	COA5	NA	6925	0.055946286767721176	-0.20735328	No	
row_22	MAPKAPK5-AS1	NA	6999	0.05472777783870697	-0.20768557	No	
row_23	THAP4	NA	7171	0.052318889647722244	-0.21288359	No	
row_24	ESRRA	NA	7245	0.05108274146914482	-0.2134282	No	
row_25	CD63	NA	7261	0.05087669566273689	-0.21118815	No	
row_26	COA6	NA	7304	0.050357069820165634	-0.21028027	No	
row_27	COX4I1	NA	7750	0.043698735535144806	-0.22919218	No	
row_28	TRIAP1	NA	8305	0.035853736102581024	-0.2538168	No	
row_29	TOMM5	NA	8349	0.03529525175690651	-0.25383443	No	
row_30	SCNM1	NA	8351	0.03528403863310814	-0.25182754	No	
row_31	NDUFA11	NA	8571	0.032393790781497955	-0.26050055	No	
row_32	GNAS-AS1	NA	8627	0.03155140206217766	-0.26131484	No	
row_33	PEMT	NA	8649	0.03128673881292343	-0.26050514	No	
row_34	NCBP2AS2	NA	8797	0.029338417574763298	-0.2658844	No	
row_35	TSFM	NA	9059	0.025999726727604866	-0.276955	No	
row_36	COMMD1	NA	9134	0.025157898664474487	-0.27905786	No	
row_37	MRPL15	NA	9215	0.024066099897027016	-0.28151357	No	
row_38	TIMM13	NA	9228	0.023896025493741035	-0.2807004	No	
row_39	POLR2J	NA	9492	0.02019430510699749	-0.29220557	No	
row_40	CALM3	NA	9603	0.018719704821705818	-0.29641926	No	
row_41	DNAJC19	NA	9803	0.016135970130562782	-0.30507487	No	
row_42	RANBP1	NA	9818	0.01592828333377838	-0.30482218	No	
row_43	NFKB2	NA	9840	0.015676716342568398	-0.30492166	No	
row_44	NDUFAF5	NA	10091	0.01299116387963295	-0.31621957	No	
row_45	SURF4	NA	10244	0.011092659085988998	-0.32290265	No	
row_46	SSU72	NA	10315	0.010307665914297104	-0.32567757	No	
row_47	GFER	NA	10319	0.010233825072646141	-0.32522616	No	
row_48	YBX1	NA	10423	0.008999355137348175	-0.32966846	No	
row_49	PDAP1	NA	10475	0.008370225317776203	-0.3316401	No	
row_50	PARL	NA	10502	0.008033794350922108	-0.33242583	No	
row_51	FBXW8	NA	10536	0.007553269155323505	-0.3335771	No	
row_52	BANF1	NA	10616	0.0063888151198625565	-0.33701423	No	
row_53	HNRNPF	NA	10730	0.0052632782608270645	-0.34215632	No	
row_54	RPL35A	NA	10818	0.004266337025910616	-0.34610283	No	
row_55	TIMM22	NA	10842	0.003972349688410759	-0.34698048	No	
row_56	PRMT1	NA	10908	0.0031476079020649195	-0.34993133	No	
row_57	TMED2	NA	11010	0.0018550879321992397	-0.35469335	No	
row_58	HRAS	NA	11068	0.0011530310148373246	-0.35737464	No	
row_59	SMIM12	NA	11094	8.443613187409937E-4	-0.3585309	No	
row_60	MEMO1	NA	11130	4.167594015598297E-4	-0.36019427	No	
row_61	AURKB	NA	11244	-9.357730741612613E-4	-0.36558846	No	
row_62	GUSB	NA	11258	-0.00110950181260705	-0.36615065	No	
row_63	TCP11L2	NA	11323	-0.0020103577990084887	-0.36911952	No	
row_64	TM2D3	NA	11503	-0.0039466992020606995	-0.37752074	No	
row_65	CCT2	NA	11537	-0.004400041885674	-0.37885568	No	
row_66	WTAP	NA	11639	-0.005650382488965988	-0.3833966	No	
row_67	MTG1	NA	11676	-0.006136692129075527	-0.38477504	No	
row_68	CCT4	NA	11786	-0.007475588005036116	-0.38959542	No	
row_69	RPS17	NA	11904	-0.008886873722076416	-0.39471933	No	
row_70	TRA2B	NA	11962	-0.00945227313786745	-0.39691725	No	
row_71	UBA52	NA	12053	-0.010309051722288132	-0.40065643	No	
row_72	YWHAE	NA	12106	-0.010825230740010738	-0.40253326	No	
row_73	S100PBP	NA	12177	-0.011860771104693413	-0.4052177	No	
row_74	GPN3	NA	12180	-0.011876559816300869	-0.4046224	No	
row_75	MRPL45P2	NA	12228	-0.012494250200688839	-0.40616095	No	
row_76	YTHDF2	NA	12247	-0.01277131587266922	-0.406285	No	
row_77	RNPS1	NA	12261	-0.012984100729227066	-0.4061556	No	
row_78	UBE2D3	NA	12296	-0.013397809118032455	-0.40701464	No	
row_79	RPL23A	NA	12395	-0.014551766216754913	-0.41089246	No	
row_80	LYSMD1	NA	12435	-0.015021514147520065	-0.41189805	No	
row_81	ATG4B	NA	12461	-0.015276817604899406	-0.4122137	No	
row_82	SOX2-OT	NA	12608	-0.016962680965662003	-0.41826558	No	
row_83	KDM5C	NA	12670	-0.01778983697295189	-0.42017072	No	
row_84	WASHC2C	NA	12728	-0.01850559562444687	-0.42184132	No	
row_85	PRSS21	NA	12764	-0.018910124897956848	-0.42242754	No	
row_86	SPNS1	NA	12791	-0.01929396577179432	-0.4225574	No	
row_87	UNC50	NA	12811	-0.019476288929581642	-0.42233917	No	
row_88	NOP56	NA	12950	-0.021338388323783875	-0.42775044	No	
row_89	TMEM248	NA	12952	-0.02136779949069023	-0.42655408	No	
row_90	MGME1	NA	12966	-0.021509693935513496	-0.4259281	No	
row_91	EIF1AD	NA	12979	-0.021790901198983192	-0.4252375	No	
row_92	SPRYD4	NA	13014	-0.022270217537879944	-0.4255798	No	
row_93	LARP7	NA	13060	-0.022740935906767845	-0.42642507	No	
row_94	MAPKAPK5	NA	13143	-0.02385542169213295	-0.4289895	No	
row_95	EMC8	NA	13173	-0.02419281378388405	-0.4289787	No	
row_96	ANGEL1	NA	13218	-0.024754205718636513	-0.4296585	No	
row_97	RTCB	NA	13304	-0.025716572999954224	-0.4322592	No	
row_98	MCM3AP-AS1	NA	13514	-0.028146915137767792	-0.4406974	No	
row_99	GALE	NA	13695	-0.030683236196637154	-0.44758955	No	
row_100	SCAP	NA	13697	-0.03069714456796646	-0.4458498	No	
row_101	MRPS35	NA	13780	-0.031805191189050674	-0.4479512	No	
row_102	LDHB	NA	13822	-0.03230598568916321	-0.44804648	No	
row_103	RANBP2	NA	13873	-0.03307751566171646	-0.4485308	No	
row_104	TRMT2A	NA	13885	-0.03323032334446907	-0.4471257	No	
row_105	IZUMO4	NA	13904	-0.033483464270830154	-0.44604337	No	
row_106	ARHGDIA	NA	14064	-0.03545258566737175	-0.45164514	No	
row_107	BRWD1	NA	14067	-0.0354795940220356	-0.44967505	No	
row_108	NME1	NA	14148	-0.036628205329179764	-0.45139912	No	
row_109	MRPL3	NA	14212	-0.03750188648700714	-0.45225257	No	
row_110	FNTA	NA	14221	-0.03759925812482834	-0.45044833	No	
row_111	MTLN	NA	14247	-0.03801075369119644	-0.44943982	No	
row_112	RGS5	NA	14337	-0.03921465203166008	-0.4514472	No	
row_113	DDX42	NA	14600	-0.04300125688314438	-0.46157578	No	
row_114	TOB2	NA	14606	-0.04311038926243782	-0.4593059	No	
row_115	TRIM27	NA	14800	-0.04578955098986626	-0.465945	No	
row_116	PTBP1	NA	14809	-0.04606352373957634	-0.46364778	No	
row_117	SLC25A51	NA	14820	-0.04618951305747032	-0.46143964	No	
row_118	EIF3E	NA	15000	-0.048482708632946014	-0.46724683	No	
row_119	SUDS3	NA	15091	-0.049726907163858414	-0.46869013	No	
row_120	GABPB1	NA	15299	-0.052843112498521805	-0.47559348	No	
row_121	G6PC3	NA	15405	-0.054207123816013336	-0.4774991	Yes	
row_122	MOB3A	NA	15430	-0.05449056997895241	-0.47548252	Yes	
row_123	PDXK	NA	15495	-0.05555682256817818	-0.47533256	Yes	
row_124	ATG4C	NA	15501	-0.05562833696603775	-0.47233358	Yes	
row_125	MRPL4	NA	15519	-0.05599571391940117	-0.46989182	Yes	
row_126	SOD2	NA	15520	-0.056000567972660065	-0.46663004	Yes	
row_127	SNX5	NA	15531	-0.05613857880234718	-0.46384242	Yes	
row_128	RAD23B	NA	15578	-0.05701785907149315	-0.46273944	Yes	
row_129	HNRNPUL1	NA	15613	-0.057407449930906296	-0.46103516	Yes	
row_130	AP4B1	NA	15623	-0.05758856236934662	-0.45811486	Yes	
row_131	TRPC4AP	NA	15863	-0.06153948977589607	-0.46605465	Yes	
row_132	SNX12	NA	15914	-0.062326591461896896	-0.46483535	Yes	
row_133	ARFRP1	NA	15954	-0.06282898038625717	-0.4630564	Yes	
row_134	BUD13	NA	16118	-0.0654057189822197	-0.4671064	Yes	
row_135	PKM	NA	16167	-0.06626417487859726	-0.4655613	Yes	
row_136	MYADM	NA	16229	-0.06746523082256317	-0.4645731	Yes	
row_137	ATF6	NA	16252	-0.0679212436079979	-0.4616778	Yes	
row_138	ARHGAP11A	NA	16280	-0.0683458223938942	-0.4589989	Yes	
