NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFX4	NA	135	0.3392440974712372	0.015054343	Yes	
row_1	SH3BGRL2	NA	138	0.337976336479187	0.036430072	Yes	
row_2	POU4F2	NA	146	0.33355966210365295	0.05728453	Yes	
row_3	HOXA1	NA	191	0.31908276677131653	0.07543827	Yes	
row_4	CREB5	NA	267	0.29698821902275085	0.09069614	Yes	
row_5	SCUBE3	NA	553	0.25162890553474426	0.09296398	Yes	
row_6	ISL1	NA	622	0.2446042001247406	0.10523078	Yes	
row_7	UBXN10	NA	627	0.24420441687107086	0.12055281	Yes	
row_8	CRYAB	NA	847	0.2224266231060028	0.12414229	Yes	
row_9	ESRRG	NA	869	0.2212490439414978	0.13718764	Yes	
row_10	C8orf34	NA	886	0.2201024442911148	0.15040083	Yes	
row_11	IL22	NA	957	0.2150694876909256	0.160695	Yes	
row_12	NCAM2	NA	1035	0.20973165333271027	0.17031309	Yes	
row_13	NEUROD6	NA	1090	0.20608234405517578	0.18080644	Yes	
row_14	CSMD3	NA	1180	0.20136591792106628	0.18931544	Yes	
row_15	GPR22	NA	1316	0.19490982592105865	0.19520007	Yes	
row_16	LIX1	NA	1319	0.1947447657585144	0.20747615	Yes	
row_17	MS4A4A	NA	1531	0.1839856058359146	0.20900851	Yes	
row_18	CDH9	NA	1643	0.17932632565498352	0.21505834	Yes	
row_19	SESN3	NA	1749	0.17556007206439972	0.22115771	Yes	
row_20	CDK14	NA	1898	0.1694842278957367	0.22480129	Yes	
row_21	TMEM47	NA	2219	0.1580238789319992	0.21943757	Yes	
row_22	CTNNA3	NA	2375	0.15295232832431793	0.2216939	Yes	
row_23	PPARGC1A	NA	2457	0.149872824549675	0.22731657	Yes	
row_24	HOXA3	NA	2521	0.14804285764694214	0.2336894	Yes	
row_25	HS3ST5	NA	2536	0.14769551157951355	0.24239877	Yes	
row_26	TDRD5	NA	2554	0.1468336582183838	0.25090897	Yes	
row_27	MEIS2	NA	2593	0.1454729288816452	0.2583219	Yes	
row_28	WNT9A	NA	2974	0.13473889231681824	0.2485908	Yes	
row_29	CACNA1D	NA	2985	0.13449279963970184	0.2566539	Yes	
row_30	SORCS1	NA	2996	0.1340910643339157	0.26469153	Yes	
row_31	HOXD10	NA	3333	0.12544240057468414	0.25648773	Yes	
row_32	SOX5	NA	3375	0.12440414726734161	0.26241773	Yes	
row_33	IL7	NA	3571	0.1204686313867569	0.26068494	Yes	
row_34	EWSAT1	NA	3609	0.11967290937900543	0.2665069	Yes	
row_35	PLAC1	NA	3663	0.11840073764324188	0.27147788	Yes	
row_36	TMEM62	NA	3780	0.11541971564292908	0.27322698	Yes	
row_37	CASQ2	NA	3869	0.11339937150478363	0.27619553	Yes	
row_38	NRP1	NA	3891	0.11272641271352768	0.2823463	Yes	
row_39	ADAMTS3	NA	3892	0.11272384971380234	0.28950778	Yes	
row_40	BACE2	NA	4431	0.10042960941791534	0.26999167	Yes	
row_41	GRM3	NA	4625	0.0965006873011589	0.26683244	Yes	
row_42	TCEAL9	NA	4659	0.0958792045712471	0.2713353	Yes	
row_43	RUNX1T1	NA	4714	0.09486959129571915	0.2747632	Yes	
row_44	TRMT44	NA	4746	0.0943901464343071	0.27926773	Yes	
row_45	ADPRHL1	NA	4873	0.0914628729224205	0.27901348	Yes	
row_46	VASN	NA	4943	0.09019220620393753	0.2814222	Yes	
row_47	KLF14	NA	5235	0.08429744839668274	0.27277046	Yes	
row_48	TMOD4	NA	5270	0.08373566716909409	0.2764537	Yes	
row_49	SLC26A9	NA	5325	0.08282200992107391	0.27911618	Yes	
row_50	RBFOX1	NA	5342	0.08252806216478348	0.28358912	Yes	
row_51	HNF1B	NA	5352	0.08225089311599731	0.2883814	Yes	
row_52	ELAVL4	NA	5472	0.08000704646110535	0.2877363	Yes	
row_53	MYCT1	NA	5478	0.07986169308423996	0.29256934	Yes	
row_54	ELOVL3	NA	5493	0.07949081808328629	0.29694557	Yes	
row_55	PCYT2	NA	5560	0.07831498235464096	0.2987441	Yes	
row_56	KCNJ13	NA	5681	0.07613527029752731	0.2978049	Yes	
row_57	LRTM1	NA	5686	0.07605238258838654	0.30244404	Yes	
row_58	ROS1	NA	5772	0.07470054924488068	0.3030984	Yes	
row_59	NTN4	NA	5862	0.07288975268602371	0.30344516	Yes	
row_60	ARHGAP8	NA	5876	0.07266479730606079	0.3074359	Yes	
row_61	XCR1	NA	5899	0.07235290855169296	0.31097358	Yes	
row_62	ONECUT2	NA	5951	0.07152927666902542	0.31306303	Yes	
row_63	SATB2	NA	6010	0.07056553661823273	0.31475434	Yes	
row_64	LPAR4	NA	6198	0.06744346022605896	0.31003788	No	
row_65	NEK6	NA	6208	0.06724241375923157	0.31387666	No	
row_66	FOXP2	NA	6584	0.06140787526965141	0.2997274	No	
row_67	MGLL	NA	6669	0.06003262847661972	0.29949802	No	
row_68	SALL3	NA	6781	0.05817731097340584	0.29785115	No	
row_69	ASIC2	NA	6858	0.05704305320978165	0.2978169	No	
row_70	SOX11	NA	6932	0.055906325578689575	0.29785484	No	
row_71	LGI1	NA	6957	0.055450670421123505	0.30022246	No	
row_72	RTN1	NA	7040	0.0541766993701458	0.2997173	No	
row_73	SIX1	NA	7105	0.05314531922340393	0.30001307	No	
row_74	HOXB5	NA	7184	0.05205516889691353	0.29956567	No	
row_75	NDUFA1	NA	7283	0.0506872721016407	0.29806867	No	
row_76	C12orf42	NA	7464	0.04815266281366348	0.2924636	No	
row_77	EHF	NA	7626	0.045583050698041916	0.28760985	No	
row_78	DNAJC1	NA	7682	0.044807009398937225	0.28780907	No	
row_79	CYP26B1	NA	7703	0.044388528913259506	0.2896664	No	
row_80	HCN1	NA	7837	0.04234091192483902	0.28595445	No	
row_81	CPNE1	NA	7916	0.04118216410279274	0.2848163	No	
row_82	SEMG1	NA	8235	0.03695216774940491	0.27185705	No	
row_83	STOML2	NA	8360	0.03513158857822418	0.2681203	No	
row_84	CLEC1B	NA	8793	0.029376864433288574	0.2491924	No	
row_85	CDK2AP1	NA	8902	0.028085840865969658	0.24577817	No	
row_86	TOB1	NA	9280	0.023237813264131546	0.22910768	No	
