NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DSPP	NA	2	0.6661233305931091	0.02218405	Yes	
row_1	JUN	NA	9	0.5522751808166504	0.040366363	Yes	
row_2	RNF144B	NA	232	0.3042345941066742	0.03979354	Yes	
row_3	CREB5	NA	267	0.29698821902275085	0.048081126	Yes	
row_4	FGF7	NA	385	0.2737750709056854	0.05157348	Yes	
row_5	RHD	NA	485	0.25877031683921814	0.055435494	Yes	
row_6	MEF2C	NA	498	0.25744524598121643	0.06346565	Yes	
row_7	CDC42EP3	NA	541	0.25283730030059814	0.06988909	Yes	
row_8	SCUBE3	NA	553	0.25162890553474426	0.07777312	Yes	
row_9	CSF2	NA	587	0.24817419052124023	0.08447637	Yes	
row_10	ISL1	NA	622	0.2446042001247406	0.09101178	Yes	
row_11	FLRT3	NA	704	0.23490962386131287	0.09494723	Yes	
row_12	FMO1	NA	950	0.21565291285514832	0.09029783	Yes	
row_13	IL22	NA	957	0.2150694876909256	0.09720109	Yes	
row_14	RIMS1	NA	972	0.21388934552669525	0.10367752	Yes	
row_15	PCDH11Y	NA	1066	0.2076488584280014	0.1061201	Yes	
row_16	SOHLH2	NA	1208	0.19988054037094116	0.10597873	Yes	
row_17	LIX1	NA	1319	0.1947447657585144	0.107166566	Yes	
row_18	LEMD1	NA	1342	0.19358451664447784	0.11257648	Yes	
row_19	HMGCS1	NA	1469	0.18680748343467712	0.11272411	Yes	
row_20	ANGPT2	NA	1513	0.18458372354507446	0.116816156	Yes	
row_21	NECTIN2	NA	1518	0.18435876071453094	0.122789025	Yes	
row_22	MYO1C	NA	1521	0.18428772687911987	0.12885635	Yes	
row_23	PAX2	NA	1525	0.18421639502048492	0.13487287	Yes	
row_24	RBPMS	NA	1539	0.18365751206874847	0.1403865	Yes	
row_25	PPP1R17	NA	1607	0.18049225211143494	0.14317964	Yes	
row_26	NFIA	NA	1655	0.17892108857631683	0.1468886	Yes	
row_27	ECHDC2	NA	1666	0.17864099144935608	0.15237969	Yes	
row_28	TRIM15	NA	1680	0.17800159752368927	0.15770416	Yes	
row_29	FZD4	NA	1710	0.17675934731960297	0.16221236	Yes	
row_30	MYL7	NA	1711	0.17674794793128967	0.16812432	Yes	
row_31	MASP1	NA	1715	0.1766263097524643	0.17388697	Yes	
row_32	HPSE2	NA	1754	0.17545655369758606	0.17791581	Yes	
row_33	CALHM5	NA	1810	0.17315874993801117	0.18104468	Yes	
row_34	TRIM10	NA	1816	0.1729794293642044	0.1865885	Yes	
row_35	CDK14	NA	1898	0.1694842278957367	0.18833557	Yes	
row_36	ZG16	NA	1969	0.1670265644788742	0.19053303	Yes	
row_37	PPP2R3A	NA	2005	0.1651497781276703	0.19436239	Yes	
row_38	NR2F1	NA	2053	0.1635197252035141	0.1975562	Yes	
row_39	GATA1	NA	2185	0.15878820419311523	0.19652453	Yes	
row_40	NAA38	NA	2234	0.15758450329303741	0.19947138	Yes	
row_41	SLC7A8	NA	2302	0.15517939627170563	0.20141785	Yes	
row_42	SLC46A1	NA	2334	0.15415452420711517	0.2050731	Yes	
row_43	GATM	NA	2335	0.15411701798439026	0.2102281	Yes	
row_44	LCN15	NA	2356	0.15344549715518951	0.21439226	Yes	
row_45	CTNNA3	NA	2375	0.15295232832431793	0.21863675	Yes	
row_46	PPARGC1A	NA	2457	0.149872824549675	0.21972784	Yes	
row_47	LYL1	NA	2459	0.14985154569149017	0.22469175	Yes	
row_48	SLC26A7	NA	2504	0.14847055077552795	0.22752742	Yes	
row_49	HS3ST5	NA	2536	0.14769551157951355	0.23096664	Yes	
row_50	TDRD5	NA	2554	0.1468336582183838	0.2350549	Yes	
row_51	KCNH5	NA	2573	0.1459723711013794	0.23906593	Yes	
row_52	PTPRR	NA	2578	0.14578893780708313	0.24374868	Yes	
row_53	KRT72	NA	2585	0.14564365148544312	0.24832974	Yes	
row_54	MEIS2	NA	2593	0.1454729288816452	0.25285667	Yes	
row_55	KRT80	NA	2603	0.1452365219593048	0.25727886	Yes	
row_56	SGIP1	NA	2665	0.14341722428798676	0.2591224	Yes	
row_57	GFRA3	NA	2693	0.14283131062984467	0.26259258	Yes	
row_58	TSPAN12	NA	2839	0.13841648399829865	0.26020166	Yes	
row_59	FMO4	NA	2902	0.1366865038871765	0.26177165	Yes	
row_60	USH1G	NA	2926	0.13590271770954132	0.26520374	Yes	
row_61	KRT23	NA	2955	0.13529901206493378	0.26837358	Yes	
row_62	AQP2	NA	3065	0.13256745040416718	0.26753008	Yes	
row_63	FIGN	NA	3106	0.13145232200622559	0.26999024	Yes	
row_64	ADCYAP1	NA	3111	0.1313287913799286	0.27418932	Yes	
row_65	REG4	NA	3193	0.12906049191951752	0.27458426	Yes	
row_66	EYA1	NA	3226	0.1282639503479004	0.2773251	Yes	
row_67	HOXD10	NA	3333	0.12544240057468414	0.27638853	Yes	
row_68	SOX5	NA	3375	0.12440414726734161	0.2785645	Yes	
row_69	NRXN3	NA	3397	0.12377878278493881	0.28168792	Yes	
row_70	CTSE	NA	3427	0.12306998670101166	0.28440028	Yes	
row_71	PNLIPRP2	NA	3434	0.12290584295988083	0.2882208	Yes	
row_72	EPB42	NA	3439	0.12282956391572952	0.2921356	Yes	
