NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCRIP2	NA	2495	0.1487857699394226	-0.10000857	No	
row_1	RORC	NA	6456	0.06334424763917923	-0.2812359	No	
row_2	EVI2A	NA	6668	0.06004994735121727	-0.28351408	No	
row_3	RASGRP1	NA	8212	0.037193309515714645	-0.3524999	No	
row_4	ELOVL4	NA	10246	0.011072937399148941	-0.44833112	No	
row_5	CD69	NA	10369	0.009519025683403015	-0.4529292	No	
row_6	TASP1	NA	10477	0.008360737934708595	-0.4569604	No	
row_7	APRT	NA	12252	-0.012830961495637894	-0.54017043	No	
row_8	FKBP4	NA	12315	-0.013635990209877491	-0.54136175	No	
row_9	RITA1	NA	12553	-0.01627594791352749	-0.5505826	No	
row_10	PTPRC	NA	13161	-0.02408856339752674	-0.57648975	No	
row_11	AEN	NA	13653	-0.0300162211060524	-0.59607494	No	
row_12	NOP16	NA	13732	-0.031168052926659584	-0.59574944	No	
row_13	VARS1	NA	14209	-0.03746140003204346	-0.6136477	No	
row_14	EVL	NA	14949	-0.047828029841184616	-0.6427801	No	
row_15	SHQ1	NA	14999	-0.04845583066344261	-0.6388165	No	
row_16	MRPL4	NA	15519	-0.05599571391940117	-0.6563593	No	
row_17	CCDC86	NA	16711	-0.0754690021276474	-0.7035202	No	
row_18	SLC29A1	NA	16812	-0.07755695283412933	-0.6982083	No	
row_19	E2F5	NA	17339	-0.08733081817626953	-0.7120067	No	
row_20	PMEPA1	NA	17473	-0.08997462689876556	-0.7066572	No	
row_21	DHX37	NA	17666	-0.09411051869392395	-0.7035921	No	
row_22	SRM	NA	18797	-0.12311392277479172	-0.74163175	Yes	
row_23	P2RX5	NA	18907	-0.12651754915714264	-0.7303766	Yes	
row_24	MRTO4	NA	19027	-0.1305885910987854	-0.7190699	Yes	
row_25	ESF1	NA	19407	-0.14597320556640625	-0.7182006	Yes	
row_26	AKAP13	NA	19533	-0.15299171209335327	-0.7042645	Yes	
row_27	MYBBP1A	NA	19561	-0.1547723412513733	-0.6854076	Yes	
row_28	TMEM131L	NA	19644	-0.1591060310602188	-0.6686181	Yes	
row_29	TRMT1	NA	19677	-0.16111749410629272	-0.6491744	Yes	
row_30	MYC	NA	19885	-0.17281579971313477	-0.63658094	Yes	
row_31	WDR3	NA	19929	-0.17564666271209717	-0.6157721	Yes	
row_32	IFRD2	NA	20019	-0.18236495554447174	-0.59628963	Yes	
row_33	FARSB	NA	20057	-0.18585547804832458	-0.5738647	Yes	
row_34	GPATCH4	NA	20078	-0.18728144466876984	-0.5504407	Yes	
row_35	TCOF1	NA	20205	-0.19747354090213776	-0.53076166	Yes	
row_36	PUS7	NA	20350	-0.21476908028125763	-0.50969225	Yes	
row_37	PWP2	NA	20588	-0.25752514600753784	-0.4875065	Yes	
row_38	NOTCH3	NA	20594	-0.25901979207992554	-0.4540257	Yes	
row_39	METTL7A	NA	20681	-0.2823074460029602	-0.42138883	Yes	
row_40	DTX1	NA	20844	-0.3683433532714844	-0.38118786	Yes	
row_41	CR2	NA	20845	-0.3691841959953308	-0.33312625	Yes	
row_42	PCBP3	NA	20863	-0.3804652988910675	-0.28440943	Yes	
row_43	RHOU	NA	20868	-0.395851731300354	-0.23306754	Yes	
row_44	PPRC1	NA	20870	-0.3990699350833893	-0.18116315	Yes	
row_45	IGF1R	NA	20872	-0.39944979548454285	-0.12920931	Yes	
row_46	HES1	NA	20886	-0.4160192310810089	-0.07567257	Yes	
row_47	LZTFL1	NA	20929	-0.6033289432525635	8.6120574E-4	Yes	
