NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCRIP2	NA	2495	0.1487857699394226	-0.09865581	No	
row_1	TASP1	NA	10477	0.008360737934708595	-0.47923177	No	
row_2	APRT	NA	12252	-0.012830961495637894	-0.56230015	No	
row_3	FKBP4	NA	12315	-0.013635990209877491	-0.56337017	No	
row_4	RITA1	NA	12553	-0.01627594791352749	-0.5724436	No	
row_5	AEN	NA	13653	-0.0300162211060524	-0.6208373	No	
row_6	NOP16	NA	13732	-0.031168052926659584	-0.6202355	No	
row_7	VARS1	NA	14209	-0.03746140003204346	-0.6377956	No	
row_8	EVL	NA	14949	-0.047828029841184616	-0.66649425	No	
row_9	SHQ1	NA	14999	-0.04845583066344261	-0.6621023	No	
row_10	MRPL4	NA	15519	-0.05599571391940117	-0.6791427	No	
row_11	CCDC86	NA	16711	-0.0754690021276474	-0.7256186	No	
row_12	SLC29A1	NA	16812	-0.07755695283412933	-0.71962076	No	
row_13	E2F5	NA	17339	-0.08733081817626953	-0.7326402	No	
row_14	PMEPA1	NA	17473	-0.08997462689876556	-0.72649467	No	
row_15	DHX37	NA	17666	-0.09411051869392395	-0.7225962	No	
row_16	SRM	NA	18797	-0.12311392277479172	-0.75953144	Yes	
row_17	P2RX5	NA	18907	-0.12651754915714264	-0.7471582	Yes	
row_18	MRTO4	NA	19027	-0.1305885910987854	-0.7346974	Yes	
row_19	ESF1	NA	19407	-0.14597320556640625	-0.73253405	Yes	
row_20	AKAP13	NA	19533	-0.15299171209335327	-0.71724606	Yes	
row_21	MYBBP1A	NA	19561	-0.1547723412513733	-0.6970231	Yes	
row_22	TMEM131L	NA	19644	-0.1591060310602188	-0.6788285	Yes	
row_23	TRMT1	NA	19677	-0.16111749410629272	-0.6579627	Yes	
row_24	MYC	NA	19885	-0.17281579971313477	-0.6438411	Yes	
row_25	WDR3	NA	19929	-0.17564666271209717	-0.6214818	Yes	
row_26	IFRD2	NA	20019	-0.18236495554447174	-0.60038877	Yes	
row_27	FARSB	NA	20057	-0.18585547804832458	-0.5763234	Yes	
row_28	GPATCH4	NA	20078	-0.18728144466876984	-0.55124664	Yes	
row_29	TCOF1	NA	20205	-0.19747354090213776	-0.5298232	Yes	
row_30	PUS7	NA	20350	-0.21476908028125763	-0.5068565	Yes	
row_31	PWP2	NA	20588	-0.25752514600753784	-0.48239475	Yes	
row_32	NOTCH3	NA	20594	-0.25901979207992554	-0.44662842	Yes	
row_33	DTX1	NA	20844	-0.3683433532714844	-0.40733615	Yes	
row_34	CR2	NA	20845	-0.3691841959953308	-0.3560171	Yes	
row_35	PCBP3	NA	20863	-0.3804652988910675	-0.30394304	Yes	
row_36	RHOU	NA	20868	-0.395851731300354	-0.24910836	Yes	
row_37	PPRC1	NA	20870	-0.3990699350833893	-0.19368282	Yes	
row_38	IGF1R	NA	20872	-0.39944979548454285	-0.13820449	Yes	
row_39	HES1	NA	20886	-0.4160192310810089	-0.080996856	Yes	
row_40	LZTFL1	NA	20929	-0.6033289432525635	8.6096E-4	Yes	
