NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BTK	NA	802	0.2270205169916153	-0.02967917	No	
row_1	POU2F3	NA	1165	0.2022305577993393	-0.039027754	No	
row_2	EFHB	NA	1196	0.20063166320323944	-0.0323419	No	
row_3	ZSCAN12	NA	1772	0.17462053894996643	-0.053139534	No	
row_4	DNAJB4	NA	1796	0.17368534207344055	-0.047207583	No	
row_5	GDF15	NA	1928	0.16825707256793976	-0.046733007	No	
row_6	H2BC13	NA	1981	0.16640666127204895	-0.042502653	No	
row_7	ENGASE	NA	2297	0.15538445115089417	-0.051472895	No	
row_8	KLLN	NA	2372	0.15301302075386047	-0.04885281	No	
row_9	ARHGEF37	NA	2410	0.1519961953163147	-0.04447978	No	
row_10	H3C10	NA	2493	0.14884507656097412	-0.04241674	No	
row_11	CPED1	NA	2525	0.14789018034934998	-0.03791936	No	
row_12	ZSCAN16-AS1	NA	2728	0.14191599190235138	-0.0419565	No	
row_13	MPDU1	NA	3115	0.13124042749404907	-0.055349305	No	
row_14	GARS1-DT	NA	3486	0.12205993384122849	-0.06833874	No	
row_15	BMERB1	NA	3718	0.11716568470001221	-0.07478638	No	
row_16	H2AW	NA	3757	0.11604137718677521	-0.07192071	No	
row_17	PXN-AS1	NA	3884	0.11297626793384552	-0.07344668	No	
row_18	NFYC-AS1	NA	4310	0.10335603356361389	-0.089862086	No	
row_19	LDLR	NA	4396	0.10139413923025131	-0.08986984	No	
row_20	PHLDA1	NA	4454	0.09996329993009567	-0.088577874	No	
row_21	THRB	NA	4472	0.09964124858379364	-0.085359305	No	
row_22	ST7L	NA	4640	0.09624028205871582	-0.089552514	No	
row_23	MRPL35	NA	4645	0.09616082161664963	-0.08584476	No	
row_24	HHLA3	NA	4903	0.091034434735775	-0.09461347	No	
row_25	PIH1D1	NA	5125	0.08643219619989395	-0.1018232	No	
row_26	PPP4C	NA	5266	0.08378876745700836	-0.105212346	No	
row_27	BEST1	NA	5439	0.08064965903759003	-0.1102806	No	
row_28	KAT5	NA	5571	0.07809223234653473	-0.11346446	No	
row_29	C12orf73	NA	5608	0.07738017290830612	-0.11207047	No	
row_30	TANK	NA	5655	0.07646884769201279	-0.11119839	No	
row_31	H2AX	NA	5907	0.07223571091890335	-0.120438896	No	
row_32	C12orf57	NA	5943	0.07165469974279404	-0.11922873	No	
row_33	VPS25	NA	6097	0.06942728906869888	-0.12383099	No	
row_34	CDKAL1	NA	6362	0.06476712971925735	-0.13400494	No	
row_35	DUSP1	NA	6384	0.06447572261095047	-0.13240716	No	
row_36	ZSCAN9	NA	6638	0.06050422787666321	-0.14222066	No	
row_37	COA1	NA	6657	0.060233015567064285	-0.14064957	No	
row_38	TRMT12	NA	6726	0.059099722653627396	-0.14154905	No	
row_39	DLGAP1-AS2	NA	6821	0.057527679949998856	-0.14377311	No	
row_40	GTPBP2	NA	6895	0.05640673264861107	-0.14502431	No	
row_41	AGPAT4	NA	6922	0.05599212273955345	-0.14401324	No	
row_42	NR1H3	NA	7030	0.054296813905239105	-0.14699878	No	
row_43	MAIP1	NA	7108	0.05312136560678482	-0.14857726	No	
row_44	UBE2S	NA	7118	0.052969347685575485	-0.14686446	No	
row_45	CCDC80	NA	7204	0.05168965458869934	-0.14888898	No	
row_46	UBE2L3	NA	7228	0.05126338452100754	-0.14792427	No	
row_47	LINC01756	NA	7269	0.050795454531908035	-0.14780293	No	
row_48	TTI2	NA	7344	0.04982203617691994	-0.14936982	No	
row_49	STXBP5-AS1	NA	7725	0.044064488261938095	-0.16600883	No	
row_50	CPNE1	NA	7916	0.04118216410279274	-0.17355132	No	
row_51	MRPL27	NA	7961	0.040428102016448975	-0.1740446	No	
row_52	IQCH	NA	8046	0.03929279372096062	-0.17652363	No	
row_53	BRK1	NA	8131	0.03803274407982826	-0.17905377	No	
row_54	LINC01732	NA	8154	0.03778720647096634	-0.17858738	No	
row_55	NDUFAF1	NA	8209	0.03721444681286812	-0.17969596	No	
row_56	AKR1A1	NA	8323	0.03556850925087929	-0.18373236	No	
row_57	TUBB4B	NA	8390	0.03471746668219566	-0.18552417	No	
